About,Acerca de,
All,Todos,
Allow Bulk Edit,Permitir edición masiva,
Allow in Quick Entry,Permitir Entrada Rápida,
Allow on Submit,Permitir en 'validar',
Amended From,Modificado Desde,
Apps,Apps,
Attach,Adjuntar,
Attach Image,Adjuntar Imagen,
Autocomplete,Autocompletar,
Barcode,Código de barras,
Bold,Negrita,
Button,Botón,
Check,Marcar,
City,Ciudad,
Code,Código,
Collapsible,Plegable,
Collapsible Depends On (JS),Plegable depende de (JS),
Color,Color,
Column Break,Salto de Columna,
Columns,Columnas,
Constraints,Restricciones,
Contact Details,Detalles de contacto,
Content,Contenido,
Country,País,
Currency,Divisa / Moneda,
Data,Datos,
Date,Fecha,
Datetime,Fecha y Hora,
Default,Predeterminado,
Defaults,Predeterminados,
Description,Descripción,
Display,Visualización,
Display Depends On (JS),La visualización depende de (JS),
Documentation URL,URL de documentación,
"Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","No usar códigos HTML como &lt; script&gt; o solamente caracteres como &lt; o &gt;, ya que podrían ser utilizados en este campo intencionalmente",
Draft,Borrador,
Duration,Duración,
Dynamic Link,Enlace Dinámico,
Email,Correo electrónico,
Fetch From,Obtener De,
Fetch on Save if Empty,Obtener en Guardar si está vacío,
Fields,Campos,
Float,Coma Flotante,
Fold,Plegar,
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","Para Enlaces, introduzca el DocType como rango.
Para Seleccionar, introduzca la lista de Opciones, cada una en una nueva línea.",
Frappe Support,Soporte de Frappe,
Geolocation,Geolocalización,
HTML,HTML,
HTML Editor,Editor de HTML,
Heading,Encabezado,
Hidden,Oculto,
Hide Border,Ocultar borde,
Hide Days,Ocultar días,
Hide Seconds,Ocultar segundos,
Icon,Icono,
"If unchecked, the value will always be re-fetched on save.","Si no está marcado, el valor siempre será recuperado al guardar.",
Ignore User Permissions,Ignorar los permisos de usuario,
Ignore XSS Filter,Ignorar filtro XSS,
Image,Imagen,
In Filter,En filtro,
In Global Search,En Búsqueda Global,
In List Filter,En filtro de Lista,
In List View,En vista de lista,
In Preview,En vista previa,
Index,Índice,
Int,Int,
Is Active,Está activo,
JSON,JSON,
Keyboard Shortcuts,Atajos de teclado,
Label,Etiqueta,
Language,Idioma,
Length,Largo,
Link,Enlace,
Link Filters,Filtros de Enlaces,
List / Search Settings,Configuración de Lista / Búsqueda,
Log out,Cerrar sesión,
Long Text,Texto largo,
Make Attachment Public (by default),Hacer público el archivo adjunto (por defecto),
Mandatory,Obligatorio,
Mandatory Depends On (JS),Obligatorio Depende de (JS),
Markdown Editor,Editor Markdown,
Max Height,Altura Máxima,
My Profile,Mi Perfil,
My Settings,Mis ajustes,
Name,Nombre,
Naming Series,Secuencias e identificadores,
No,No,
No Copy,No copiar,
Non Negative,No negativo,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Número de columnas para un campo en Vista de Lista o Cuadricula (El total de Columnas debe ser inferior a 11),
Options,Opciones,
Other,Otro,
Password,Contraseña,
Pending Verification,Verificación pendiente,
Percent,Por ciento,
Perm Level,Nivel permitido,
Permissions,Permisos,
Phone,Teléfono,
Placeholder,Marcador de posición,
Precision,Precisión,
Print Hide,Ocultar en impresión,
Print Hide If No Value,Impresión Oculta si no hay Valor,
Print Width,Ancho de Impresión,
Rating,Clasificación,
Read Only,Sólo lectura,
Read Only Depends On (JS),Solo lectura Depende de (JS),
Rejected,Rechazado,
Reload,Recargar,
Remember Last Selected Value,Recordar el último valor seleccionado,
Report Hide,Ocultar reporte,
Section Break,Salto de sección.,
Select,Seleccionar,
Session Defaults,Valores predeterminados de sesión,
Set non-standard precision for a Float or Currency field,Ajuste de precisión no-estándar para los decimales o las monedas,
Set only once,Establecer solo una vez,
Show Dashboard,Mostrar panel de control,
Show on Timeline,Mostrar en línea de tiempo,
Signature,Firma,
Small Text,Texto pequeño,
Sort Options,Opciones de clasificación,
Source,Referencia,
Source Name,Nombre de la Fuente,
Status,Estado,
System Manager,Administrador del sistema,
Tab Break,Salto de Pestaña,
Table,Tabla,
Table MultiSelect,Tabla Multi-selección,
Template,Plantilla,
Text,Texto,
Text Editor,Editor de texto,
Time,Hora,
Title,Nombre,
Toggle Full Width,Cambiar a ancho completo,
Toggle Theme,Cambiar tema,
Translatable,Traducible,
Type,Tipo,
Unique,Único,
View Website,Ver Sitio Web,
Virtual,Virtual,
Visibility,Visibilidad,
Width,Ancho,
Yes,Si,
