All,ሁሉም,
Allow Bulk Edit,የጅምላ አርትዕ ፍቀድ,
Allow in Quick Entry,በፈጣን መግቢያ ውስጥ ፍቀድ,
Allow on Submit,አስገባ ላይ ፍቀድ,
Amended From,ከ እንደተሻሻለው,
Attach,አያይዝ,
Attach Image,ምስል ያያይዙ,
Barcode,ባርኮድ,
Bold,ደማቅ,
Button,ቁልፍ,
Check,ፈትሽ,
City,ከተማ,
Code,ኮድ,
Collapsible,ሊሰበሰቡ,
Color,ቀለም,
Column Break,አምድ እረፍት,
Columns,አምዶች,
Contact Details,የእውቅያ ዝርዝሮች,
Content,ይዘት,
Country,አገር,
Currency,ገንዘብ,
Data,መረጃ,
Date,ቀን,
Datetime,DATETIME,
Default,ነባሪ,
Defaults,ነባሪዎች,
Description,መግለጫ,
Display,አሳይ,
Documentation URL,የሰነድ ዩ.አር.ኤል.,
Draft,ረቂቅ,
Duration,ቆይታ,
Dynamic Link,ተለዋዋጭ አገናኝ,
Email,ኢሚል,
Fetch From,ከ,
Fields,መስኮች,
Float,ተንሳፈፈ,
Fold,አጠፈ,
Geolocation,Geolocation,
HTML,ኤችቲኤምኤል,
HTML Editor,HTML አርታዒ,
Heading,አርእስት,
Hidden,ድብቅ,
Hide Border,ድንበርን ደብቅ,
Hide Days,ቀናት ደብቅ,
Hide Seconds,ሰከንዶችን ደብቅ,
Icon,አዶ,
Ignore User Permissions,የተጠቃሚ ፍቃዶችን ችላ,
Ignore XSS Filter,XSS ማጣሪያ ችላ,
Image,ምስል,
In Filter,ማጣሪያ ውስጥ,
In Global Search,* Global Search ውስጥ,
In List View,ዝርዝር ይመልከቱ,
In Preview,በቅድመ እይታ,
Index,ማውጫ,
Int,int,
Is Active,ገቢር ነው,
JSON,JSON,
Keyboard Shortcuts,የቁልፍ ሰሌዳ አቋራጮች።,
Label,ምልክት,
Language,ቋንቋ,
Length,ርዝመት,
Link,አገናኝ,
Long Text,ረጅም ጽሑፍ,
Mandatory,የግዴታ,
Markdown Editor,ማርክማርክ አርታኢ ፡፡,
Name,ስም,
Naming Series,መሰየምን ተከታታይ,
No,አይ,
No Copy,ምንም ቅዳ,
Non Negative,አሉታዊ ያልሆነ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),አንድ ዝርዝር ይመልከቱ ወይም መስመሮች ውስጥ መሬት ዓምዶች ቁጥር (ጠቅላላ አምዶች ያነሰ 11 በላይ መሆን አለበት),
Options,አማራጮች,
Other,ሌላ,
Password,የይለፍ ቃል,
Pending Verification,ማረጋገጫ በመጠባበቅ ላይ።,
Percent,መቶኛ,
Perm Level,Perm ደረጃ,
Permissions,ፍቃዶች,
Phone,ስልክ,
Precision,ትክክልነት,
Print Hide,አትም ደብቅ,
Print Hide If No Value,የህትመት ደብቅ ከሆነ ምንም ዋጋ,
Print Width,አትም ስፋት,
Rating,ደረጃ አሰጣጥ,
Read Only,ለማንበብ ብቻ የተፈቀደ,
Rejected,ተቀባይነት አላገኘም,
Reload,ዳግም ጫን,
Remember Last Selected Value,ለመጨረሻ ጊዜ የተመረጠው እሴት አስታውስ,
Report Hide,ሪፖርት ደብቅ,
Section Break,ክፍል መግቻ,
Select,ይምረጡ,
Session Defaults,የክፍለ ጊዜ ነባሪዎች።,
Set non-standard precision for a Float or Currency field,አንድ መንሳፈፊያ ወይም የምንዛሬ መስክ አዘጋጅ መደበኛ ያልሆነ ትክክለኛነት,
Show Dashboard,ዳሽቦርድ አሳይ።,
Signature,ፊርማ,
Small Text,ትንሽ ጽሑፍ,
Source,ምንጭ,
Source Name,ምንጭ ስም,
Status,ሁናቴ,
System Manager,የስርዓት አስተዳዳሪ,
Table,ጠረጴዛ,
Table MultiSelect,ሰንጠረዥ ባለብዙ ምርጫ።,
Template,አብነት,
Text,ጽሑፍ,
Text Editor,ጽሑፍ አርታዒ,
Time,ጊዜ,
Title,አርእስት,
Translatable,መተርጎም የሚችል,
Type,ዓይነት,
Unique,የተለየ,
View Website,ይመልከቱ ድር ጣቢያ,
Width,ስፋት,
Yes,አዎ,
