All,Kaikki,
Allow Bulk Edit,Salli erämuokkauksen,
Allow in Quick Entry,Salli pikapysähdyksessä,
Allow on Submit,Salli vahvistuksessa,
Amended From,Korjattu mistä,
Attach,Liitä,
Attach Image,Kuvaliite,
Barcode,Viivakoodi,
Bold,Lihavoitu,
Button,painike,
Check,Tarkistaa,
City,Kaupunki,
Code,koodi,
Collapsible,Kokoontaitettava,
Color,väri,
Column Break,sarakkeenvaihto,
Columns,Pylväät,
Contact Details,"yhteystiedot, lisätiedot",
Content,sisältö,
Country,Maa,
Currency,Valuutta,
Data,tiedot,
Date,Päiväys,
Datetime,Päiväysaika,
Default,oletus,
Defaults,oletukset,
Description,Kuvaus,
Display,näyttö,
Documentation URL,Dokumentaation URL-osoite,
Draft,Laatia,
Duration,Kesto,
Dynamic Link,dynaaminen linkki,
Email,Sähköpostiosoite,
Fetch From,Noudata,
Fields,Kentät,
Float,Kellunta,
Fold,Taitos,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,HTML-editori,
Heading,otsikko,
Hidden,kätketty,
Hide Border,Piilota raja,
Hide Days,Piilota päivät,
Hide Seconds,Piilota sekunnit,
Icon,ikoni,
Ignore User Permissions,ohita käyttäjäoikeudet,
Ignore XSS Filter,Ohita XSS Filter,
Image,Kuva,
In Filter,suodatuksessa,
In Global Search,Global Search,
In List View,luettelonäkymänä,
In Preview,Esikatselussa,
Index,indeksi,
Int,kokonaisluku,
Is Active,aktiivinen,
JSON,JSON,
Keyboard Shortcuts,Pikanäppäimet,
Label,Nimike,
Language,Kieli,
Length,Pituus,
Link,Linkki,
Long Text,Pitkä teksti,
Mandatory,Pakollinen,
Markdown Editor,Merkintäeditori,
Name,Nimi,
Naming Series,Nimeä sarjat,
No,Ei,
No Copy,Ei Kopiota,
Non Negative,Ei negatiivinen,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Lukumäärä saraketta varten kentän Listanäkymä tai Grid (Total sarakkeet pitäisi olla alle 11),
Options,vaihtoehdot,
Other,muut,
Password,Salasana,
Pending Verification,Odottaa vahvistusta,
Percent,prosentti,
Perm Level,Pysyvä taso,
Permissions,Oikeudet,
Phone,Puhelin,
Precision,Tarkkuus,
Print Hide,Tulosta Piilota,
Print Hide If No Value,Tulosta Piilota Jos Ei Arvo,
Print Width,Tulosta Leveys,
Rating,luokitus,
Read Only,Vain luku,
Rejected,Hylätty,
Reload,Päivitä,
Remember Last Selected Value,Muista Viimeksi Valitut Arvo,
Report Hide,piilota raportti,
Section Break,Osanvaihto,
Select,Valitse,
Session Defaults,Istunnon oletukset,
Set non-standard precision for a Float or Currency field,Aseta erikois virtaus tai valuutta kenttä,
Show Dashboard,Näytä hallintapaneeli,
Signature,Allekirjoitus,
Small Text,Pieni teksti,
Source,Lähde,
Source Name,Source Name,
Status,Tila,
System Manager,Järjestelmän ylläpitäjä,
Table,Taulukko,
Table MultiSelect,Taulukko MultiSelect,
Template,Mallipohja,
Text,Teksti,
Text Editor,Tekstin muokkaus,
Time,Aika,
Title,otsikko,
Translatable,käännettävää,
Type,tyyppi,
Unique,Uniikki,
View Website,Näytä verkkosivusto,
Width,Leveys,
Yes,Kyllä,
