All,Byose,
Allow Bulk Edit,Emerera Guhindura byinshi,
Allow in Quick Entry,Emera Kwinjira Byihuse,
Allow on Submit,Emera Kohereza,
Amended From,Yahinduwe Kuva,
Attach,Ongeraho,
Attach Image,Ongeraho Ishusho,
Barcode,Barcode,
Bold,Ubutinyutsi,
Button,Button,
Check,Reba,
City,Umujyi,
Code,Kode,
Collapsible,Isenyuka,
Color,Ibara,
Column Break,Ikiruhuko,
Columns,Inkingi,
Contact Details,Menyesha Ibisobanuro,
Content,Ibirimo,
Country,Igihugu,
Currency,Ifaranga,
Data,Amakuru,
Date,Itariki,
Datetime,Igihe cyagenwe,
Default,Mburabuzi,
Defaults,Mburabuzi,
Description,Ibisobanuro,
Display,Erekana,
Documentation URL,URL y&#39;inyandiko,
Draft,Inyandiko,
Duration,Ikiringo,
Dynamic Link,Ihuza ridasanzwe,
Email,Imeri,
Fetch From,Kuramo,
Fields,Imirima,
Float,Kureremba,
Fold,Ububiko,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,Muhinduzi wa HTML,
Heading,Umutwe,
Hidden,Hihishe,
Hide Border,Hisha umupaka,
Hide Days,Hisha iminsi,
Hide Seconds,Hisha amasegonda,
Icon,Agashusho,
Ignore User Permissions,Kwirengagiza Uruhushya rwabakoresha,
Ignore XSS Filter,Kwirengagiza Akayunguruzo ka XSS,
Image,Ishusho,
In Filter,Muyunguruzi,
In Global Search,Mu Gushakisha Isi,
In List View,Kurutonde Reba,
In Preview,Mubireba,
Index,Ironderero,
Int,Int,
Is Active,Nibikorwa,
JSON,JSON,
Keyboard Shortcuts,Amahinanzira ya Mwandikisho,
Label,Ikirango,
Language,Ururimi,
Length,Uburebure,
Link,Ihuza,
Long Text,Inyandiko ndende,
Mandatory,Ni itegeko,
Markdown Editor,Kwandika Markdown,
Name,Izina,
Naming Series,Urukurikirane rw&#39;izina,
No,Oya,
No Copy,Nta kopi,
Non Negative,Ntabwo ari bibi,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Umubare winkingi kumurima murutonde Reba cyangwa Urusobe (Inkingi zose zigomba kuba munsi ya 11),
Options,Amahitamo,
Other,Ibindi,
Password,Ijambobanga,
Pending Verification,Gutegereza Igenzura,
Percent,Ijanisha,
Perm Level,Urwego,
Permissions,Uruhushya,
Phone,Terefone,
Precision,Icyitonderwa,
Print Hide,Shira Hisha,
Print Hide If No Value,Shira Hisha Niba Nta gaciro,
Print Width,Shira Ubugari,
Rating,Urutonde,
Read Only,Soma gusa,
Rejected,Yanze,
Reload,Ongera usubiremo,
Remember Last Selected Value,Ibuka Agaciro Yatoranijwe,
Report Hide,Raporo Hisha,
Section Break,Ikiruhuko,
Select,Hitamo,
Session Defaults,Isomo risanzwe,
Set non-standard precision for a Float or Currency field,Shiraho ubusobanuro budasanzwe kubutaka bwa Float cyangwa Ifaranga,
Show Dashboard,Erekana Ikibaho,
Signature,Umukono,
Small Text,Inyandiko nto,
Source,Inkomoko,
Source Name,Izina ryinkomoko,
Status,Imiterere,
System Manager,Umuyobozi wa sisitemu,
Table,Imbonerahamwe,
Table MultiSelect,Imbonerahamwe MultiSelect,
Template,Inyandikorugero,
Text,Inyandiko,
Text Editor,Muhinduzi wanditse,
Time,Igihe,
Title,Umutwe,
Translatable,Byahinduwe,
Type,Andika,
Unique,Ntibisanzwe,
View Website,Reba Urubuga,
Width,Ubugari,
Yes,Yego,
