About,A Propos,
All,Tout,
Allow Bulk Edit,Autoriser la Modification en Masse,
Allow in Quick Entry,Autoriser dans les entrées rapides,
Allow on Submit,Autoriser à la Validation,
Amended From,Modifié Depuis,
Attach,Attacher,
Attach Image,Joindre l'Image,
Autocomplete,Auto-complétion,
Barcode,code à barre,
Bold,Audacieux,
Button,Bouton,
Check,Vérifier,
City,Ville,
Collapsible,Réductible,
Color,Couleur,
Column Break,Saut de Colonne,
Columns,Colonnes,
Contact Details,Coordonnées,
Content,Contenu,
Country,Pays,
Currency,Devise,
Data,Données,
Datetime,Date/Heure,
Default,Par Défaut,
Defaults,Valeurs Par Défaut,
Display,Afficher,
Documentation URL,URL de la documentation,
Draft,Brouillon,
Duration,Durée,
Dynamic Link,Lien Dynamique,
Fetch From,Récupérer depuis le champ,
Fields,Champ,
Float,Nombre Réel,
Fold,Pli,
Geolocation,Géolocalisation,
HTML Editor,Éditeur HTML,
Heading,Titre,
Hidden,Caché,
Hide Border,Masquer la bordure,
Hide Days,Masquer les jours,
Hide Seconds,Masquer les secondes,
Icon,Icône,
Ignore User Permissions,Ignorer les Autorisations des Utilisateurs,
Ignore XSS Filter,Ignorer le Filtre XSS,
In Filter,Dans le Filtre,
In Global Search,Dans la Recherche Globale,
In List View,En Vue en Liste,
In Preview,En aperçu,
Is Active,Est Active,
Keyboard Shortcuts,Raccourcis clavier,
Label,Étiquette,
Language,Langue,
Length,Longueur,
Link,Lien,
Long Text,Texte Long,
Mandatory,Obligatoire,
My Profile,Mon profil,
My Settings,Mes paramètres,
Name,Nom,
Naming Series,Masque de numérotation,
No,Non,
No Copy,Aucune Copie,
Non Negative,Non négatif,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Nombre de colonnes pour un champ dans une vue en Liste ou en Grille (Total des colonnes doit être inférieur à 11),
Other,Autre,
Password,Mot de Passe,
Pending Verification,En attente de vérification,
Percent,Pourcent,
Perm Level,Niveau d'Autorisation,
Permissions,Autorisations,
Phone,Téléphone,
Precision,Précision,
Print Hide,Cacher à l'Impression,
Print Hide If No Value,Cacher à l’Impression si Aucune Valeur,
Print Width,Largeur d'Impression,
Rating,Évaluation,
Read Only,Lecture Seule,
Rejected,Rejeté,
Reload,Recharger,
Remember Last Selected Value,Se Souvenir de la Dernière Valeur Sélectionnée,
Report Hide,Cacher le Rapport,
Section Break,Saut de section,
Select,Sélectionner,
Session Defaults,Session par défaut,
Set non-standard precision for a Float or Currency field,Définir la précision non standard pour un champ Flottant ou Devise,
Show Dashboard,Afficher le tableau de bord,
Small Text,Petit Texte,
Source Name,Nom de la Source,
Status,Statut,
System Manager,Responsable Système,
Table MultiSelect,Tableau MultiSelect,
Template,Modèle,
Text,Texte,
Text Editor,Éditeur de Texte,
Time,Temps,
Title,Titre,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
Translatable,Traduisible,
View Website,Voir Le Site Web,
Width,Largeur,
Yes,Oui,
