All,Todos,
Allow Bulk Edit,Permitir edição em massa,
Allow in Quick Entry,Permitir na entrada rápida,
Allow on Submit,Permitir ao Enviar,
Amended From,Alterado De,
Attach,Anexar,
Attach Image,Anexar Imagem,
Barcode,Código de barras,
Bold,Negrito,
Button,Botão,
Check,Verifica,
City,Cidade,
Code,Código,
Collapsible,Desmontável,
Color,Cor,
Column Break,Quebra de coluna,
Columns,Colunas,
Contact Details,Detalhes do Contato,
Content,Conteúdo,
Country,País,
Currency,Moeda,
Data,Dados,
Date,Data,
Datetime,Data e Hora,
Default,Padrão,
Defaults,Padrões,
Description,Descrição,
Display,exibição,
Documentation URL,URL de documentação,
Draft,Rascunho,
Duration,Duração,
Dynamic Link,Link dinâmico,
Email,Email,
Fetch From,Buscar de,
Fields,Campos,
Float,Float,
Fold,Dobrar,
Geolocation,Geolocalização,
HTML,HTML,
HTML Editor,Editor de HTML,
Heading,Título,
Hidden,Escondido,
Hide Border,Ocultar borda,
Hide Days,Ocultar dias,
Hide Seconds,Ocultar segundos,
Icon,Ícone,
Ignore User Permissions,Ignorar permissões de usuári,
Ignore XSS Filter,Ignorar Filtro XSS,
Image,Imagem,
In Filter,No Filtro da Lista,
In Global Search,Na Busca Global,
In List View,Mostrar na Visualização da Lista,
In Preview,Na pré-visualização,
Index,Índice,
Int,Inteiro,
Is Active,É Ativo,
JSON,JSON,
Keyboard Shortcuts,Atalhos do teclado,
Label,Rótulo,
Language,Idioma,
Length,Comprimento,
Link,Link,
Long Text,Texto Longo,
Mandatory,Obrigatório,
Markdown Editor,Editor de Markdown,
Name,Nome,
Naming Series,Série de Atrib. de Nomes,
No,Não,
No Copy,Nenhuma Cópia,
Non Negative,Não Negativo,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Número de colunas para um campo em uma lista ou de um Grid (Total de colunas deve ser inferior a 11),
Options,Opções,
Other,Outro,
Password,Senha,
Pending Verification,verificação pendente,
Percent,Por cento,
Perm Level,Nível Permanente,
Permissions,Permissões,
Phone,Telefone,
Precision,Precisão,
Print Hide,Ocultar Impressão,
Print Hide If No Value,Ocultar Impressão se não Preenchido,
Print Width,Largura de impressão,
Rating,Rating,
Read Only,Somente Leitura,
Rejected,Rejeitado,
Reload,Recarregar,
Remember Last Selected Value,Lembrar última seleção,
Report Hide,Ocultar Relatório,
Section Break,Quebra de seção,
Select,Selecionar,
Session Defaults,Padrões de Sessão,
Set non-standard precision for a Float or Currency field,Definir precisão não-padrão para um campo Float ou Moeda,
Show Dashboard,Mostrar Dashboard,
Signature,Assinatura,
Small Text,Texto Pequeno,
Source,Fonte,
Source Name,Nome da Fonte,
Status,Status,
System Manager,Administrador do Sistema,
Table,Tabela,
Table MultiSelect,Tabela MultiSelect,
Template,Modelo,
Text,Texto,
Text Editor,Editor de Texto,
Time,Tempo,
Title,Título,
Translatable,Traduzível,
Type,Tipo,
Unique,Único,
View Website,Ver  Site,
Width,Largura,
Yes,sim,
