All,ZOTE,
Allow Bulk Edit,Ruhusu Hariri wa Bulk,
Allow in Quick Entry,Ruhusu Kuingia kwa haraka,
Allow on Submit,Ruhusu Kuwasilisha,
Amended From,Imebadilishwa Kutoka,
Attach,Weka,
Attach Image,Weka picha,
Barcode,Barcode,
Bold,Jasiri,
Button,Button,
Check,Angalia,
City,Jiji,
Code,Kanuni,
Collapsible,Haiwezekani,
Color,Rangi,
Column Break,Kuvunja Column,
Columns,Nguzo,
Contact Details,Maelezo ya Mawasiliano,
Content,Maudhui,
Country,Nchi,
Currency,Fedha,
Data,Takwimu,
Date,Tarehe,
Datetime,Saa ya tarehe,
Default,Kwa kawaida,
Defaults,Hifadhi,
Description,Maelezo,
Display,Onyesha,
Documentation URL,URL ya Nyaraka,
Draft,Rasimu,
Duration,Muda,
Dynamic Link,Kiungo cha Nguvu,
Email,Barua pepe,
Fetch From,Puta Kutoka,
Fields,Mashamba,
Float,Fungua,
Fold,Fold,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,Mhariri wa HTML,
Heading,Kichwa,
Hidden,Siri,
Hide Border,Ficha Mpaka,
Hide Days,Ficha Siku,
Hide Seconds,Ficha Sekunde,
Icon,Picha,
Ignore User Permissions,Puuza Ruhusa ya Mtumiaji,
Ignore XSS Filter,Futa Ficha ya XSS,
Image,Picha,
In Filter,Katika Filter,
In Global Search,Katika Utafutaji wa Global,
In List View,Katika Orodha ya Orodha,
In Preview,Katika hakiki,
Index,Nambari,
Int,Int,
Is Active,Ni Kazi,
JSON,JSON,
Keyboard Shortcuts,Njia za mkato za kibodi,
Label,Lebo,
Language,Lugha,
Length,Urefu,
Link,Kiunga,
Long Text,Muda mrefu,
Mandatory,Inahitajika,
Markdown Editor,Mhariri wa alama ya chini,
Name,Jina,
Naming Series,Mfululizo wa majina,
No,Hapana,
No Copy,Hakuna nakala,
Non Negative,Yasiyo hasi,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Idadi ya nguzo za shamba katika Orodha ya Orodha au Gridi (Nguzo zote zinapaswa kuwa chini ya 11),
Options,Chaguo,
Other,Nyingine,
Password,Nenosiri,
Pending Verification,Uthibitishaji Unaosubiri,
Percent,Asilimia,
Perm Level,Kiwango cha Perm,
Permissions,Ruhusa,
Phone,Simu,
Precision,Sahihi,
Print Hide,Ficha Ficha,
Print Hide If No Value,Ficha Ficha Ikiwa Hakuna Thamani,
Print Width,Upana wa Kuchapa,
Rating,Upimaji,
Read Only,Soma tu,
Rejected,Imekataliwa,
Reload,Pakia tena,
Remember Last Selected Value,Kumbuka Thamani ya Mwisho Iliyochaguliwa,
Report Hide,Ripoti Ficha,
Section Break,Kuvunja sehemu,
Select,Chagua,
Session Defaults,Defavers ya Kikao,
Set non-standard precision for a Float or Currency field,Weka usahihi usio wa kawaida kwa uwanja wa Float au Currency,
Show Dashboard,Onyesha Dashibodi,
Signature,Sahihi,
Small Text,Nakala ndogo,
Source,Chanzo,
Source Name,Jina la Chanzo,
Status,Hali,
System Manager,Meneja wa Mfumo,
Table,Jedwali,
Table MultiSelect,Jedwali Mbadala,
Template,Kigezo,
Text,Nakala,
Text Editor,Mhariri wa Nakala,
Time,Wakati,
Title,Kichwa,
Translatable,Inaweza kutafsiriwa,
Type,Weka,
Unique,Ni ya pekee,
View Website,Tazama Tovuti,
Width,Upana,
Yes,Ndiyo,
