All,Toate,
Allow Bulk Edit,Permiteți editarea în bloc,
Allow in Quick Entry,Permiteți înregistrarea rapidă,
Allow on Submit,Permiteţi după introducere,
Amended From,Modificat din,
Attach,Ataşaţi,
Attach Image,Atașați imagine,
Barcode,coduri de bare,
Bold,Îndrăzneţ,
Button,Buton,
Check,Verifica,
City,Oraș,
Code,Cod,
Collapsible,Rabatabil,
Color,Culoare,
Column Break,Coloana Break,
Columns,Coloane,
Contact Details,Detalii Persoana de Contact,
Content,Continut,
Country,Ţară,
Currency,Valută,
Data,Date,
Date,Dată,
Datetime,DatăTimp,
Default,Implicit,
Defaults,Implicite,
Description,Descriere,
Display,Afişaj,
Documentation URL,Adresa URL a documentației,
Draft,Proiect,
Duration,Durată,
Dynamic Link,Link dinamic,
Email,E-mail,
Fetch From,Fetch From,
Fields,Câmpuri,
Float,Plutitor,
Fold,Plia,
Geolocation,Localizarea geografică,
HTML,HTML,
HTML Editor,Editor HTML,
Heading,Antet,
Hidden,Ascuns,
Hide Border,Ascundeți chenarul,
Hide Days,Ascunde Zile,
Hide Seconds,Ascunde secunde,
Icon,icoană,
Ignore User Permissions,Ignora Permisiunile utilizatorului,
Ignore XSS Filter,Ignore XSS Filtru,
Image,Imagine,
In Filter,În Filter,
In Global Search,În căutare globală,
In List View,În Vizualizare listă,
In Preview,În Previzualizare,
Index,Index,
Int,Int,
Is Active,Este activ,
JSON,JSON,
Keyboard Shortcuts,Comenzile rapide de la tastatură,
Label,Eticheta,
Language,Limba,
Length,Lungime,
Link,Legătură,
Long Text,Textul lung,
Mandatory,Obligatoriu,
Markdown Editor,Editorul Markdown,
Name,Nume,
Naming Series,Naming Series,
No,Nu,
No Copy,Nu Copy,
Non Negative,Non-negativ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Numărul de coloane pentru un câmp într-o listă sau Vizualizare o grilă (Total coloane trebuie să fie mai mic de 11),
Options,Optiuni,
Other,Altul,
Password,Parolă,
Pending Verification,Verificare in Asteptare,
Percent,La sută,
Perm Level,Nivelul Perm,
Permissions,Permisiuni,
Phone,Telefon,
Precision,Precizie,
Print Hide,Imprimare Ascunde,
Print Hide If No Value,Print Ascunde Dacă nici o valoare,
Print Width,Lățime de imprimare,
Rating,evaluare,
Read Only,Doar Citire,
Rejected,Respinse,
Reload,Reîncarcă,
Remember Last Selected Value,Memorează Ultima Valoare Selectată,
Report Hide,Ascunde raportul,
Section Break,Sfârșit de secțiune,
Select,Selectează,
Session Defaults,Valorile implicite ale sesiunii,
Set non-standard precision for a Float or Currency field,Set de precizie non-standard pentru un câmp Float sau valuta,
Show Dashboard,Show Dashboard,
Signature,Semnătura,
Small Text,Mic Text,
Source,Sursă,
Source Name,sursa Nume,
Status,Status,
System Manager,System Manager,
Table,Tabel,
Table MultiSelect,Tabel MultiSelect,
Template,Șablon,
Text,Text,
Text Editor,Editor de text,
Time,Timp,
Title,Titlu,
Translatable,traductibil,
Type,Tip,
Unique,Unic,
View Website,Vezi site-ul,
Width,Lățime,
Yes,da,
