All,සෑම,
Allow Bulk Edit,තොග සංස්කරණය කරන්න ඉඩ දෙන්න,
Allow in Quick Entry,ඉක්මන් පිවිසුමට ඉඩ දෙන්න,
Allow on Submit,ඉදිරිපත් මත ඉඩ දෙන්න,
Amended From,සංශෝධිත වන සිට,
Attach,අමුණන්න,
Attach Image,රූප අමුණන්න,
Barcode,තීරු කේතය,
Bold,නිර්භීත,
Button,බොත්තම,
Check,චෙක් පත,
City,නගරය,
Code,කේතය,
Collapsible,කොටසේ,
Color,වර්ණ,
Column Break,තීරුව Break,
Columns,තීරු,
Contact Details,ඇමතුම් විස්තර,
Content,අන්තර්ගත,
Country,රට,
Currency,මුදල්,
Data,දත්ත,
Date,දිනය,
Datetime,දිනය වේලාව,
Default,පෙරනිමි,
Defaults,පෙරනිමි,
Description,විස්තර,
Display,ප්රදර්ශනය,
Documentation URL,ප්‍රලේඛන URL,
Draft,කෙටුම්පත,
Duration,කාල සීමාව,
Dynamic Link,ගතික ලින්ක්,
Email,විද්යුත් තැපෑල,
Fetch From,ගවේශණය,
Fields,ක්ෂේත්ර,
Float,පාවෙන,
Fold,නමන්න,
Geolocation,පරිශිලනය,
HTML,HTML,
HTML Editor,HTML සංස්කාරකය,
Heading,ධාවනය,
Hidden,සඟවා ඇත,
Hide Border,දේශ සීමාව සඟවන්න,
Hide Days,දින සඟවන්න,
Hide Seconds,තත්පර සඟවන්න,
Icon,අයිකනය,
Ignore User Permissions,පරිශීලක අවසර නොසලකා,
Ignore XSS Filter,වු XSS පෙරහන් නොසලකා,
Image,රූප,
In Filter,පෙරහන් දී,
In Global Search,ගෝලීය සොයන්න දී,
In List View,ලැයිස්තුව දැක්වීම,
In Preview,පෙරදසුනෙහි,
Index,දර්ශකය,
Int,int,
Is Active,ක්රියාකාරී වේ,
JSON,JSON,
Keyboard Shortcuts,යතුරුපුවරු කෙටිමං,
Label,ලේබලය,
Language,භාෂාව,
Length,දිග,
Link,සබැඳිය,
Long Text,දිගු පෙළ,
Mandatory,අනිවාර්ය,
Markdown Editor,සලකුණු සංස්කාරකය,
Name,නම,
Naming Series,ශ්රේණි අනුප්රාප්තිකයා නම් කිරීම,
No,නැත,
No Copy,කිසිදු පිටපතක්,
Non Negative,Neg ණාත්මක නොවේ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),ලැයිස්තුවක් නරඹන්න හෝ විදුලිබල පද්ධතියට දී ක්ෂේත්ර සඳහා තීරු ගණන (මුළු තීර 11 ට වඩා අඩු විය යුතුය),
Options,විකල්ප,
Other,වෙනත්,
Password,මුරපදය,
Pending Verification,සත්‍යාපනය අපේක්ෂිතය,
Percent,සියයට,
Perm Level,Perm පෙළ,
Permissions,අවසර,
Phone,දුරකථන,
Precision,නිරවද්යතාවයකින්,
Print Hide,මුද්රණය සඟවන්න,
Print Hide If No Value,මුද්රණය සඟවන්න නම් නෑ අගය,
Print Width,මුද්රණය පළල,
Rating,ශ්රේණිගත,
Read Only,පමණක් කියවන්න,
Rejected,ප්රතික්ෂේප,
Reload,රීලෝඩ්,
Remember Last Selected Value,මතක තබා ගන්න පසුගිය තෝරාගත් අගය,
Report Hide,වාර්තාව සඟවන්න,
Section Break,අංශ කඩනය,
Select,තෝරන්න,
Session Defaults,සැසි පෙරනිමි,
Set non-standard precision for a Float or Currency field,එය පදනම් වන්නෙනම් හෝ ව්යවහාර මුදල් ක්ෂේත්රයේ සම්මත නොවන නිරවද්යතාව සකසන්න,
Show Dashboard,උපකරණ පුවරුව පෙන්වන්න,
Signature,අත්සන,
Small Text,කුඩා පෙළ,
Source,මූලාශ්රය,
Source Name,මූලාශ්රය නම,
Status,තත්ත්වය,
System Manager,පද්ධතිය කළමනාකරු,
Table,වගුව,
Table MultiSelect,වගුව බහු තේරීම,
Template,සැකිල්ල,
Text,පෙළ,
Text Editor,පෙළ කර්තෘ,
Time,කාලය,
Title,ශීර්ෂය,
Translatable,පරිවර්තනය කළ හැක,
Type,වර්ගය,
Unique,අද්විතීය,
View Website,දැක්ම වෙබ් අඩවිය,
Width,පළල,
Yes,ඔව්,
