All,ทั้งหมด,
Allow Bulk Edit,อนุญาตให้ใช้การแก้ไขเป็นกลุ่ม,
Allow in Quick Entry,อนุญาตใน Quick Entry,
Allow on Submit,อนุญาตให้ส่ง,
Amended From,แก้ไขเพิ่มเติมจาก,
Attach,แนบ,
Attach Image,แนบ ภาพ,
Barcode,บาร์โค้ด,
Bold,กล้า,
Button,ปุ่ม,
Check,ตรวจสอบ,
City,เมือง,
Code,รหัส,
Collapsible,พับ,
Color,สี,
Column Break,ตัวแบ่งคอลัมน์,
Columns,คอลัมน์,
Contact Details,รายละเอียดการติดต่อ,
Content,เนื้อหา,
Country,ประเทศ,
Currency,เงินตรา,
Data,ข้อมูล,
Date,วันที่,
Datetime,datetime,
Default,ผิดนัด,
Defaults,เริ่มต้น,
Description,คำอธิบาย,
Display,แสดงผล,
Documentation URL,URL เอกสาร,
Draft,ร่าง,
Duration,ระยะเวลา,
Dynamic Link,การเชื่อมโยงแบบไดนามิก,
Email,อีเมล,
Fetch From,เรียกข้อมูลจาก,
Fields,สาขา,
Float,ลอย,
Fold,พับ,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,ตัวแก้ไข HTML,
Heading,หัวเรื่อง,
Hidden,ซ่อนเร้น,
Hide Border,ซ่อนเส้นขอบ,
Hide Days,ซ่อนวัน,
Hide Seconds,ซ่อนวินาที,
Icon,ไอคอน,
Ignore User Permissions,ละเว้น สิทธิ์ของผู้ใช้,
Ignore XSS Filter,ละเว้น XSS กรอง,
Image,รูปภาพ,
In Filter,กรอง,
In Global Search,ในการค้นหาทั่วโลก,
In List View,ในมุมมองรายการ,
In Preview,ในหน้าตัวอย่าง,
Index,ดัชนี,
Int,int,
Is Active,มีการใช้งาน,
JSON,JSON,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Label,ฉลาก,
Language,ภาษา,
Length,ระยะ,
Link,ลิงค์,
Long Text,ข้อความยาว,
Mandatory,จำเป็น,
Markdown Editor,Markdown Editor,
Name,ชื่อ,
Naming Series,การตั้งชื่อซีรีส์,
No,ไม่,
No Copy,คัดลอกไม่มี,
Non Negative,ไม่ใช่เชิงลบ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),จำนวนคอลัมน์สำหรับเขตข้อมูลในมุมมองรายการหรือกริด (คอลัมน์ทั้งหมดควรจะน้อยกว่า 11),
Options,ตัวเลือก,
Other,อื่น ๆ,
Password,รหัสผ่าน,
Pending Verification,รอการยืนยัน,
Percent,เปอร์เซ็นต์,
Perm Level,Perm ระดับ,
Permissions,สิทธิ์,
Phone,โทรศัพท์,
Precision,ความแม่นยำ,
Print Hide,พิมพ์ซ่อน,
Print Hide If No Value,ซ่อนพิมพ์ถ้าไม่มีมูลค่า,
Print Width,ความกว้างพิมพ์,
Rating,อันดับ,
Read Only,อ่านอย่างเดียว,
Rejected,ปฏิเสธ,
Reload,โหลด,
Remember Last Selected Value,โปรดจำไว้ว่าที่เลือกล่าสุดราคา,
Report Hide,แจ้งซ่อน,
Section Break,แบ่งส่วน,
Select,เลือก,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
Set non-standard precision for a Float or Currency field,ตั้งความแม่นยำที่ไม่ได้มาตรฐานสำหรับลอยหรือสาขาสกุลเงิน,
Show Dashboard,แสดงหน้าแดชบอร์ด,
Signature,ลายเซ็น,
Small Text,ข้อความขนาดเล็ก,
Source,แหล่ง,
Source Name,แหล่งที่มาของชื่อ,
Status,สถานะ,
System Manager,จัดการระบบ,
Table,ตาราง,
Table MultiSelect,ตาราง MultiSelect,
Template,แบบ,
Text,ข้อความ,
Text Editor,แก้ไขข้อความ,
Time,เวลา,
Title,ชื่อเรื่อง,
Translatable,สามารถแปลความหมายได้,
Type,ชนิด,
Unique,เป็นเอกลักษณ์,
View Website,ดูเว็บไซต์,
Width,ความกว้าง,
Yes,ใช่,
