All,Semua,
Allow Bulk Edit,Benarkan Edit Bulk,
Allow in Quick Entry,Benarkan dalam Kemasukan Pantas,
Allow on Submit,Benarkan di Hantar,
Amended From,Pindaan Dari,
Attach,Lampirkan,
Attach Image,Lampirkan imej,
Barcode,Barcode,
Bold,Bold,
Button,Button,
Check,Semak,
City,City,
Code,Kod,
Collapsible,Lipat,
Color,Warna,
Column Break,Ruangan Cuti,
Columns,Kolum,
Contact Details,Butiran Hubungi,
Content,Kandungan,
Country,Negara,
Currency,Mata Wang,
Data,Data,
Date,Tarikh,
Datetime,Datetime,
Default,Default,
Defaults,Lalai,
Description,Penerangan,
Display,Paparan,
Documentation URL,URL dokumentasi,
Draft,Draf,
Duration,Tempoh,
Dynamic Link,Pautan Dinamik,
Email,E-mel,
Fetch From,Ambil Dari,
Fields,Medan,
Float,Float,
Fold,Lipat,
Geolocation,Geolokasi,
HTML,HTML,
HTML Editor,Editor HTML,
Heading,Tajuk,
Hidden,Tersembunyi,
Hide Border,Sembunyikan Sempadan,
Hide Days,Sembunyikan Hari,
Hide Seconds,Sembunyikan Detik,
Icon,Ikon,
Ignore User Permissions,Abaikan Kebenaran pengguna,
Ignore XSS Filter,Abaikan XSS Filter,
Image,Image,
In Filter,Dalam Penapis,
In Global Search,Dalam Pencarian Global,
In List View,Dalam Senarai Lihat,
In Preview,Dalam Pratonton,
Index,Indeks,
Int,Int,
Is Active,Adalah aktif,
JSON,JSON,
Keyboard Shortcuts,Pintasan papan kekunci,
Label,Label,
Language,Bahasa,
Length,Negara,
Link,Pautan,
Long Text,Teks Long,
Mandatory,Mandatori,
Markdown Editor,Editor Tuntutan,
Name,Nama,
Naming Series,Menamakan Siri,
No,Tiada,
No Copy,Tiada Salinan,
Non Negative,Tidak Negatif,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Bilangan lajur untuk medan dalam Paparan Senarai atau Grid (Jumlah Kolum hendaklah tidak kurang daripada 11),
Options,Pilihan,
Other,Lain-lain,
Password,Kata laluan,
Pending Verification,Penamatan Pengesahan,
Percent,Peratus,
Perm Level,Tahap Perm,
Permissions,Kebenaran,
Phone,Telefon,
Precision,Precision,
Print Hide,Cetak Sembunyikan,
Print Hide If No Value,Cetak Menyembunyikan Jika Tiada Nilai,
Print Width,Cetak Lebar,
Rating,Rating,
Read Only,Baca Sahaja,
Rejected,Ditolak,
Reload,Muat semula,
Remember Last Selected Value,Ingat lepas Nilai Terpilih,
Report Hide,Laporan Sembunyikan,
Section Break,Seksyen Break,
Select,Pilih,
Session Defaults,Default Sesi,
Set non-standard precision for a Float or Currency field,Tetapkan ketepatan tidak standard untuk Float atau Mata Wang bidang,
Show Dashboard,Tunjukkan Papan Pemuka,
Signature,Tandatangan,
Small Text,Teks Kecil,
Source,Sumber,
Source Name,Nama Source,
Status,Status,
System Manager,Pengurus Sistem,
Table,Jadual,
Table MultiSelect,Jadual MultiSelect,
Template,Template,
Text,Teks,
Text Editor,Editor teks,
Time,Masa,
Title,Tajuk,
Translatable,Diterjemahkan,
Type,Jenis,
Unique,Unik,
View Website,Lihat Laman Web,
Width,Lebar,
Yes,Ya,
