All,ټول,
Allow Bulk Edit,د حجم سمول اجازه,
Allow in Quick Entry,په فوری ننوتلو کې اجازه ورکړئ,
Allow on Submit,اجازه پر سپارل,
Amended From,تعدیل له,
Attach,ضمیمه,
Attach Image,د انځور ضمیمه,
Barcode,بارکوډ,
Bold,بولډ,
Button,تڼی,
Check,وګوره,
City,ښار,
Code,کوډ,
Collapsible,پرېوتونکې,
Color,رنګ,
Column Break,کالم وقفه,
Columns,ستونونه,
Contact Details,د اړیکو نیولو معلومات,
Content,منځپانګه,
Country,د هېواد,
Currency,د اسعارو,
Data,د معلوماتو د,
Date,نېټه,
Datetime,نیټه او وخت,
Default,default,
Defaults,افتراضیو,
Description,Description,
Display,وښایئ,
Documentation URL,لاسوند یو آر ایل,
Draft,مسوده,
Duration,موده,
Dynamic Link,خوځنده لینک,
Email,بریښنالیک,
Fetch From,له ترلاسه کولو څخه,
Fields,فیلډز,
Float,ثاب,
Fold,قات,
Geolocation,جغرافیه,
HTML,HTML,
HTML Editor,ایچ ٹی ایم ایل ایڈیٹر,
Heading,مدعي دی,
Hidden,پټ,
Hide Border,پوله پټول,
Hide Days,ورځې پټول,
Hide Seconds,ثانیې پټول,
Icon,شبیه,
Ignore User Permissions,کارن حلال پامه,
Ignore XSS Filter,XSS Filter له پامه,
Image,د انځور,
In Filter,په Filter,
In Global Search,په نړیوال لټون,
In List View,په لست کی View,
In Preview,په مخکتنه کې,
Index,ډېرځليزې,
Int,اینټ,
Is Active,آیا د فعالو,
JSON,JSON,
Keyboard Shortcuts,کيلي لنډلار,
Label,لیبل,
Language,ژبه,
Length,اوږدوالی,
Link,لینک,
Long Text,اوږده متن,
Mandatory,اجباري,
Markdown Editor,مارکډون ایډیټر,
Name,نوم,
Naming Series,نوم لړۍ,
No,نه,
No Copy,نه کاپي,
Non Negative,غیر منفي,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),د کالمونو لپاره په يوه List View يا د مزي د پټی شمېر (Total یورتان باید په پرتله 11 کمه وي),
Options,غوراوي,
Other,نور,
Password,رمز,
Pending Verification,انتظار باوری,
Percent,په سلو کې,
Perm Level,Perm د ليول,
Permissions,حلال,
Phone,تيليفون,
Precision,Precision,
Print Hide,چاپ پټول,
Print Hide If No Value,چاپ پټول که هيڅ ارزښت,
Print Width,چاپ پلنوالي,
Rating,درجه,
Read Only,صرف د لوست وړ,
Rejected,رد,
Reload,Reload,
Remember Last Selected Value,په یاد ولرئ تېره غوره ارزښت,
Report Hide,راپور پټول,
Section Break,برخه وقفه,
Select,وټاکئ,
Session Defaults,د ناستې ټاکل,
Set non-standard precision for a Float or Currency field,ټاکل شوی چې لرګې یا د پیسو د ساحوي غیر معیاري دقت,
Show Dashboard,ډشبورډ ښودل,
Signature,د لاسلیک,
Small Text,د کوچنیو متن,
Source,سرچینه,
Source Name,سرچینه نوم,
Status,وضعیت,
System Manager,سيستم مدير,
Table,جدول,
Table MultiSelect,د میز ګ Multiو انتخاب,
Template,کينډۍ,
Text,متن,
Text Editor,متن اېډېټر,
Time,وخت,
Title,نوم,
Translatable,ژباړه,
Type,ډول,
Unique,بې سارې,
View Website,محتویات وېب پاڼه,
Width,د سور,
Yes,هو,
