All,બધા,
Allow Bulk Edit,બલ્ક સંપાદન માટે પરવાનગી આપે છે,
Allow in Quick Entry,ઝડપી એન્ટ્રીમાં મંજૂરી આપો,
Allow on Submit,સબમિટ પર પરવાનગી આપે છે,
Amended From,સુધારો,
Attach,જોડો,
Attach Image,છબી સાથે જોડે છે,
Barcode,બારકોડ,
Bold,બોલ્ડ,
Button,બટન,
Check,તપાસો,
City,સિટી,
Code,કોડ,
Collapsible,સંકેલી શકાય એવું,
Color,રંગ,
Column Break,હરોળ,
Columns,કૉલમ,
Contact Details,સંપર્ક વિગતો,
Content,સામગ્રી,
Country,દેશ,
Currency,કરન્સી,
Data,ડેટા,
Date,તારીખ,
Datetime,તારીખ સમય,
Default,મૂળભૂત,
Defaults,ડિફૉલ્ટ્સ,
Description,વર્ણન,
Display,ડિસ્પ્લે,
Documentation URL,દસ્તાવેજીકરણ URL,
Draft,ડ્રાફ્ટ,
Duration,સમયગાળો,
Dynamic Link,ડાયનેમિક લિંક,
Email,ઇમેઇલ,
Fetch From,પ્રતિ મેળવો મેળવો,
Fields,ક્ષેત્રો,
Float,ફ્લોટ,
Fold,ગડી,
Geolocation,ભૌગોલિક સ્થાન,
HTML,એચટીએમએલ,
HTML Editor,એચટીએમએલ એડિટર,
Heading,મથાળું,
Hidden,છુપાયેલું,
Hide Border,બોર્ડર છુપાવો,
Hide Days,દિવસો છુપાવો,
Hide Seconds,સેકન્ડ્સ છુપાવો,
Icon,ચિહ્ન,
Ignore User Permissions,વપરાશકર્તા પરવાનગીઓ અવગણો,
Ignore XSS Filter,એક્સએસએસ ફિલ્ટર અવગણો,
Image,છબી,
In Filter,ફિલ્ટર,
In Global Search,વૈશ્વિક શોધ,
In List View,યાદી દૃશ્યમાં,
In Preview,પૂર્વદર્શનમાં,
Index,ઈન્ડેક્સ,
Int,ઈન્,
Is Active,સક્રિય છે,
JSON,JSON,
Keyboard Shortcuts,કીબોર્ડ શૉર્ટકટ્સ,
Label,લેબલ,
Language,ભાષા,
Length,લંબાઈ,
Link,કડી,
Long Text,લાંબા લખાણ,
Mandatory,ફરજિયાત,
Markdown Editor,માર્કડાઉન એડિટર,
Name,નામ,
Naming Series,નામકરણ સિરીઝ,
No,કોઈ,
No Copy,કોઈ નકલ,
Non Negative,નકારાત્મક,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),કૉલમ સંખ્યા યાદી જુઓ અથવા ગ્રિડ એક ક્ષેત્ર માટે (કુલ સ્તંભોને 11 કરતાં ઓછી હોવી જોઈએ),
Options,વિકલ્પો,
Other,અન્ય,
Password,પાસવર્ડ,
Pending Verification,બાકી ચકાસણી,
Percent,ટકા,
Perm Level,પર્મ સ્તર,
Permissions,પરવાનગીઓ,
Phone,ફોન,
Precision,શુદ્ધતા,
Print Hide,પ્રિંટ છુપાવો,
Print Hide If No Value,પ્રિંટ છુપાવો તો કોઈ કિંમત,
Print Width,પ્રિન્ટ પહોળાઈ,
Rating,રેટિંગ,
Read Only,ફક્ત વાંચી,
Rejected,નકારેલું,
Reload,ફરી લાવો,
Remember Last Selected Value,યાદ રાખો છેલ્લા પસંદ કરેલ કિંમત,
Report Hide,રિપોર્ટ છુપાવો,
Section Break,વિભાગ બ્રેક,
Select,પસંદ કરો,
Session Defaults,સત્ર ડિફોલ્ટ્સ,
Set non-standard precision for a Float or Currency field,એક રહેલું અથવા ચલણ ક્ષેત્ર માટે સેટ બિન પ્રમાણભૂત ચોકસાઇ,
Show Dashboard,ડેશબોર્ડ બતાવો,
Signature,હસ્તાક્ષર,
Small Text,નાની ટેક્સ્ટ,
Source,સોર્સ,
Source Name,સોર્સ નામ,
Status,સ્થિતિ,
System Manager,સિસ્ટમ વ્યવસ્થાપક,
Table,કોષ્ટક,
Table MultiSelect,કોષ્ટક મલ્ટિલેલેક્ટ,
Template,ઢાંચો,
Text,લખાણ,
Text Editor,લખાણ સંપાદક,
Time,સમય,
Title,શીર્ષક,
Translatable,અનુવાદયોગ્ય,
Type,પ્રકાર,
Unique,અનન્ય,
View Website,વેબસાઇટ જુઓ,
Width,પહોળાઈ,
Yes,હા,
