All,HAMMA,
Allow Bulk Edit,Ommaviy tahrirlashga ruxsat berish,
Allow in Quick Entry,Tez kirishga ruxsat berish,
Allow on Submit,Yuborishga ruxsat berish,
Amended From,O&#39;zgartirishlar,
Attach,Qo&#39;shing,
Attach Image,Rasm qo&#39;shish,
Barcode,Shtrix-kod,
Bold,Qalin,
Button,Tugma,
Check,Tekshiring,
City,Shahar,
Code,Kod,
Collapsible,Katlanabilir,
Color,Rang,
Column Break,Ustunli tanaffus,
Columns,Ustunlar,
Contact Details,Aloqa tafsilotlari,
Content,Kontent,
Country,Davlat,
Currency,Valyuta,
Data,Ma&#39;lumotlar,
Date,Sana,
Datetime,Datetime,
Default,Standart,
Defaults,Standartlar,
Description,Ta&#39;rif,
Display,Ko&#39;rish,
Documentation URL,Hujjatlarning URL manzili,
Draft,Loyihalar,
Duration,Muddati,
Dynamic Link,Dynamic Link,
Email,E-pochta,
Fetch From,Fetch From,
Fields,Maydonlar,
Float,Float,
Fold,Kattalashtirilgan,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,HTML tahrirlovchisi,
Heading,Sarlavha,
Hidden,maxfiy,
Hide Border,Chegarani yashirish,
Hide Days,Kunlarni yashirish,
Hide Seconds,Soniyalarni yashirish,
Icon,Belgi,
Ignore User Permissions,Foydalanuvchi ruxsatlarini e&#39;tiborsiz qoldiring,
Ignore XSS Filter,XSS Filtrini e&#39;tiborsiz qoldiring,
Image,Rasm,
In Filter,Filtrda,
In Global Search,Global izlovchilarda,
In List View,Ro&#39;yxat ko&#39;rinishida,
In Preview,Ko&#39;rib chiqishda,
Index,Indeks,
Int,Int,
Is Active,Faol,
JSON,JSON,
Keyboard Shortcuts,Klaviatura yorliqlari,
Label,Yorliq,
Language,Til,
Length,Uzunligi,
Link,Aloqa,
Long Text,Uzoq matn,
Mandatory,Majburiy,
Markdown Editor,Markdown muharriri,
Name,Ism,
Naming Series,Namunaviy qator,
No,Yo&#39;q,
No Copy,Nusxalash yo&#39;q,
Non Negative,Salbiy emas,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Ro&#39;yxat ko&#39;rinishidagi yoki Griddagi bitta maydon uchun ustunlar soni (Total Sütunlar 11 dan kam bo&#39;lishi kerak),
Options,Tanlovlar,
Other,Boshqa,
Password,Parol,
Pending Verification,Tasdiqlash kutilmoqda,
Percent,Foiz,
Perm Level,Perm bosqichi,
Permissions,Ruxsatnomalar,
Phone,Telefon,
Precision,Nozik,
Print Hide,Chop etish uchun yashirish,
Print Hide If No Value,Qiymat bo&#39;lmasa Berkitish bekitsin,
Print Width,Chop etish kengligi,
Rating,Reyting,
Read Only,Faqat o&#39;qish,
Rejected,Rad etildi,
Reload,Qayta yuklash,
Remember Last Selected Value,Oxirgi tanlangan qiymatni eslab qoling,
Report Hide,Hide hisoboti,
Section Break,Bo&#39;limni ajratish,
Select,Tanlang,
Session Defaults,Sessiya standartlari,
Set non-standard precision for a Float or Currency field,Float yoki Valyuta maydoni uchun standart bo&#39;lmagan aniqlikni o&#39;rnating,
Show Dashboard,Asboblar panelini ko&#39;rsatish,
Signature,Imzo,
Small Text,Kichik matn,
Source,Manba,
Source Name,Manba nomi,
Status,Holat,
System Manager,Tizim menejeri,
Table,Jadval,
Table MultiSelect,MultiSelect jadvali,
Template,Andoza,
Text,Matn,
Text Editor,Matn tahrirlovchisi,
Time,Vaqt,
Title,Sarlavha,
Translatable,Translatable,
Type,Turi,
Unique,Noyob,
View Website,Veb-saytni ko&#39;rish,
Width,Kengligi,
Yes,Ha,
