All,Tất cả,
Allow Bulk Edit,Cho phép Chỉnh sửa Hàng loạt,
Allow in Quick Entry,Cho phép trong mục nhập nhanh,
Allow on Submit,Cho phép khi Đệ trình,
Amended From,Sửa đổi Từ,
Attach,Đính kèm,
Attach Image,Hình ảnh đính kèm,
Barcode,Mã vạch,
Bold,Dũng cảm,
Button,Nút,
Check,Kiểm tra,
City,Thành phố,
Code,Code,
Collapsible,Ráp,
Color,Màu,
Column Break,Cột lao,
Columns,Cột,
Contact Details,Chi tiết Liên hệ,
Content,Lọc nội dung,
Country,Tại,
Currency,Tiền tệ,
Data,Dữ liệu,
Date,Ngày,
Datetime,Ngày giờ,
Default,Mặc định,
Defaults,Mặc định,
Description,Mô tả,
Display,Hiển thị,
Documentation URL,URL tài liệu,
Draft,Bản nháp,
Duration,Thời lượng,
Dynamic Link,Liên kết động,
Email,E-mail,
Fetch From,Tìm nạp từ,
Fields,Các trường,
Float,Phao,
Fold,Gập lại,
Geolocation,Vị trí địa lý,
HTML,HTML,
HTML Editor,Trình chỉnh sửa HTML,
Heading,Đề mục,
Hidden,Ẩn,
Hide Border,Ẩn đường viền,
Hide Days,Ẩn ngày,
Hide Seconds,Ẩn Giây,
Icon,Biểu tượng,
Ignore User Permissions,Bỏ qua tài Quyền,
Ignore XSS Filter,Bỏ qua bộ lọc,
Image,Hình,
In Filter,Bộ lọc trong,
In Global Search,Trong Tìm kiếm Toàn cầu,
In List View,Trong xem danh sách,
In Preview,Trong bản xem trước,
Index,Mục lục,
Int,Int,
Is Active,Là hoạt động,
JSON,JSON,
Keyboard Shortcuts,Các phím tắt bàn phím,
Label,Nhãn,
Language,Ngôn ngữ,
Length,Chiều dài,
Link,Liên kết,
Long Text,Tiêu đề dài,
Mandatory,Bắt buộc,
Markdown Editor,Biên tập Markdown,
Name,Tên,
Naming Series,Đặt tên series,
No,Không,
No Copy,Không có bản sao chép,
Non Negative,Không phủ định,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Số cột cho một trường trong một xem danh sách hoặc một lưới (Tổng cột nên được ít hơn 11),
Options,Tùy chọn,
Other,Khác,
Password,Mật khẩu,
Pending Verification,Đang chờ xác minh,
Percent,Phần trăm,
Perm Level,Cấp độ cho phép,
Permissions,Quyền,
Phone,Chuyển tệp,
Precision,Độ chính xác,
Print Hide,In Ẩn,
Print Hide If No Value,In Hide Nếu Không Value,
Print Width,Chiều rộng in,
Rating,Đánh giá,
Read Only,Chỉ đọc,
Rejected,Bị từ chối,
Reload,Nạp lại,
Remember Last Selected Value,Ghi giá trị được lựa chọn cuối,
Report Hide,Báo cáo Ẩn,
Section Break,Phần phá vỡ,
Select,Chọn,
Session Defaults,Mặc định phiên,
Set non-standard precision for a Float or Currency field,Đặt độ chính xác phi tiêu chuẩn cho một lĩnh vực Float hoặc tệ,
Show Dashboard,Hiển thị bảng điều khiển,
Signature,Chữ ký,
Small Text,Tiêu đề nhỏ,
Source,Nguồn,
Source Name,Tên nguồn,
Status,Trạng thái,
System Manager,Hệ thống quản lý,
Table,Bảng,
Table MultiSelect,Bảng MultiSelect,
Template,Mẫu,
Text,Vãn bản,
Text Editor,Trình soạn thảo văn bản,
Time,Thời gian,
Title,Tiêu đề,
Translatable,Có thể dịch được,
Type,Loại,
Unique,Độc nhất,
View Website,Xem trang web,
Width,Chiều rộng,
Yes,Đồng ý,
