All,အားလုံး,
Allow Bulk Edit,အစုလိုက် Edit ကို Allow,
Allow in Quick Entry,လျင်မြန်စွာ Entry အတွက် Allow,
Allow on Submit,Submit အပေါ် Allow,
Amended From,မှစ. ပြင်ဆင်,
Attach,ကပ်,
Attach Image,Image ကို Attach,
Barcode,ဘားကုဒ်,
Bold,ရဲရင့်,
Button,button ကို,
Check,စစ်ဆေးခြင်း,
City,မြို့,
Code,Code ကို,
Collapsible,ခေါက်,
Color,အရောင်,
Column Break,ကော်လံ Break,
Columns,ကော်လံ,
Contact Details,ဆက်သွယ်ရန်အသေးစိတ်,
Content,content,
Country,ပြည်,
Currency,ငှေကွေး,
Data,ဒေတာ,
Date,နေ့စှဲ,
Datetime,Datetime,
Default,ပျက်ကွက်,
Defaults,Defaults ကို,
Description,ဖေါ်ပြချက်,
Display,ပြသ,
Documentation URL,မှတ်တမ်း URL,
Draft,မူကြမ်း,
Duration,ရှည်ကြာခြင်း,
Dynamic Link,dynamic Link ကို,
Email,အီးမေး,
Fetch From,မှစ. ဆွဲယူ,
Fields,လယ်ကွက်,
Float,မြော,
Fold,ခေါက်,
Geolocation,geolocation,
HTML,HTML ကို,
HTML Editor,HTML ကို Editor ကို,
Heading,ဉီးတည်ချက်,
Hidden,ဝှက်ထား,
Hide Border,Border ဖျောက်ထားပါ,
Hide Days,နေ့များဖျောက်ထားပါ,
Hide Seconds,စက္ကန့်ဖျောက်ပါ,
Icon,အိုင်ကွန်,
Ignore User Permissions,အသုံးပြုသူခွင့်ပြုချက် Ignore,
Ignore XSS Filter,XSS Filter ကိုလျစ်လျူရှုပါ,
Image,image,
In Filter,Filter ကိုအတွက်,
In Global Search,ကမ္တာ့ရှာရန်အတွက်,
In List View,List ကိုကြည့်ရန်အတွက်,
In Preview,ကို Preview ခုနှစ်တွင်,
Index,ညွှန်ပြသောအရာ,
Int,int,
Is Active,Active ဖြစ်ပါတယ်,
JSON,JSON,
Keyboard Shortcuts,keyboard Shortcuts,
Label,ကပ်တံဆိပ်,
Language,ဘာသာစကား,
Length,အရှည်,
Link,Link,
Long Text,Long ကစာသား,
Mandatory,အတင်းအကျပ်ဖြစ်သော,
Markdown Editor,Markdown Editor ကို,
Name,နာမကို,
Naming Series,စီးရီးအမည်,
No,မရှိပါ,
No Copy,အဘယ်သူမျှမမိတ္တူ,
Non Negative,မဟုတ်အနုတ်လက္ခဏာ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),တစ်ဦး List ကိုကြည့်ရန်သို့မဟုတ်တစ် Grid အတွက်လယ်များအတွက်ကော်လံ၏နံပါတ် (စုစုပေါင်းကော်လံများထက်နည်း 11 ဖြစ်သင့်),
Options,Options ကို,
Other,အခြား,
Password,စကားဝှက်,
Pending Verification,ဆိုင်းငံ့အတည်ပြု,
Percent,ရာခိုင်နှုန်း,
Perm Level,Perm အဆင့်,
Permissions,ခွင့်ပြုချက်,
Phone,Phone များ,
Precision,စေ့စပ်သေချာခြင်း,
Print Hide,ပုံနှိပ်ဖျောက်,
Print Hide If No Value,အဘယ်သူမျှမ Value ကိုဆိုပါက print ကိုဖျောက်,
Print Width,ပုံနှိပ်အကျယ်,
Rating,rating,
Read Only,သာလျှင် Read,
Rejected,ပယ်ချ,
Reload,Reload ကို,
Remember Last Selected Value,နောက်ဆုံး Selected Value ကိုအောကျမေ့,
Report Hide,အစီရင်ခံစာဖျောက်,
Section Break,ပုဒ်မ Break,
Select,ကိုရွေးပါ,
Session Defaults,session Defaults ကို,
Set non-standard precision for a Float or Currency field,တစ် Float သို့မဟုတ်ငွေကြေးစနစ်လယ်ပြင်သည် Non-စံတိ Set,
Show Dashboard,Show ကို Dashboard ကို,
Signature,လက်မှတ်,
Small Text,အသေးစားစာသား,
Source,အရင်းအမြစ်,
Source Name,source အမည်,
Status,အဆင့်အတန်း,
System Manager,system Manager က,
Table,စားပှဲ,
Table MultiSelect,စားပွဲတင် MultiSelect,
Template,template,
Text,စာသား,
Text Editor,text Editor ကို,
Time,အချိန်,
Title,ဘှဲ့,
Translatable,ဘာသာပြန်ချက်,
Type,ပုံစံ,
Unique,ထူးခြားသော,
View Website,view ဝက်ဘ်ဆိုက်,
Width,ကျယ်ဝန်းခြင်း,
Yes,ဟုတ်ကဲ့,
