All,Todos,
Allow Bulk Edit,Permitir edição em massa,
Allow in Quick Entry,Permitir na entrada rápida,
Allow on Submit,Permitir ao Enviar,
Amended From,Alterado De,
Attach,Anexar,
Attach Image,Anexar Imagem,
Barcode,Código de barras,
Bold,Negrito,
Button,Botão,
Check,Verifica,
City,Cidade,
Code,Código,
Collapsible,Comprimíveis,
Color,Cor,
Column Break,Quebra de Coluna,
Columns,Colunas,
Contact Details,Dados de Contacto,
Content,Conteúdo,
Country,País,
Currency,Moeda,
Data,Dados,
Date,Data,
Datetime,Data e Hora,
Default,Padrão,
Defaults,Padrões,
Description,Descrição,
Display,Visualização,
Documentation URL,URL de documentação,
Draft,"Esboço, projeto",
Duration,Duração,
Dynamic Link,Dynamic Link,
Email,O email,
Fetch From,Buscar de,
Fields,Campos,
Float,Vírgula Flutuante,
Fold,Dobrar,
Geolocation,Geolocalização,
HTML,HTML,
HTML Editor,Editor de HTML,
Heading,Título,
Hidden,Escondido,
Hide Border,Ocultar borda,
Hide Days,Ocultar dias,
Hide Seconds,Ocultar segundos,
Icon,Ícone,
Ignore User Permissions,Ignorar Permissões de Utilizador,
Ignore XSS Filter,Ignorar Filtro XSS,
Image,Imagem,
In Filter,No Filtro,
In Global Search,Em Global Search,
In List View,Na Vista de Lista,
In Preview,Na pré-visualização,
Index,Índice,
Int,Int,
Is Active,É Ativa,
JSON,JSON,
Keyboard Shortcuts,Atalhos do teclado,
Label,Rótulo,
Language,Linguagem,
Length,Comprimento,
Link,Ligação,
Long Text,Texto Descritivo,
Mandatory,Obrigatório,
Markdown Editor,Editor de Markdown,
Name,Nome,
Naming Series,Série de Atrib. de Nomes,
No,Não,
No Copy,Nenhuma Cópia,
Non Negative,Não Negativo,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Número de colunas para um campo em uma lista ou de um Grid (Total de colunas deve ser inferior a 11),
Options,Opções,
Other,Outro,
Password,Senha,
Pending Verification,verificação pendente,
Percent,Por Cento,
Perm Level,Nível de Perm.,
Permissions,Permissões,
Phone,Telefone,
Precision,Precisão,
Print Hide,Ocultar na Impressão,
Print Hide If No Value,Ocultar na Impressão Se Não Houver Nenhum Valor,
Print Width,Largura de Impressão,
Rating,Avaliação,
Read Only,Só de Leitura,
Rejected,Rejeitado,
Reload,recarregar,
Remember Last Selected Value,Lembre-se Última valor selecionado,
Report Hide,Ocultar Relatório,
Section Break,Quebra de seção,
Select,Seleção,
Session Defaults,Padrões de Sessão,
Set non-standard precision for a Float or Currency field,Definir precisão não-padrão para um campo Float ou Moeda,
Show Dashboard,Mostrar painel,
Signature,Assinatura,
Small Text,Texto Pequeno,
Source,Fonte,
Source Name,Nome da Fonte,
Status,Status,
System Manager,System Manager,
Table,Tabela,
Table MultiSelect,Tabela MultiSelect,
Template,Modelo,
Text,Caixa de Texto,
Text Editor,Editor de Texto,
Time,Tempo,
Title,Título,
Translatable,Traduzível,
Type,Tipo,
Unique,Único,
View Website,Veja site,
Width,Largura,
Yes,sim,
