All,Kõik,
Allow Bulk Edit,Luba Bulk Edit,
Allow in Quick Entry,Luba kiirel sisselogimisel,
Allow on Submit,Laske Submit,
Amended From,Muudetud From,
Attach,Kinnitage,
Attach Image,Kinnita Image,
Barcode,Vöötkood,
Bold,Julge,
Button,Button,
Check,Kontrollima,
City,City,
Code,Kood,
Collapsible,Kokkupandav,
Color,Värvus,
Column Break,Veerg Break,
Columns,veerud,
Contact Details,Kontaktandmed,
Content,Sisu,
Country,Riik,
Currency,Valuuta,
Data,Andmed,
Date,Kuupäev,
Datetime,Date,
Default,Vaikimisi,
Defaults,Vaikeväärtused,
Description,Kirjeldus,
Display,Display,
Documentation URL,Dokumentatsiooni URL,
Draft,Mustand,
Duration,Kestus,
Dynamic Link,Dynamic Link,
Email,E-kiri,
Fetch From,Tõmba välja,
Fields,Valdkonnad,
Float,Float,
Fold,Voldi,
Geolocation,Geograafiline asukoht,
HTML,HTML,
HTML Editor,HTML-redaktor,
Heading,Rubriik,
Hidden,peidetud,
Hide Border,Peida piir,
Hide Days,Peida päevad,
Hide Seconds,Peida sekundid,
Icon,Ikoon,
Ignore User Permissions,Ignoreeri Kasutaja reeglid,
Ignore XSS Filter,Ignoreeri XSS Filter,
Image,Pilt,
In Filter,In Filter,
In Global Search,Global Search,
In List View,In List View,
In Preview,Eelvaates,
Index,Indeks,
Int,Int,
Is Active,Kas Active,
JSON,JSON,
Keyboard Shortcuts,Klaviatuuri otseteed,
Label,Etikett,
Language,Keel,
Length,Pikkus,
Link,Link,
Long Text,Pikk tekst,
Mandatory,Kohustuslik,
Markdown Editor,Markdown Editor,
Name,Nimi,
Naming Series,Nimetades Series,
No,Ei ole,
No Copy,No Copy,
Non Negative,Mitte negatiivne,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Veergude arvu valdkonnas on loetelu Vaata või Grid (kokku veerud peaks olema väiksem kui 11),
Options,Valikud,
Other,Muud,
Password,Salasõna,
Pending Verification,Kinnituse ootel,
Percent,Protsenti,
Perm Level,Perm Level,
Permissions,Permissions,
Phone,Telefon,
Precision,Precision,
Print Hide,Prindi Peida,
Print Hide If No Value,Prindi Peida Kui väärtust,
Print Width,Prindi Laius,
Rating,Hinnang,
Read Only,Loe ainult,
Rejected,Tagasi lükatud,
Reload,Reload,
Remember Last Selected Value,Pea meeles viimati valitud väärtus,
Report Hide,Aruanne Peida,
Section Break,Sektsioonipiir,
Select,Valima,
Session Defaults,Seansi vaikeväärtused,
Set non-standard precision for a Float or Currency field,Määra mittestandardsed täpsus Float või Valuuta valdkonnas,
Show Dashboard,Kuva juhtpaneel,
Signature,Signatuur,
Small Text,Väike tekst,
Source,Allikas,
Source Name,Allikas Nimi,
Status,Staatus,
System Manager,Süsteemihaldur,
Table,Tabel,
Table MultiSelect,Tabel MultiSelect,
Template,Šabloon,
Text,Tekst,
Text Editor,Tekstiredaktor,
Time,Aeg,
Title,Pealkiri,
Translatable,Tõlgitav,
Type,Tüüp,
Unique,Unikaalne,
View Website,Vaata Koduleht,
Width,Laius,
Yes,Jah,
