About,Hakkında,
All,Tümü,
Allow Bulk Edit,Toplu Düzenlemeye İzin Ver,
Allow in Quick Entry,Hızlı Girişe İzin Ver,
Allow on Submit,Gönderimde İzin Ver,
Amended From,Değiştirildi,
Apps,Uygulamalar,
Attach,Ekle,
Attach Image,Paketi Ekle,
Autocomplete,Otomatik Tamamlama,
Barcode,Barkod,
Bold,Kalın,
Button,Buton,
Check,Kontrol et,
City,Şehir,
Code,Kod,
Collapsible,Açılır Kapanır,
Color,Renk,
Columns,Sütunlar,
Constraints,Kısıtlamalar,
Contact Details,İletişim Detayları,
Content,İçerik,
Country,Ülke,
Currency,Para Birimi,
Data,Veri,
Date,Tarih,
Datetime,Tarih ve Saat,
Default,Varsayılan,
Defaults,Varsayılan Değerler,
Description,Açıklama,
Display,Görünüm,
Documentation URL,Dökümantasyon Bağlantısı,
"Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field"," HTML etiketlerini &lt;script&gt; gibi veya sadece &lt; ve &gt; gibi karakterleri kodlamayın, çünkü bunlar bu alanda kasıtlı olarak kullanılabilir",
Draft,Taslak,
Duration,Süre,
Dynamic Link,Dinamik Bağlantı,
Email,E-posta,
Fetch From,Şuradan Getir,
Fetch on Save if Empty,Boşsa Kaydederken Getir,
Fields,Alanlar,
Float,Ondalık,
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","Bağlantılar için DocType'ı aralık olarak girin.
Seçim için, her biri yeni bir satırda olmak üzere Seçenekler listesini girin.",
Frappe Support,Frappe Desteği,
HTML,HTML,
HTML Editor,HTML Düzenleyici,
Heading,Başlık,
Hidden,Gizli,
Hide Border,Kenarları Gizle,
Hide Days,Günleri Gizle,
Hide Seconds,Saniyeleri Gizle,
Icon,Simge,
"If unchecked, the value will always be re-fetched on save.","İşaretlenmezse, değer her zaman kaydetme sırasında yeniden getirilecektir.",
Ignore User Permissions,Kullanıcı İzinlerini Yoksay,
Ignore XSS Filter,XSS Filtresini Yoksay,
Image,Resim,
In Filter,Filtre,
In Global Search,Genel Arama,
In List Filter,Liste Filtresinde,
In List View,Liste Görünümünde Göster,
In Preview,Önizleme,
Index,Dizin,
Int,Tam sayı,
Is Active,Aktif,
JSON,JSON,
Keyboard Shortcuts,Klavye Kısayolları,
Label,Etiket,
Language,Dil,
Length,Uzunluk,
Link,Bağlantı,
Link Filters,Filtre Bağlantıları,
List / Search Settings,Liste / Arama Ayarları,
Log out,Çıkış,
Long Text,Uzun Metin,
Manage Billing,Faturalandırmayı Yönet,
Mandatory,Zorunlu,
Markdown Editor,Markdown Editörü,
Max Height,Maksimum Yükseklik,
My Profile,Profilim,
My Settings,Ayarlarım,
Name,Adı,
Naming Series,Adlandırma Serisi,
No,Hayır,
No Copy,Kopyalanamaz,
Non Negative,Negatif Olmayan,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Liste Görünümü veya Tablodaki bir alan için sütun sayısı. (Toplam Sütun sayısı 11'den az olmalıdır.),
Options,Şeçenekler,
Other,Diğer,
Password,Şifre,
Percent,Yüzde,
Perm Level,Yetki Seviyesi,
Permissions,İzinler,
Phone,Telefon,
Placeholder,Örnek Metin,
Precision,Kesinlik,
Print Hide,Yazdırmayı Gizle,
Print Hide If No Value,Değer Yoksa Yazdırmayı Gizle,
Print Width,Baskı Genişliği,
Rating,Değerlendirme,
Read Only,Salt Okunur,
Read Only Depends On (JS),Sadece Okunur Koşulu (JS),
Rejected,Reddedildi,
Reload,Yeniden Yükle,
Remember Last Selected Value,Son Seçilen Değeri Hatırla,
Report Hide,Raporu Gizle,
Section Break,Bölüm Başlığı,
Select,Seçim,
Session Defaults,Oturum Varsayılanları,
Set only once,Sadece Bir Kez Ayarla,
Show Dashboard,Panoyu Göster,
Show on Timeline,Zaman Akışında Göster,
Signature,İmza,
Small Text,Küçük Yazı,
Sort Options,Sıralama Seçenekleri,
Source,Kaynak,
Source Name,Kaynak Adı,
Status,Durum,
System Manager,Sistem Yöneticisi,
Tab Break,Sekme,
Table,Tablo,
Table MultiSelect,Tablo Çoklu Seçim,
Template,Şablon,
Text,Yazı,
Text Editor,Yazı Editorü,
Time,Zaman,
Title,Başlık,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
Translatable,Çevirilebilir,
Type,Türü,
Unique,Benzersiz,
View Website,Websitesine Git,
Virtual,Sanal,
Visibility,Görünürlülük,
Width,Genişlik,
Yes,Evet,
