All,全部
Allow Bulk Edit,允许批量修改
Allow in Quick Entry,允许快速输入
Allow on Submit,允许提交
Amended From,修订源,
Attach,附件,
Attach Image,附加图片,
Barcode,条码,
Base information of installation,安装基础信息,
Bold,胆大,
Button,按钮,
CBAM Home,CBAM 主页,
CBAM Representative Email,CBAM 代表电子邮件,
CBAM Representative First Name,CBAM 代表姓名,
CBAM Representative Last Name,CBAM 代表姓氏,
CBAM Representative Phone Number,CBAM 代表电话号码,
CBAM Representive Details,CBAM 代表详情,
Check,校验,
City,城市,
Code,代码,
Collapsible,可折叠,
Color,颜色,
Column Break,分栏符,
Columns,列,
Commercial Contact,商务联系方式,
Company Email,公司电子邮件,
Company Phone Number,公司电话号码,
Contact Details,联系人信息,
Content,内容,
Country,国家,
Currency,货币,
Customs Tariff Number,海关税则号,
Data,数据,
Data Assigned,分配的数据,
Data Requested,要求提供的数据,
Data Submitted,提交的数据,
Date,日期,
Datetime,时间日期,
Default,默认,
Defaults,默认,
"Define how emissions get monitored, reported and verified:",确定如何监测、报告和核实排放量：,
Description,描述,
Display,显示,
Documentation URL,文档网址,
Draft,草案,
Duration,持续时间,
Dynamic Link,动态链接,
Electricity consumed [MWh/t],耗电量[兆瓦时/吨］,
Email,电子邮件,
Emission Data,排放数据,
Emission Details,排放细节,
Emissions data tracking of the installation,安装设备的排放数据跟踪,
Example: 1.67 tCO2/t (t = tonnes of product),例如：1.67 tCO2/t（t = 产品吨数）,
Fetch From,取自,
Fields,字段,
Float,浮点数,
Fold,折叠,
Geolocation,地理位置,
Good Description,良好描述,
Goods,货物,
Goods List,货物清单,
HTML,HTML,
HTML Editor,HTML编辑器,
Heading,标题,
Hidden,隐,
Hide Border,隐藏边框,
Hide Days,隐藏的日子,
Hide Seconds,隐藏秒,
Icon,图标,
Ignore User Permissions,忽略用户权限,
Ignore XSS Filter,忽略XSS过滤器,
Image,图像,
Imported into EU on,进口到欧盟的日期,
Impressum,印象深刻,
In Filter,在过滤器中,
In Global Search,在全局搜索,
In List View,在列表视图,
In Preview,在预览中,
Index,索引,
Indirect Emission Factor,间接排放因子,
Installation,安装,
Installation Name,安装名称,
Int,整数,
Is Active,是活动的,
Is the installation subject to an emission trading system?,装置是否受排放交易系统的约束？,
Is the installation tracking emissions data?,设备是否跟踪排放数据？,
JSON,JSON,
Keyboard Shortcuts,键盘快捷键,
Label,标签,
Language,语言,
Length,长短,
Link,链接,
Long Text,长文本,
Mandatory,强制性,
Markdown Editor,Markdown 编辑器,
Name,名称,
Naming Series,名录,
No,No,
No Copy,没有复制,
Non Negative,非负数,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),列数在列表视图或网格场（合计列应小于11）,
Options,选项,
Other,其他,
Parent Operating Company,母公司运营公司,
Password,密码,
Pending Verification,待验证,
Percent,百分之,
Perm Level,权限等级,
Permissions,权限,
Phone,电话,
Precision,精确,
Print Hide,打印隐藏,
Print Hide If No Value,打印隐藏如果没有值,
Print Width,打印宽度,
Privacy Policy,隐私政策,
Production method,生产方法,
Qty to Split,拆分数量,
Rating,评分,
Read Only,只读,
Rejected,拒绝,
Reload,重新载入,
Remember Last Selected Value,记得上次选定的值,
Report Hide,报告隐藏,
Section Break,分节符,
Select,选择,
Session Defaults,会话默认值,
Set non-standard precision for a Float or Currency field,为浮点或货币字段设置非标准的精度。,
Show Dashboard,显示仪表板,
Signature,签名,
Small Text,短文,
Source,资料来源,
Source Name,源名称,
Source of Indirect Emission Factor,间接排放因子的来源,
Source of electricity,电力来源,
Specific (direct) embedded emissions [tCO2/t],具体（直接）内含排放 [tCO2/t],
Specific (indirect) embedded emissions [tCO2/t],具体（间接）内含排放 [tCO2/t],
Split,分割,
Status,现状,
Street and Number,街道和编号,
Supplier,供应商,
Supplier Name,供应商名称,
Supplier Number,供应商编号,
System Manager,系统管理员,
Table,表,
Table MultiSelect,表MultiSelect,
Template,模板,
Text,文本,
Text Editor,文本编辑器,
Time,时间,
Title,标题,
Translatable,可翻译,
Type,类型,
Unique,唯一,
View Website,查看网站,
Which emission trading system (link to legal act)?,哪种排放交易体系（与法律行为的链接）？,
Width,宽度,
Yes,是,
ZIP Code,邮政编码,
Zip code,邮政编码,
