All,svi,
Allow Bulk Edit,Dopusti Skupno uređivanje,
Allow in Quick Entry,Dopusti u brzom unosu,
Allow on Submit,Dopusti pri potvrdi,
Amended From,Izmijenjena Od,
Attach,Pričvrstiti,
Attach Image,Pričvrstite slike,
Barcode,Barkod,
Bold,odvažan,
Button,Gumb,
Check,Ček,
City,Grad,
Code,Šifra,
Collapsible,Sklopiva,
Color,Boja,
Column Break,Kolona Break,
Columns,Kolumne,
Contact Details,Kontakt podaci,
Content,Sadržaj,
Country,Zemlja,
Currency,Valuta,
Data,Podaci,
Date,Datum,
Datetime,Datum i vrijeme,
Default,Zadano,
Defaults,Zadani,
Description,Opis,
Display,Prikaz,
Documentation URL,URL dokumentacije,
Draft,Nacrt,
Duration,Trajanje,
Dynamic Link,Dinamička poveznica,
Email,E-mail,
Fetch From,Dohvati od,
Fields,Polja,
Float,Plutati,
Fold,Saviti,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,HTML uređivač,
Heading,Naslov,
Hidden,Skriven,
Hide Border,Sakrij granicu,
Hide Days,Sakrij dane,
Hide Seconds,Sakrij sekunde,
Icon,Ikona,
Ignore User Permissions,Ignorirajte korisnička dopuštenja,
Ignore XSS Filter,Zanemari XSS filtar,
Image,Slika,
In Filter,U filtru,
In Global Search,U Global Search,
In List View,U prikazu popisa,
In Preview,U pregledu,
Index,Indeks,
Int,Interesi,
Is Active,Je aktivan,
JSON,JSON,
Keyboard Shortcuts,Prečice na tipkovnici,
Label,Oznaka,
Language,Jezik,
Length,Duljina,
Link,Veza,
Long Text,Dugi tekst,
Mandatory,Obavezno,
Markdown Editor,Markdown Editor,
Name,Ime,
Naming Series,Imenovanje serije,
No,Br,
No Copy,Ne kopiraj,
Non Negative,Negativno,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Broj stupaca za polje u prikazu popisa ili mreže (Ukupno Kolumne trebao biti manji od 11),
Options,Opcije,
Other,Drugi,
Password,Zaporka,
Pending Verification,Čeka se potvrda,
Percent,Postotak,
Perm Level,Razina ovlasti,
Permissions,Dopuštenja,
Phone,Telefon,
Precision,Preciznost,
Print Hide,Sakrij ispis,
Print Hide If No Value,Ispis Sakrij Ako nema vrijednost,
Print Width,Širina ispisa,
Rating,Ocjena,
Read Only,Read Only,
Rejected,Odbijen,
Reload,Reload,
Remember Last Selected Value,Sjeti se posljednja odabrana vrijednost,
Report Hide,Prijavi Sakrij,
Section Break,Odjeljak Break,
Select,Odabrati,
Session Defaults,Zadani zadaci sesije,
Set non-standard precision for a Float or Currency field,Postavite non-standard preciznosti za plovak ili valuta polju,
Show Dashboard,Prikaži nadzornu ploču,
Signature,Potpis,
Small Text,Mali Tekst,
Source,Izvor,
Source Name,source Name,
Status,Status,
System Manager,Sustav Manager,
Table,Stol,
Table MultiSelect,Tablica MultiSelect,
Template,Predložak,
Text,Tekst,
Text Editor,Tekst Editor,
Time,Vrijeme,
Title,Naslov,
Translatable,prevodljiv,
Type,Vrsta,
Unique,Jedinstvena,
View Website,Pogledaj web stranicu,
Width,Širina,
Yes,Da,
