All,Semua,
Allow Bulk Edit,Izinkan Edit Massal,
Allow in Quick Entry,Izinkan dalam Entri Cepat,
Allow on Submit,Izinkan Submit,
Amended From,Diubah Dari,
Attach,Melampirkan,
Attach Image,Pasang Gambar,
Barcode,Kode batang,
Bold,Mencolok,
Button,Tombol,
Check,Memeriksa,
City,Kota,
Code,Kode,
Collapsible,Collapsible,
Color,Warna,
Column Break,Kolom Istirahat,
Columns,kolom,
Contact Details,Kontak Detail,
Content,Isi Halaman,
Country,Negara,
Currency,Mata uang,
Data,Data,
Date,Tanggal,
Datetime,Datetime,
Default,Standar,
Defaults,Standar,
Description,Deskripsi,
Display,Tampilan,
Documentation URL,URL Dokumentasi,
Draft,Draf,
Duration,Lamanya,
Dynamic Link,Dynamic Link,
Email,Surel,
Fetch From,Ambil Dari,
Fields,Bidang,
Float,Mengapung,
Fold,Melipat,
Geolocation,Geolokasi,
HTML,HTML,
HTML Editor,Editor HTML,
Heading,Kepala,
Hidden,Tersembunyi,
Hide Border,Sembunyikan Perbatasan,
Hide Days,Sembunyikan Hari,
Hide Seconds,Sembunyikan Detik,
Icon,Ikon,
Ignore User Permissions,Abaikan Izin Pengguna,
Ignore XSS Filter,Abaikan XSS Filter,
Image,Gambar,
In Filter,Dalam Filter,
In Global Search,Di Global Search,
In List View,Dalam Daftar View,
In Preview,Dalam Pratinjau,
Index,Indeks,
Int,Int,
Is Active,Aktif,
JSON,JSON,
Keyboard Shortcuts,Pintasan keyboard,
Label,Label,
Language,Bahasa,
Length,Panjangnya,
Link,Tautan,
Long Text,Panjang Teks,
Mandatory,Wajib,
Markdown Editor,Editor penurunan harga,
Name,Nama,
Naming Series,Series Penamaan,
No,No,
No Copy,Tidak ada Copy,
Non Negative,Non Negatif,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Jumlah kolom untuk bidang dalam Daftar View atau Grid (Jumlah Kolom harus kurang dari 11),
Options,Pilihan,
Other,Lain-lain,
Password,Kata sandi,
Pending Verification,Verifikasi Tertunda,
Percent,Persen,
Perm Level,Perm Tingkat,
Permissions,Otorisasi,
Phone,Telepon,
Precision,Ketelitian,
Print Hide,Cetak Sembunyikan,
Print Hide If No Value,Cetak Sembunyikan Jika ada Nilai,
Print Width,Cetak Lebar,
Rating,penilaian,
Read Only,Read Only,
Rejected,Ditolak,
Reload,Mengisi kembali,
Remember Last Selected Value,Ingat Nilai Dipilih terakhir,
Report Hide,Laporan Hide,
Section Break,Bagian istirahat,
Select,Pilih,
Session Defaults,Default Sesi,
Set non-standard precision for a Float or Currency field,Set presisi non-standar untuk mengambang atau Mata lapangan,
Show Dashboard,Tampilkan Dasbor,
Signature,Tanda Tangan,
Small Text,Teks Kecil,
Source,Sumber,
Source Name,sumber Nama,
Status,Status,
System Manager,System Manager,
Table,Tabel,
Table MultiSelect,Tabel Multi Pilih,
Template,Contoh,
Text,Teks,
Text Editor,Teks Editor,
Time,Waktu,
Title,Judul,
Translatable,Bisa diterjemahkan,
Type,Jenis,
Unique,Unik,
View Website,Lihat Situs Web,
Width,Lebar,
Yes,Ya,
