All,سب,
Allow Bulk Edit,بلک میں ترمیم کریں کرنے کی اجازت دیں,
Allow in Quick Entry,فوری اندراج میں اجازت دیں,
Allow on Submit,جمع کرانے پر کی اجازت دیں,
Amended From,سے ترمیم شدہ,
Attach,منسلک کریں,
Attach Image,تصویر منسلک,
Barcode,بارکوڈ,
Bold,بولڈ,
Button,بٹن,
Check,چیک کریں,
City,شہر,
Code,کوڈ,
Collapsible,تہ,
Color,رنگین,
Column Break,کالم توڑ,
Columns,کالم,
Contact Details,رابطہ کی تفصیلات,
Content,مواد,
Country,ملک,
Currency,کرنسی,
Data,ڈیٹا,
Date,تاریخ,
Datetime,تاریخ وقت,
Default,پہلے سے طے شدہ,
Defaults,ڈیفالٹس,
Description,تفصیل,
Display,ڈسپلے,
Documentation URL,دستاویزات کا URL,
Draft,ڈرافٹ,
Duration,دورانیہ,
Dynamic Link,متحرک لنک,
Email,ای میل,
Fetch From,سے لے لو,
Fields,قطعات,
Float,فلوٹ,
Fold,گنا,
Geolocation,جغرافیہ,
HTML,HTML,
HTML Editor,ایچ ٹی ایم ایل ایڈیٹر,
Heading,سرخی,
Hidden,پوشیدہ,
Hide Border,بارڈر چھپائیں,
Hide Days,دن چھپائیں,
Hide Seconds,سیکنڈ چھپائیں,
Icon,شبیہہ,
Ignore User Permissions,صارف کی اجازت کو نظر انداز,
Ignore XSS Filter,XSS فلٹر کو نظرانداز کریں,
Image,تصویر,
In Filter,فلٹر میں,
In Global Search,گلوبل تلاش میں,
In List View,فہرست ویو میں,
In Preview,پیش نظارہ میں۔,
Index,انڈیکس,
Int,INT,
Is Active,فعال ہے,
JSON,JSON,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Label,لیبل,
Language,زبان,
Length,لمبائی,
Link,لنک,
Long Text,طویل متن,
Mandatory,لازمی,
Markdown Editor,مارک ڈاون ایڈیٹر۔,
Name,نام,
Naming Series,نام سیریز,
No,نہیں,
No Copy,کوئی کاپی,
Non Negative,غیر منفی,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),ایک فہرست دیکھیں یا ایک گرڈ میں ایک فیلڈ کے لئے کالم کی تعداد (کل کالم 11 سے کم ہونا چاہئے),
Options,اختیارات,
Other,دیگر,
Password,پاس ورڈ,
Pending Verification,زیر التواء تصدیق۔,
Percent,فیصد,
Perm Level,پیرم لیول,
Permissions,اجازتیں,
Phone,فون,
Precision,صحت سے متعلق,
Print Hide,پرنٹ چھپائیں,
Print Hide If No Value,پرنٹ چھپائیں تو کوئی قیمت,
Print Width,پرنٹ چوڑائی,
Rating,درجہ بندی,
Read Only,صرف پڑھو,
Rejected,مسترد,
Reload,دوبارہ,
Remember Last Selected Value,آخری منتخب ویلیو یاد رکھیں,
Report Hide,رپورٹ چھپائیں,
Section Break,صیغہ توڑ,
Select,منتخب کریں,
Session Defaults,سیشن ڈیفالٹس,
Set non-standard precision for a Float or Currency field,ایک فلوٹ یا کرنسی فیلڈ کے لئے مقرر غیر معیاری صحت سے متعلق,
Show Dashboard,ڈیش بورڈ دکھائیں۔,
Signature,دستخط,
Small Text,چھوٹے متن,
Source,ماخذ,
Source Name,ماخذ نام,
Status,سٹیٹس,
System Manager,سسٹم مینیجر,
Table,ٹیبل,
Table MultiSelect,ٹیبل ملٹی سلیکٹ۔,
Template,سانچہ,
Text,متن,
Text Editor,ٹیکسٹ ایڈیٹر,
Time,وقت,
Title,عنوان,
Translatable,ترجمہ,
Type,قسم,
Unique,منفرد,
View Website,سائٹ,
Width,چوڑائی,
Yes,جی ہاں,
