All,Ολα,
Allow Bulk Edit,Να επιτρέπεται η μαζική επεξεργασία,
Allow in Quick Entry,Να επιτρέπεται στη Γρήγορη Καταχώρηση,
Allow on Submit,Επιτρέπεται κατά την υποβολή,
Amended From,Τροποποίηση από,
Attach,Επισυνάψτε,
Attach Image,Επισύναψη εικόνας,
Barcode,Barcode,
Bold,Τολμηρός,
Button,Κουμπί,
Check,Ελεγχος,
City,Πόλη,
Code,Κωδικός,
Collapsible,Αναδιπλούμενο,
Color,Χρώμα,
Column Break,Αλλαγή στήλης,
Columns,Στήλες,
Contact Details,Στοιχεία επικοινωνίας επαφής,
Content,Περιεχόμενο,
Country,Χώρα,
Currency,Νόμισμα,
Data,Δεδομένα,
Date,Ημερομηνία,
Datetime,Datetime,
Default,Προεπιλεγμένο,
Defaults,Προεπιλογές,
Description,Περιγραφή,
Display,Εμφάνιση,
Documentation URL,URL τεκμηρίωσης,
Draft,Προσχέδιο,
Duration,Διάρκεια,
Dynamic Link,Δυναμικός σύνδεσμος,
Email,ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ,
Fetch From,Λήψη από,
Fields,Πεδία,
Float,Κινητής υποδιαστολής,
Fold,Αναδίπλωση,
Geolocation,Γεωγραφική θέση,
HTML,HTML,
HTML Editor,HTML Editor,
Heading,Επικεφαλίδα,
Hidden,κεκρυμμένος,
Hide Border,Απόκρυψη περιγράμματος,
Hide Days,Απόκρυψη ημερών,
Hide Seconds,Απόκρυψη δευτερολέπτων,
Icon,Εικόνισμα,
Ignore User Permissions,Αγνοήστε τα δικαιώματα χρήστη,
Ignore XSS Filter,Αγνοήστε XSS φίλτρο,
Image,Εικόνα,
In Filter,Στο φίλτρο,
In Global Search,Στην Σφαιρική Αναζήτηση,
In List View,Στην προβολή λίστας,
In Preview,Στην προεπισκόπηση,
Index,Δείκτης,
Int,Ακέραιος,
Is Active,Είναι ενεργό,
JSON,JSON,
Keyboard Shortcuts,Συντομεύσεις πληκτρολογίου,
Label,Ετικέτα,
Language,Γλώσσα,
Length,Μήκος,
Link,Σύνδεσμος,
Long Text,Μεγάλο κείμενο,
Mandatory,Υποχρεωτικό,
Markdown Editor,Markdown Editor,
Name,Όνομα,
Naming Series,Σειρά ονομασίας,
No,Οχι,
No Copy,Δεν υπάρχει αντίγραφο,
Non Negative,Μη αρνητικό,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Αριθμός στήλες για ένα πεδίο σε μια προβολή λίστας ή πλέγματος (Σύνολο στηλών θα πρέπει να είναι μικρότερο από 11),
Options,Επιλογές,
Other,Άλλος,
Password,Κωδικός,
Pending Verification,Εκκρεμεί Επαλήθευση,
Percent,Τοις εκατό,
Perm Level,Επίπεδο πρόσβασης,
Permissions,Δικαιώματα,
Phone,Τηλέφωνο,
Precision,Ακρίβεια,
Print Hide,Απόκρυψη εκτύπωσης,
Print Hide If No Value,Εκτύπωση Απόκρυψη Αν Όχι Αξία,
Print Width,Πλάτος εκτύπωσης,
Rating,Εκτίμηση,
Read Only,Μόνο για ανάγνωση,
Rejected,Απορρίφθηκε,
Reload,Επαναφόρτωση,
Remember Last Selected Value,Θυμηθείτε Τελευταία επιλεγμένη τιμή,
Report Hide,Απόκρυψη έκθεσης,
Section Break,Αλλαγή τμήματος,
Select,Επιλογή,
Session Defaults,Προεπιλογές περιόδου σύνδεσης,
Set non-standard precision for a Float or Currency field,Ορισμός μη τυπικής ακριβείας για ένα πεδίο κινητής υποδιαστολής ή νόμισμα,
Show Dashboard,Εμφάνιση πίνακα ελέγχου,
Signature,Υπογραφή,
Small Text,Μικρό κείμενο,
Source,Πηγή,
Source Name,Όνομα πηγή,
Status,Κατάσταση,
System Manager,Διαχειριστής συστήματος,
Table,Πίνακας,
Table MultiSelect,Πίνακας MultiSelect,
Template,Πρότυπο,
Text,Κείμενο,
Text Editor,Επεξεργαστής κειμένου,
Time,χρόνος,
Title,Τίτλος,
Translatable,Μεταφράσιμος,
Type,Τύπος,
Unique,Μοναδικός,
View Website,Δείτε την ιστοσελίδα,
Width,Πλάτος,
Yes,Ναί,
