All,모두,
Allow Bulk Edit,일괄 수정 허용,
Allow in Quick Entry,빠른 입력 허용,
Allow on Submit,제출에 허용,
Amended From,개정,
Attach,첨부,
Attach Image,이미지 첨부,
Barcode,바코드,
Bold,굵게,
Button,버튼,
Check,검사,
City,시,
Code,코드,
Collapsible,접을 수있는,
Color,색상,
Column Break,단 나누기,
Columns,열,
Contact Details,연락처 세부 사항,
Content,목차,
Country,국가,
Currency,통화,
Data,자료,
Date,날짜,
Datetime,날짜,
Default,기본값,
Defaults,기본값,
Description,내용,
Display,스크린,
Documentation URL,문서 URL,
Draft,초안,
Duration,지속,
Dynamic Link,동적 링크,
Email,이메일,
Fetch From,가져 오기 시작,
Fields,필드,
Float,Float,
Fold,겹,
Geolocation,지리적 위치,
HTML,HTML,
HTML Editor,HTML 편집기,
Heading,헤딩,
Hidden,숨겨진,
Hide Border,테두리 숨기기,
Hide Days,일 숨기기,
Hide Seconds,초 숨기기,
Icon,상,
Ignore User Permissions,사용자 권한을 무시,
Ignore XSS Filter,XSS 필터를 무시,
Image,영상,
In Filter,필터,
In Global Search,글로벌 검색,
In List View,목록보기,
In Preview,미리보기에서,
Index,목차,
Int,이자,
Is Active,활성,
JSON,JSON,
Keyboard Shortcuts,키보드 단축키,
Label,라벨,
Language,언어,
Length,길이,
Link,링크,
Long Text,긴 텍스트,
Mandatory,필수,
Markdown Editor,마크 다운 편집기,
Name,이름,
Naming Series,시리즈 이름 지정,
No,NO,
No Copy,더 복사하지,
Non Negative,음수가 아님,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),목록보기 또는 그리드의 필드에 대한 열 수 (총 열 적은 11 이상이어야 함),
Options,옵션,
Other,기타,
Password,비밀번호,
Pending Verification,대기중인 인증,
Percent,퍼센트,
Perm Level,파마 수준,
Permissions,허가 (또는 접근 권한),
Phone,휴대폰,
Precision,정확,
Print Hide,인쇄 숨기기,
Print Hide If No Value,인쇄 숨기면 아무 가치가 없습니다,
Print Width,인쇄 폭,
Rating,평가,
Read Only,읽기 전용,
Rejected,거부,
Reload,다시로드,
Remember Last Selected Value,마지막으로 선택한 값을 기억,
Report Hide,보고서 숨기기,
Section Break,구역 나누기,
Select,고르기,
Session Defaults,세션 기본값,
Set non-standard precision for a Float or Currency field,플로트 또는 통화 필드의 설정이 아닌 표준 정밀도,
Show Dashboard,대시 보드 표시,
Signature,서명:,
Small Text,작은 텍스트용,
Source,소스,
Source Name,원본 이름,
Status,상태,
System Manager,시스템 관리자,
Table,표,
Table MultiSelect,표 MultiSelect,
Template,템플릿,
Text,글자,
Text Editor,텍스트 편집기,
Time,시각,
Title,제목,
Translatable,번역 가능,
Type,종류,
Unique,유일한,
View Website,웹 사이트보기,
Width,폭,
Yes,예,
