About,Om,
All,Alla,
Allow Bulk Edit,Tillåt Mass Redigering,
Allow in Quick Entry,Tillåt i Snabb Post,
Allow on Submit,Tillåt på Godkänn,
Amended From,Ändrad Från,
Apps,Appar,
Attach,Bifoga,
Attach Image,Bifoga Bild,
Autocomplete,Autokomplettera,
Barcode,Streck/Qr Kod,
Bold,Fet,
Button,Knapp,
Check,Check,
City,Ort,
Code,Kod,
Collapsible,Infällbar,
Collapsible Depends On (JS),Infällbar beror på (JS),
Color,Färg,
Column Break,Kolumn Brytning,
Columns,Kolumner,
Constraints,Begränsningar,
Contact Details,Kontakt Uppgifter,
Content,Innehåll ,
Country,Land,
Currency,Valuta,
Data,Data,
Date,Datum,
Datetime,Datum och Tid,
Default,Standard,
Defaults,Standard,
Description,Beskrivning,
Display,Visa,
Display Depends On (JS),Visning beror på (JS),
Documentation URL,Dokumentation URL,
"Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Koda inte HTML-taggar som &lt;script&gt; eller bara tecken som &lt; eller &gt;, eftersom de med avsikt kan användas i detta fält",
Draft,Utkast,
Duration,Varaktighet,
Dynamic Link,Dynamisk Länk,
Email,E-post,
Fetch From,Hämta Från,
Fetch on Save if Empty,Hämta vid Spara om Tom,
Fields,Fält,
Float,Flyttal,
Fold,Vika,
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","För Länkar, ange Dokument Typ som intervall. För Välj, ange lista med Alternativ, var och en på ny rad.",
Frappe Support,Frappe Support,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,HTML Redigerare,
Heading,Huvud Rubrik,
Hidden,Dold ,
Hide Border,Dölj Gräns,
Hide Days,Dölj Dagar,
Hide Seconds,Dölj Sekunder,
Icon,Ikon,
"If unchecked, the value will always be re-fetched on save.","Om inaktiverad, kommer värdet alltid att hämtas igen vid spara.",
Ignore User Permissions,Ignorera Användare Behörigheter,
Ignore XSS Filter,Ignorera XSS Filter,
Image,Bild,
In Filter,I Filter,
In Global Search,I Global Sök,
In List Filter,I listfilter,
In List View,I Lista Vy,
In Preview,I Förhandsvisning,
Index,Index,
Int,Heltal,
Is Active,Är Aktiv,
JSON,JSON,
Keyboard Shortcuts,Kort Kommando,
Label,Etikett,
Language,Språk,
Length,Längd,
Link,Länk,
Link Filters,Länk Filter,
List / Search Settings,Lista / Sök Inställningar,
Log out,Logga Ut,
Long Text,Lång Text,
Make Attachment Public (by default),Gör bilaga Publik (som standard),
Manage Billing,Hantera Fakturering,
Mandatory,Erfordras,
Mandatory Depends On (JS),Erfodrad Beroende Av (JS),
Markdown Editor,Markdown Redigerare,
Max Height,Maximum Höjd,
My Profile,Min Profil,
My Settings,Mina Inställningar,
Name,Namn,
Naming Series,Nummer Serie,
No,Nej,
No Copy,Ingen Kopia,
Non Negative,Ej Negativ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Antal kolumner för fält i Lista Vy eller Rutnät (Totalt anta kolumner ska vara mindre än 11),
Options,Alternativ ,
Other,Annat,
Password,Lösenord,
Pending Verification,Verifiering Kö,
Percent,Procent,
Perm Level,Behörighet Nivå,
Permissions,Behörigheter,
Phone,Telefon,
Placeholder,Platshållare,
Precision,Precision,
Print Hide,Dölj,
Print Hide If No Value,Dölj Utskrift om Ingen Värde,
Print Width,Utskrift Bredd,
Rating,Bedömning,
Read Only,Skrivskyddat,
Read Only Depends On (JS),Skrivskyddat Beroende På (JS),
Rejected,Avvisad,
Reload,Ladda om,
Remember Last Selected Value,Kom ihåg Senast Valda Värde,
Report Hide,Dölj Rapport,
Section Break,Sektion Brytning,
Select,Rullgardin Lista,
Session Defaults,Session Inställningar,
Set non-standard precision for a Float or Currency field,Ange ej Standard Precision för Komma eller Valuta Fält,
Set only once,Ange endast en gång,
Show Dashboard,Visa Översikt Panel,
Show on Timeline,Visa på Tidslinje,
Signature,Signatur,
Small Text,Smal Text,
Sort Options,Sortering Alternativ,
Source,Från,
Source Name,Käll Namn,
Status,Status,
System Manager,System Ansvarig,
Tab Break,Flik Brytning,
Table,Tabell,
Table MultiSelect,Tabell FlerVal,
Template,Mall,
Text,Text,
Text Editor,Text Redigerare,
Time,Tid,
Title,Benämning,
Toggle Full Width,Växla Full Bredd,
Toggle Theme,Växla Tema,
Translatable,Översättningbar,
Type,Typ,
Unique,Unik,
View Website,Visa Webbplats,
Virtual,Virtuell,
Visibility,Synlighet,
Width,Bredd,
Yes,Ja,
