All,Allemaal,
Allow Bulk Edit,Laat Bulk Bewerken toe,
Allow in Quick Entry,Toestaan bij snel invoeren,
Allow on Submit,Laat op Submit,
Amended From,Gewijzigd Van,
Attach,Hechten,
Attach Image,Bevestig Afbeelding,
Barcode,Barcode,
Bold,Stoutmoedig,
Button,Knop,
Check,Controleren,
City,City,
Code,Code,
Collapsible,Inklapbaar,
Color,Kleur,
Column Break,Column Break,
Columns,columns,
Contact Details,Contactgegevens,
Content,Inhoud,
Country,Land,
Currency,Valuta,
Data,Data,
Date,Datum,
Datetime,Datetime,
Default,Standaard,
Defaults,Standaardwaarden,
Description,Beschrijving,
Display,tonen,
Documentation URL,Documentatie-URL,
Draft,Droogte,
Duration,Looptijd,
Dynamic Link,Dynamische Link,
Email,E-mail,
Fetch From,Ophalen van,
Fields,Velden,
Float,Zweven,
Fold,Vouw,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,HTML-editor,
Heading,titel,
Hidden,Verborgen,
Hide Border,Rand verbergen,
Hide Days,Dagen verbergen,
Hide Seconds,Verberg seconden,
Icon,Icoon,
Ignore User Permissions,Negeer Gebruikersmachtigingen,
Ignore XSS Filter,Negeer XSS-filter,
Image,Afbeelding,
In Filter,In Filter,
In Global Search,In Global Search,
In List View,In lijstweergave,
In Preview,In voorbeeld,
Index,Index,
Int,Int,
Is Active,Is actief,
JSON,JSON,
Keyboard Shortcuts,Toetsenbord sneltoetsen,
Label,Label,
Language,Taal,
Length,Lengte,
Link,Koppeling,
Long Text,Lange tekst,
Mandatory,Verplicht,
Markdown Editor,Markdown Editor,
Name,Naam,
Naming Series,Benoemen Series,
No,Nee,
No Copy,Geen kopie,
Non Negative,Niet negatief,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Aantal kolommen voor een veld in een lijstweergave of een Grid (Totaal Columns moet minder dan 11),
Options,Opties,
Other,Ander,
Password,Wachtwoord,
Pending Verification,wachten op verificatie,
Percent,Percentage,
Perm Level,Perm Level,
Permissions,Machtigingen,
Phone,Telefoon,
Precision,Precisie,
Print Hide,Print Verberg,
Print Hide If No Value,Print verbergen Als Nee Waarde,
Print Width,Afdrukbreedte,
Rating,Beoordeling,
Read Only,Alleen lezen,
Rejected,Afgewezen,
Reload,Herladen,
Remember Last Selected Value,Vergeet Laatst geselecteerde Value,
Report Hide,Rapport Verbergen,
Section Break,Sectie-einde,
Select,Kiezen,
Session Defaults,Standaardwaarden sessie,
Set non-standard precision for a Float or Currency field,Stel niet-standaard precisie voor een Float of Valuta veld,
Show Dashboard,Dashboard weergeven,
Signature,Handtekening,
Small Text,Kleine tekst,
Source,Bron,
Source Name,Bron naam,
Status,Status,
System Manager,System Manager,
Table,Tabel,
Table MultiSelect,Tafel MultiSelect,
Template,Sjabloon,
Text,Tekst,
Text Editor,Text Editor,
Time,Tijd,
Title,Titel,
Translatable,vertaalbaar,
Type,Type,
Unique,Uniek,
View Website,Bekijk Website,
Width,Breedte,
Yes,Ja,
