All,Gişt,
Allow Bulk Edit,Destûrê bide Edit Bulk,
Allow in Quick Entry,Destûra Zûtirîn Bilez,
Allow on Submit,Destûrê bide li ser Submit,
Amended From,de guherîn From,
Attach,Pêvcebirandin,
Attach Image,attach Wêne,
Barcode,Barcode,
Bold,Hesabî,
Button,Pişkov,
Check,Berçavkirinî,
City,Bajar,
Code,Navê dizî,
Collapsible,Navbar,
Color,Reng,
Column Break,Break stûna,
Columns,Stûn,
Contact Details,Contact Details,
Content,Dilşad,
Country,Welat,
Currency,Diravcins,
Data,Jimare,
Date,Rojek,
Datetime,datetime,
Default,Destçûnî,
Defaults,Têrbûn,
Description,Terîf,
Display,Pêşkêşî,
Documentation URL,URL-ya Belgekirinê,
Draft,Draft,
Duration,Demajok,
Dynamic Link,Link dînamîk,
Email,Email,
Fetch From,Fetch Ji,
Fields,Fields,
Float,Avbazîn,
Fold,Pêçan,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,Edîtora HTML,
Heading,Sernivîs,
Hidden,Veşartî,
Hide Border,Sînor Veşêre,
Hide Days,Rojan Veşêre,
Hide Seconds,Seconds Veşêre,
Icon,Îkon,
Ignore User Permissions,Guh Permissions Bikarhêner,
Ignore XSS Filter,Guh XSS Filter,
Image,Wêne,
In Filter,li Filter,
In Global Search,Di Global Search,
In List View,Li List View,
In Preview,Di Pêşdîtinê de,
Index,Naverok,
Int,Int,
Is Active,çalak e,
JSON,JSON,
Keyboard Shortcuts,Kurtikên Pêl,
Label,Awanasî,
Language,Ziman,
Length,Dirêjî,
Link,Girêk,
Long Text,Nivîsar di Long,
Mandatory,Bicî,
Markdown Editor,Edîtorê Markdown,
Name,Nav,
Naming Series,Series Bidin,
No,Na,
No Copy,No Copy,
Non Negative,Neyînî,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Hejmara ji stûnên ji bo zeviyek di List View an jî Grid (Total Stûn divê kêmtir ji 11 be),
Options,Vebijêrkên,
Other,Yên din,
Password,Şîfre,
Pending Verification,Li benda Verêkirinê,
Percent,ji sedî,
Perm Level,Level Perm,
Permissions,Permissions,
Phone,Phone,
Precision,Tamî,
Print Hide,Print veşêre,
Print Hide If No Value,Print veşêre Eger No Nirx,
Print Width,Firehiya bo çapkirinê,
Rating,Rating,
Read Only,Read Tenê,
Rejected,red,
Reload,Rûpelê,
Remember Last Selected Value,Bi bîr bîne Last Nirx Hilbijartî,
Report Hide,Report veşêre,
Section Break,Break Beþ,
Select,Neqandin,
Session Defaults,Session Defaults,
Set non-standard precision for a Float or Currency field,Set azmûn ne-standard ji bo zeviyek Float an Exchange,
Show Dashboard,Dashboard nîşan bide,
Signature,Destnîşan,
Small Text,Nivîsar di small,
Source,Kanî,
Source Name,Navê Source,
Status,Cî,
System Manager,sîstema Manager,
Table,Mêz,
Table MultiSelect,Table MultiSelect,
Template,Şablon,
Text,Nivîstok,
Text Editor,Nawy text,
Time,Dem,
Title,Nav,
Translatable,Wergerandin,
Type,Awa,
Unique,Yekane,
View Website,View Website,
Width,Berî,
Yes,Erê,
