All,الكل,
Allow Bulk Edit,السماح بتحرير الكل,
Allow in Quick Entry,السماح لأدخال سريع,
Allow on Submit,السماح بالإعتماد,
Amended From,معدل من,
Attach,إرفاق,
Attach Image,إرفاق صورة,
Barcode,الرمز الشريطي,
Bold,بالخط العريض,
Button,زر,
Check,التحقق من,
City,مدينة,
Code,رمز,
Collapsible,للطي,
Color,اللون,
Column Break,فاصل عمودي,
Columns,الأعمدة,
Contact Details,تفاصيل الاتصال,
Content,محتوى,
Country,الدولة,
Currency,العملة,
Data,البيانات,
Date,تاريخ,
Datetime,التاريخ والوقت,
Default,الافتراضي,
Defaults,الافتراضات,
Description,وصف,
Display,عرض,
Documentation URL,URL التوثيق,
Draft,مشروع,
Duration,المدة الزمنية,
Dynamic Link,الارتباط الحيوي,
Email,البريد الإلكتروني,
Fetch From,إحضار من,
Fields,الحقول,
Float,رقم عشري,
Fold,طية,
Geolocation,تحديد الموقع الجغرافي,
HTML Editor,محرر HTML,
Heading,الترويسة,
Hidden,مخفي,
Hide Border,إخفاء الحدود,
Hide Days,إخفاء الأيام,
Hide Seconds,إخفاء الثواني,
Icon,أيقونة,
Ignore User Permissions,تجاهل صلاحيات المستخدم,
Ignore XSS Filter,تجاهل فلتر XSS,
Image,صورة,
In Filter,في تصفية,
In Global Search,في البحث العالمية,
In List Filter,في قائمة التصفية,
In List View,في عرض القائمة,
In Preview,في المعاينة,
Index,مؤشر,
Int,الباحث,
Is Active,نشط,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Label,ملصق,
Language,اللغة,
Length,طول,
Link,حلقة الوصل,
Long Text,نص طويل,
Mandatory,إلزامي,
Markdown Editor,محرر تخفيض السعر,
Name,اسم,
Naming Series,سلسلة التسمية,
No,لا,
No Copy,اي نسخة,
Non Negative,غير سلبي,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),عدد الأعمدة للحقل في قائمة عرض أو الشبكة (يجب أن يكون مجموع الأعمدة أقل من 11),
Options,خيارات,
Other,آخر,
Password,كلمة السر,
Pending Verification,في انتظار التحقق,
Percent,في المئة,
Perm Level,مستوى الصلاحيات,
Permissions,الصلاحيات,
Phone,هاتف,
Precision,دقة,
Print Hide,اخفاء الطباعة,
Print Hide If No Value,طباعة إخفاء إذا لا قيمة,
Print Width,طباعة العرض,
Rating,تقييم,
Read Only,للقراءة فقط,
Rejected,مرفوض,
Reload,تحديث,
Remember Last Selected Value,تذكر آخر مختارة القيمة,
Report Hide,إخفاء التقرير,
Section Break,فاصل قسم,
Select,حدد,
Session Defaults,الجلسة الافتراضية,
Set non-standard precision for a Float or Currency field,تعيين الدقة غير القياسية لحقل تعويم أو العملات,
Show Dashboard,عرض لوحة القيادة,
Signature,توقيع,
Small Text,نص صغير,
Source,المصدر,
Source Name,اسم المصدر,
Status,الحالة,
System Manager,مدير النظام,
Table,جدول,
Table MultiSelect,الجدول MultiSelect,
Template,قالب,
Text,نص,
Text Editor,محرر النصوص,
Time,زمن,
Title,اللقب,
Translatable,للترجمة,
Type,النوع,
Unique,فريد من نوعه,
View Website,مشاهدة الموقع,
Width,عرض,
Yes,نعم,
