All,Összes,
Allow Bulk Edit,Engedélyezi a tömeges szerkesztést,
Allow in Quick Entry,Gyors bejegyzés engedélyezése,
Allow on Submit,Benyújtáson engedélyezés,
Amended From,Módosított feladója,
Attach,Csatolás,
Attach Image,Kép csatolása,
Barcode,Vonalkód,
Bold,Bátor,
Button,Gomb,
Check,Jelölje be,
City,Város,
Code,Kód,
Collapsible,Összecsukható,
Color,Szín,
Column Break,Oszloptörés,
Columns,Oszlopok,
Contact Details,Kapcsolattartó részletei,
Content,Tartalom,
Country,Ország,
Currency,Pénznem,
Data,Adat,
Date,Dátum,
Datetime,Dátum,
Default,Alapértelmezett,
Defaults,Alapértelmezések,
Description,Leírás,
Display,Képernyő,
Documentation URL,Dokumentáció URL,
Draft,vázlat,
Duration,Tartam,
Dynamic Link,Dinamikus link,
Email,Email,
Fetch From,Lekérés innen,
Fields,Mezők,
Float,Lebegőpontos,
Fold,Becsuk,
Geolocation,Geolokáció,
HTML,HTML,
HTML Editor,HTML szerkesztő,
Heading,Fejszöveg,
Hidden,Rejtett,
Hide Border,Határ elrejtése,
Hide Days,Napok elrejtése,
Hide Seconds,Hide Seconds,
Icon,Ikon,
Ignore User Permissions,Felhasználói engedélyek figyelmen kívül hagyása,
Ignore XSS Filter,Figyelmen kívül hagyja az XSS szűrőt,
Image,Kép,
In Filter,Szűrőben,
In Global Search,Globális keresésben,
In List View,Listanézetben,
In Preview,Előnézetben,
Index,Index,
Int,Érd,
Is Active,Ez aktív,
JSON,JSON,
Keyboard Shortcuts,Gyorsbillentyűket,
Label,Felirat,
Language,Nyelv,
Length,Hossz,
Link,Link,
Long Text,Hosszú szöveg,
Mandatory,Kötelező,
Markdown Editor,Árleszállítás szerkesztő,
Name,Név,
Naming Series,Elnevezési sorozatok,
No,Nem,
No Copy,Nincs másolat,
Non Negative,Nem negatív,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Egy lista vagy rács mező oszlopainak száma (összes oszlopok számának kevesebbnek kell lennie mint 11),
Options,Választhatók,
Other,Egyéb,
Password,Jelszó,
Pending Verification,Az ellenőrzés függőben van,
Percent,Százalék,
Perm Level,Jog szint,
Permissions,Jogosultságok,
Phone,Telefon,
Precision,Pontosság,
Print Hide,Nyomtatás elrejtése,
Print Hide If No Value,"Nyomtatás elrejtése, ha nincs érték",
Print Width,Nyomtatási szélesség,
Rating,Értékelés,
Read Only,Csak olvasható,
Rejected,Elutasítva,
Reload,Reload,
Remember Last Selected Value,Emlékezzen az utolsó kiválasztott értékre,
Report Hide,Jelentés elrejtése,
Section Break,Szakasztörés,
Select,Választás,
Session Defaults,Munkamenet alapértelmezései,
Set non-standard precision for a Float or Currency field,Állítsa be a nem szabványos pontosságot a lebegőpontos vagy pénznem mezőhöz,
Show Dashboard,Mutassa az irányítópultot,
Signature,Aláírás,
Small Text,Kis szöveg,
Source,Forrás,
Source Name,Forrá név,
Status,Állapot,
System Manager,Rendszer menedzser,
Table,Táblázat,
Table MultiSelect,MultiSelect táblázat,
Template,Sablon,
Text,Szöveg,
Text Editor,Szövegszerkesztő,
Time,Idő,
Title,Cím,
Translatable,Lefordítható,
Type,Típus,
Unique,Egyedi,
View Website,Weboldal megtekintése,
Width,Szélesség,
Yes,Igen,
