About,O,
All,Sve,
Allow Bulk Edit,Dozvoli grupno uređivanje,
Allow in Quick Entry,Dozvoli u brzom unosu,
Allow on Submit,Dozvoli pri podnošenju,
Amended From,Izmijenjeno od,
Apps,Aplikacije,
Attach,Priloži,
Attach Image,Priložite sliku,
Autocomplete,Automatsko dovršavanje,
Barcode,Barkod,
Bold,Podebljano,
Button,Dugme,
Check,Provjeri,
City,Grad,
Code,Kod,
Collapsible,Sklopivo,
Collapsible Depends On (JS),Sklopivo zavisi od (JS),
Color,Boja,
Column Break,Prijelom kolone,
Columns,Kolone,
Constraints,Ograničenja,
Contact Details,Kontakt detalji,
Content,Sadržaj,
Country,Država,
Currency,Valuta,
Data,Podaci,
Date,Datum,
Datetime,Datum i vrijeme,
Default,Zadano,
Defaults,Zadane postavke,
Description,Opis,
Display,Prikaz,
Display Depends On (JS),Prikaz zavisi od (JS),
Documentation URL,URL dokumentacije,
"Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Nemojte kodirati HTML oznake poput &lt;script&gt; ili samo znakove poput &lt; ili &gt;, jer bi se mogli namjerno koristiti u ovom polju",
Draft,Nacrt,
Duration,Trajanje,
Dynamic Link,Dinamička veza,
Email,E-pošta,
Fetch From,Dohvati od,
Fetch on Save if Empty,Dohvati na Spremi ako je prazno,
Fields,Polja,
Float,Plutajući,
Fold,Presavij,
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","Za Veze unesite DocType kao raspon. Za Odabir unesite popis opcija, svaku u novom redu.",
Frappe Support,Frappe podrška,
Geolocation,Geolokacija,
HTML,HTML,
HTML Editor,HTML uređivač,
Heading,Naslov,
Hidden,Sakriveno,
Hide Border,Sakrij obrub,
Hide Days,Sakrij dane,
Hide Seconds,Sakrij sekunde,
Icon,Ikona,
"If unchecked, the value will always be re-fetched on save.","Ako nije označeno, vrijednost će se uvijek ponovo dohvatiti prilikom spremanja.",
Ignore User Permissions,Zanemari korisničke dozvole,
Ignore XSS Filter,Zanemarite XSS filter,
Image,Slika,
In Filter,U filteru,
In Global Search,U globalnoj pretrazi,
In List Filter,U filteru liste,
In List View,U prikazu liste,
In Preview,U pregledu,
Index,Indeks,
Int,Int,
Is Active,Je aktivan,
JSON,JSON,
Keyboard Shortcuts,Prečice na tastaturi,
Label,Oznaka,
Language,Jezik,
Length,Dužine,
Link,Veza,
Link Filters,Filteri veza,
List / Search Settings,Lista / Postavke pretrage,
Log out,Odjava,
Long Text,Dugi tekst,
Mandatory,Obavezno,
Mandatory Depends On (JS),Obavezno zavisi od (JS),
Markdown Editor,Markdown Editor,
Max Height,Maksimalna visina,
My Profile,Moj profil,
My Settings,Moje postavke,
Name,Naziv,
Naming Series,Imenovanje serije,
No,Br,
No Copy,Nema kopija,
Non Negative,Nije negativno,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Broj kolona za polje u prikazu liste ili mreži (ukupni broj kolona bi trebao biti manji od 11),
Options,Opcije,
Password,Lozinka,
Pending Verification,Čeka se verifikacija,
Percent,Procenat,
Perm Level,Nivo dozvola,
Permissions,Dozvole,
Phone,Telefon,
Placeholder,Čuvar Mjesta,
Precision,Preciznost,
Print Hide,Sakrij štampanje,
Print Hide If No Value,Sakrij štampanje ako nema vrijednosti,
Print Width,Širina za štampanje,
Read Only,Samo za čitanje,
Read Only Depends On (JS),Samo za čitanje ovisi o (JS),
Reload,Ponovo učitaj,
Remember Last Selected Value,Zapamti posljednju odabranu vrijednost,
Report Hide,Sakrij izvještaj,
Section Break,Prijelom odjeljka,
Session Defaults,Sesije zadano,
Set non-standard precision for a Float or Currency field,Postavi nestandardnu preciznost za Float ili Valuta polje,
Set only once,Postavi samo jednom,
Show Dashboard,Prikaži nadzornu ploču,
Show on Timeline,Prikaži na Vremenskoj liniji,
Signature,Potpis,
Small Text,Mali tekst,
Sort Options,Opcije sortiranja,
Source,Izvor,
Status,Status,
System Manager,Upravitelj Sistema,
Tab Break,Prijelom kartice,
Table,Table,
Table MultiSelect,Višestruki odabir tabele,
Text,Tekst,
Text Editor,Uređivač teksta,
Time,Vrijeme,
Toggle Full Width,Prebaci punu širinu,
Toggle Theme,Prebaci temu,
Translatable,Prevodivo,
Type,Tip,
Unique,Jedinstveno,
View Website,Pogledaj web stranicu,
Virtual,Virtuelno,
Visibility,Vidljivost,
Width,Širina,
Yes,Da,
