All,सब,
Allow Bulk Edit,बल्क संपादन की अनुमति दें,
Allow in Quick Entry,त्वरित प्रविष्टि में अनुमति दें,
Allow on Submit,भेजें पर अनुमति दें,
Amended From,से संशोधित,
Attach,संलग्न करना,
Attach Image,छवि संलग्न करें,
Barcode,बारकोड,
Bold,साहसिक,
Button,बटन,
Check,चेक,
City,शहर,
Code,कोड,
Collapsible,खुलने और बंधनेवाला,
Color,रंग,
Column Break,स्तंभ विराम,
Columns,कॉलम,
Contact Details,जानकारी के लिए संपर्क,
Content,सामग्री,
Country,देश,
Currency,मुद्रा,
Data,डेटा,
Date,तारीख,
Datetime,Datetime,
Default,चूक,
Defaults,डिफ़ॉल्ट्स,
Description,विवरण,
Display,प्रदर्शन,
Documentation URL,दस्तावेज़ URL,
Draft,प्रारूप,
Duration,अवधि,
Dynamic Link,गतिक कड़ी,
Email,ईमेल,
Fetch From,से प्राप्त करें,
Fields,फील्ड्स,
Float,नाव,
Fold,गुना,
Geolocation,जियोलोकेशन,
HTML,एचटीएमएल,
HTML Editor,एचटीएमएल संपादक,
Heading,शीर्षक,
Hidden,छिपा हुआ,
Hide Border,बॉर्डर छिपाएं,
Hide Days,दिन छिपाना,
Hide Seconds,सेकेंड छिपाएं,
Icon,चिह्न,
Ignore User Permissions,उपयोगकर्ता अनुमतियाँ पर ध्यान न दें,
Ignore XSS Filter,XSS फ़िल्टर पर ध्यान न दें,
Image,छवि,
In Filter,फिल्टर में,
In Global Search,वैश्विक खोज में,
In List View,सूची दृश्य में,
In Preview,पूर्वावलोकन में,
Index,अनुक्रमणिका,
Int,इंट,
Is Active,सक्रिय है,
JSON,JSON,
Keyboard Shortcuts,कुंजीपटल अल्प मार्ग,
Label,लेबल,
Language,भाषा,
Length,लंबाई,
Link,संपर्क,
Long Text,लंबी अक्षर,
Mandatory,अनिवार्य,
Markdown Editor,मार्कडाउन संपादक,
Name,नाम,
Naming Series,श्रृंखला का नामकरण,
No,नहीं,
No Copy,कोई नकल,
Non Negative,गैर नकारात्मक,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),स्तंभों की संख्या एक सूची दृश्य या एक ग्रिड में एक क्षेत्र के लिए (कुल 11 कॉलम से कम होना चाहिए),
Options,विकल्प,
Other,अन्य,
Password,पासवर्ड,
Pending Verification,लंबित सत्यापन,
Percent,प्रतिशत,
Perm Level,स्तर Perm,
Permissions,अनुमतियाँ,
Phone,फ़ोन,
Precision,शुद्धता,
Print Hide,छिपाएँ प्रिंट,
Print Hide If No Value,प्रिंट छिपाने का कोई मूल्य नहीं,
Print Width,प्रिंट चौड़ाई,
Rating,रेटिंग,
Read Only,केवल पठनीय,
Rejected,अस्वीकृत,
Reload,सीमा से अधिक लादना,
Remember Last Selected Value,याद रखें अंतिम चयनित मूल्य,
Report Hide,छिपाएँ रिपोर्ट,
Section Break,अनुभाग विराम,
Select,चयन,
Session Defaults,सत्र चूक,
Set non-standard precision for a Float or Currency field,एक नाव या मुद्रा क्षेत्र के लिए सेट गैर मानक प्रेसिजन,
Show Dashboard,डैशबोर्ड दिखाओ,
Signature,हस्ताक्षर,
Small Text,छोटे अक्षर,
Source,स्रोत,
Source Name,स्रोत का नाम,
Status,हैसियत,
System Manager,सिस्टम प्रबंधक,
Table,तालिका,
Table MultiSelect,तालिका मल्टीसेलेक्ट,
Template,टेम्पलेट,
Text,अक्षर,
Text Editor,लेख संपादक,
Time,समय,
Title,शीर्षक,
Translatable,अनुवाद का लायक़,
Type,टाइप,
Unique,अजूबा,
View Website,वेबसाइट देखें,
Width,चौडाई,
Yes,हाँ,
