All,Almal,
Allow Bulk Edit,Laat grootmaat wysig toe,
Allow in Quick Entry,Laat toe in vinnige toegang,
Allow on Submit,Laat toe op Submit,
Amended From,Gewysig Van,
Attach,heg,
Attach Image,Heg prent aan,
Barcode,barcode,
Bold,vet,
Button,Button,
Check,Tjek,
City,Stad,
Code,kode,
Collapsible,opvoubare,
Color,Kleur,
Column Break,Kolombreuk,
Columns,kolomme,
Contact Details,Kontakbesonderhede,
Content,inhoud,
Country,land,
Currency,geldeenheid,
Data,data,
Date,datum,
Datetime,Datum Tyd,
Default,verstek,
Defaults,standaard,
Description,beskrywing,
Display,vertoning,
Documentation URL,Dokumentasie-URL,
Draft,Konsep,
Duration,duur,
Dynamic Link,Dinamiese skakel,
Email,EMail,
Fetch From,Haal Van,
Fields,Velde,
Float,float,
Fold,Vou,
Geolocation,ligginggewing,
HTML,HTML,
HTML Editor,HTML Editor,
Heading,Opskrif,
Hidden,verborge,
Hide Border,Versteek grens,
Hide Days,Versteek dae,
Hide Seconds,Versteek sekondes,
Icon,ikoon,
Ignore User Permissions,Ignoreer gebruikertoestemmings,
Ignore XSS Filter,Ignoreer XSS Filter,
Image,Image,
In Filter,In Filter,
In Global Search,In Global Search,
In List View,In die lys skerm,
In Preview,Voorbeskou,
Index,indeks,
Int,Int,
Is Active,Is aktief,
JSON,into,
Keyboard Shortcuts,Sleutelbord kortpaaie,
Label,Etiket,
Language,Taal,
Length,lengte,
Link,skakel,
Long Text,Lang teks,
Mandatory,Verpligtend,
Markdown Editor,Markdown Editor,
Name,naam,
Naming Series,Naming Series,
No,Geen,
No Copy,Geen kopie,
Non Negative,Nie negatief nie,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Aantal kolomme vir &#39;n veld in &#39;n lys of &#39;n rooster (totale kolomme moet minder as 11 wees),
Options,opsies,
Other,ander,
Password,wagwoord,
Pending Verification,Hangende verifikasie,
Percent,persent,
Perm Level,Permvlak,
Permissions,permissions,
Phone,Foon,
Precision,presisie,
Print Hide,Druk versteek,
Print Hide If No Value,Druk verberg as geen waarde,
Print Width,Drukbreedte,
Rating,gradering,
Read Only,Lees net,
Rejected,verwerp,
Reload,Reload,
Remember Last Selected Value,Onthou laas geselekteerde waarde,
Report Hide,Verslag versteek,
Section Break,Afdeling breek,
Select,Kies,
Session Defaults,Sessie verstek,
Set non-standard precision for a Float or Currency field,Stel nie-standaard presisie vir &#39;n Vlot- of Geldveld,
Show Dashboard,Wys Dashboard,
Signature,Handtekening,
Small Text,Klein teks,
Source,Bron,
Source Name,Bron Naam,
Status,status,
System Manager,Stelselbestuurder,
Table,tafel,
Table MultiSelect,Tabel MultiSelect,
Template,sjabloon,
Text,teks,
Text Editor,Teks editor,
Time,tyd,
Title,Titel,
Translatable,vertaalbaar,
Type,tipe,
Unique,unieke,
View Website,Besigtig webwerf,
Width,wydte,
Yes,Ja,
