All,ALL,
Allow Bulk Edit,Lejo Edit Bulk,
Allow in Quick Entry,Lejo hyrjen e shpejtë,
Allow on Submit,Lejo në Submit,
Amended From,Ndryshuar Nga,
Attach,Bashkangjit,
Attach Image,Bashkangjit Image,
Barcode,barcode,
Bold,guximtar,
Button,Buton,
Check,kontrolloni,
City,Qytet,
Code,Kod,
Collapsible,Që paloset,
Color,Ngjyrë,
Column Break,Pushim Column,
Columns,Columns,
Contact Details,Detajet Kontakt,
Content,I kënaqur,
Country,Vend,
Currency,Monedhë,
Data,Të dhëna,
Date,Data,
Datetime,Datetime,
Default,Mospagim,
Defaults,Defaults,
Description,Përshkrim,
Display,Ekran,
Documentation URL,URL e dokumentacionit,
Draft,draft,
Duration,kohëzgjatje,
Dynamic Link,Link Dinamik,
Email,Email,
Fetch From,Fetch From,
Fields,Fushat,
Float,Nxjerr në shitje,
Fold,Dele,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,Editor HTML,
Heading,Krye,
Hidden,I fshehur,
Hide Border,Fshih kufirin,
Hide Days,Fshih Ditët,
Hide Seconds,Fshih sekonda,
Icon,ikonë,
Ignore User Permissions,Ignore lejet e përdoruesit,
Ignore XSS Filter,Ignore XSS Filter,
Image,imazh,
In Filter,Në Filter,
In Global Search,Global Kërko,
In List View,Në Shiko listen,
In Preview,Në Paraprakisht,
Index,Indeks,
Int,Int,
Is Active,Është Aktiv,
JSON,JSON,
Keyboard Shortcuts,Shkurtoret e tastierës,
Label,Etiketë,
Language,Gjuhë,
Length,Gjatësi,
Link,lidhje,
Long Text,Gjatë Tekst,
Mandatory,I detyrueshëm,
Markdown Editor,Redaktori i Markdown,
Name,Emër,
Naming Series,Emërtimi Series,
No,jo,
No Copy,Nuk Copy,
Non Negative,Jo Negativ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Numri i kolonave për një fushë në një Listë Shiko ose një Grid (gjithsej Columns duhet të jetë më pak se 11),
Options,Options,
Other,Tjetër,
Password,Fjalëkalim,
Pending Verification,Verifikimi në pritje,
Percent,Përqind,
Perm Level,Niveli Perm,
Permissions,Permissions,
Phone,Telefon,
Precision,Saktësi,
Print Hide,Printo Hide,
Print Hide If No Value,Shtyp Hide Nëse pa vlerë,
Print Width,Printo Gjerësia,
Rating,vlerësim,
Read Only,Lexoni Vetëm,
Rejected,Refuzuar,
Reload,Rifresko,
Remember Last Selected Value,Mos harroni Vlera Fundit përzgjedhura,
Report Hide,Raporti Hide,
Section Break,Seksioni Pushim,
Select,Përzgjedh,
Session Defaults,Default Seanca,
Set non-standard precision for a Float or Currency field,Set saktësi jo-standarde për një noton ose Valuta fushë,
Show Dashboard,Shfaq pultin,
Signature,Nënshkrim,
Small Text,Tekst i vogël,
Source,Burim,
Source Name,burimi Emri,
Status,Gjendje,
System Manager,Sistemi Menaxher,
Table,Tryezë,
Table MultiSelect,Zgjedhja e tabelës,
Template,Shabllon,
Text,Tekst,
Text Editor,Text Editor,
Time,kohë,
Title,titull,
Translatable,i përkthyeshëm,
Type,Lloj,
Unique,Unik,
View Website,Shikoni faqen e internetit,
Width,Gjerësi,
Yes,po,
