All,সব,
Allow Bulk Edit,বাল্ক সম্পাদনা করার অনুমতি দিন,
Allow in Quick Entry,কুইক এণ্ট্রিতে অনুমতি দিন,
Allow on Submit,জমা দিন মঞ্জুরি দিন,
Amended From,সংশোধিত,
Attach,জোড়া,
Attach Image,চিত্র সংযুক্ত,
Barcode,বারকোড,
Bold,সাহসী,
Button,বোতাম,
Check,চেক,
City,শহর,
Code,কোড,
Collapsible,বন্ধ হইতে সক্ষম,
Color,রঙ,
Column Break,কলাম বিরতি,
Columns,কলাম,
Contact Details,যোগাযোগের ঠিকানা,
Content,বিষয়বস্তু,
Country,দেশ,
Currency,মুদ্রা,
Data,উপাত্ত,
Date,তারিখ,
Datetime,তারিখ সময়,
Default,ডিফল্ট,
Defaults,ডিফল্ট,
Description,বিবরণ,
Display,প্রদর্শন,
Documentation URL,ডকুমেন্টেশন ইউআরএল,
Draft,খসড়া,
Duration,স্থিতিকাল,
Dynamic Link,ডাইনামিক লিংক,
Email,EMail,
Fetch From,থেকে আসুন,
Fields,ক্ষেত্রসমূহ,
Float,ভাসা,
Fold,ভাঁজ,
Geolocation,ভৌগলিক-অবস্থান,
HTML,এইচটিএমএল,
HTML Editor,এইচটিএমএল সম্পাদক,
Heading,শীর্ষক,
Hidden,গোপন,
Hide Border,সীমানা লুকান,
Hide Days,দিন লুকান,
Hide Seconds,সেকেন্ড লুকান,
Icon,আইকন,
Ignore User Permissions,ব্যবহারকারীর অনুমতি উপেক্ষা,
Ignore XSS Filter,XSS ফিল্টার Ignore,
Image,ভাবমূর্তি,
In Filter,ফিল্টার,
In Global Search,বৈশ্বিক অনুসন্ধান,
In List View,তালিকা দেখুন,
In Preview,পূর্বরূপে,
Index,সূচক,
Int,Int,
Is Active,সক্রিয়,
JSON,JSON,
Keyboard Shortcuts,কীবোর্ড শর্টকাটগুলি,
Label,লেবেল,
Language,ভাষা,
Length,লম্বা,
Link,লিংক,
Long Text,দীর্ঘ টেক্সট,
Mandatory,কার্যভার,
Markdown Editor,মার্কডাউন সম্পাদক,
Name,নাম,
Naming Series,নামকরণ সিরিজ,
No,না,
No Copy,কোন কপি,
Non Negative,অ নেগেটিভ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),কলামের সংখ্যা একটি তালিকা দেখুন অথবা একটি গ্রিড একটি ক্ষেত্রের জন্য (মোট কলাম 11 চেয়ে কম হওয়া উচিত),
Options,বিকল্প,
Other,অন্যান্য,
Password,পাসওয়ার্ড,
Pending Verification,অপেক্ষারত যাচাই,
Percent,শতাংশ,
Perm Level,স্থায়ী ঢেউ তোলা শ্রেনী,
Permissions,অনুমতি,
Phone,ফোন,
Precision,স্পষ্টতা,
Print Hide,প্রিন্ট লুকান,
Print Hide If No Value,প্রিন্ট লুকালেও কোন মূল্য,
Print Width,প্রিন্ট করুন প্রস্থ,
Rating,নির্ধারণ,
Read Only,শুধুমাত্র পঠনযোগ্য,
Rejected,প্রত্যাখ্যাত,
Reload,পুনরায় লোড করুন,
Remember Last Selected Value,মনে রাখুন সর্বশেষ নির্বাচিত মূল্য,
Report Hide,গালাগাল প্রতিবেদন লুকান,
Section Break,উপবিভাগ বিরতি,
Select,নির্বাচন করা,
Session Defaults,সেশন ডিফল্ট,
Set non-standard precision for a Float or Currency field,একটি ভাসা বা মুদ্রা ক্ষেত্রের জন্য সেট অ মান স্পষ্টতা,
Show Dashboard,ড্যাশবোর্ড প্রদর্শন করুন,
Signature,স্বাক্ষর,
Small Text,ছোট লেখা,
Source,উত্স,
Source Name,উত্স নাম,
Status,অবস্থা,
System Manager,সিস্টেম ম্যানেজার,
Table,টেবিল,
Table MultiSelect,সারণী মাল্টিলেসলেট,
Template,টেমপ্লেট,
Text,পাঠ,
Text Editor,টেক্সট সম্পাদক,
Time,সময়,
Title,খেতাব,
Translatable,অনুবাদ করিতে সংভব,
Type,শ্রেণী,
Unique,অনন্য,
View Website,ওয়েবসাইট দেখুন,
Width,প্রস্থ,
Yes,হাঁ,
