All,Allt,
Allow Bulk Edit,Leyfa magnsstjórnun,
Allow in Quick Entry,Leyfa í flýtiritun,
Allow on Submit,Leyfa á Senda,
Amended From,breytt Frá,
Attach,hengja,
Attach Image,hengja mynd,
Barcode,Strikamerki,
Bold,Djarfur,
Button,Button,
Check,Athugaðu,
City,Borg,
Code,code,
Collapsible,fellanlegur,
Color,Litur,
Column Break,dálkur Break,
Columns,dálkar,
Contact Details,Tengiliðaupplýsingar,
Content,innihald,
Country,Land,
Currency,Gjaldmiðill,
Data,gögn,
Date,Dagsetning,
Datetime,datetime,
Default,Sjálfgefið,
Defaults,vanskil,
Description,Lýsing,
Display,Sýna,
Documentation URL,Vefslóð skjalagerðar,
Draft,Drög,
Duration,Lengd,
Dynamic Link,dynamic Link,
Email,Tölvupóstur,
Fetch From,Hentu frá,
Fields,Fields,
Float,Float,
Fold,Fold,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,HTML ritstjóri,
Heading,Fyrirsögn,
Hidden,Falið,
Hide Border,Fela landamæri,
Hide Days,Fela daga,
Hide Seconds,Fela sekúndur,
Icon,Táknmynd,
Ignore User Permissions,Hunsa notanda Heimildir,
Ignore XSS Filter,Hunsa XSS Sía,
Image,Mynd,
In Filter,í Sía,
In Global Search,Í Global Leita,
In List View,Í listayfirliti,
In Preview,Í forsýningu,
Index,Index,
Int,Int,
Is Active,er Active,
JSON,JSON,
Keyboard Shortcuts,Flýtilyklar,
Label,Label,
Language,Tungumál,
Length,Lengd,
Link,Hlekkur,
Long Text,Long Texti,
Mandatory,nauðsynlegur,
Markdown Editor,Markdown Editor,
Name,heiti,
Naming Series,nafngiftir Series,
No,engin,
No Copy,engin Afrita,
Non Negative,Ekki neikvætt,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Fjöldi dálka fyrir sviði í listayfirliti eða Grid (Samtals Columns ætti að vera minna en 11),
Options,Valmöguleikar,
Other,Annað,
Password,Lykilorð,
Pending Verification,Bíður staðfestingar,
Percent,prósent,
Perm Level,Perm Level,
Permissions,heimildir,
Phone,Sími,
Precision,Precision,
Print Hide,Print Fela,
Print Hide If No Value,Prenta Fela Ef No Value,
Print Width,Breidd prenta,
Rating,einkunn,
Read Only,Lesið aðeins,
Rejected,hafnað,
Reload,endurhlaða,
Remember Last Selected Value,Mundu Síðasta völdu gildi,
Report Hide,skýrsla Fela,
Section Break,Hluti Break,
Select,Veldu,
Session Defaults,Sjálfgefin seta,
Set non-standard precision for a Float or Currency field,Setja non-staðall nákvæmni fyrir Float eða Gjaldmiðill sviði,
Show Dashboard,Sýna stjórnborð,
Signature,undirskrift,
Small Text,lítill texti,
Source,Source,
Source Name,Source Name,
Status,Staða,
System Manager,System Manager,
Table,Tafla,
Table MultiSelect,Tafla MultiSelect,
Template,Snið,
Text,Texti,
Text Editor,Text Editor,
Time,Tími,
Title,Title,
Translatable,Þýðanleg,
Type,Gerð,
Unique,Unique,
View Website,view Website,
Width,breidd,
Yes,Já,
