All,Сите,
Allow Bulk Edit,Дозволете Масовно Уреди,
Allow in Quick Entry,Дозволи во брз внес,
Allow on Submit,Им овозможи на Поднесете,
Amended From,Изменет Од,
Attach,Прикачи,
Attach Image,Прикачи слика,
Barcode,Баркод,
Bold,Задебелен,
Button,Копчето,
Check,Провери,
City,Градот,
Code,Код,
Collapsible,Склопувачки,
Color,Боја,
Column Break,Колона Break,
Columns,колумни,
Contact Details,Податоци за контакт,
Content,Содржина,
Country,Земја,
Currency,Валута,
Data,Податоци,
Date,Датум,
Datetime,Datetime,
Default,Стандардно,
Defaults,Стандардни,
Description,Опис,
Display,Покажи,
Documentation URL,URL на документација,
Draft,Нацрт,
Duration,Времетраење,
Dynamic Link,Динамична линк,
Email,Е-пошта,
Fetch From,Земи од,
Fields,Полињата,
Float,Носете,
Fold,Пати,
Geolocation,Геолокација,
HTML,HTML,
HTML Editor,HTML Editor,
Heading,Заглавие,
Hidden,скриени,
Hide Border,Сокриј ја границата,
Hide Days,Сокриј ги деновите,
Hide Seconds,Сокриј секунди,
Icon,Икона,
Ignore User Permissions,Игнорирај Кориснички дозволи,
Ignore XSS Filter,Игнорирај XSS филтер,
Image,Слика,
In Filter,Во филтерот,
In Global Search,Во глобалната пребарување,
In List View,Во List View,
In Preview,Во прегледот,
Index,Индекс,
Int,Int,
Is Active,Е активен,
JSON,JSON,
Keyboard Shortcuts,Кратенки на тастатурата,
Label,Етикета,
Language,Јазик,
Length,Должина на,
Link,Линк,
Long Text,Долг текст,
Mandatory,Задолжително,
Markdown Editor,Уредувач на Markdown,
Name,Име,
Naming Series,Именување Серија,
No,Не,
No Copy,Не Копирај,
Non Negative,Ненегативно,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Број на колони за поле во List View или Grid (Вкупно Колумни треба да биде помал од 11),
Options,Опции,
Other,Други,
Password,Лозинка,
Pending Verification,Во очекување на верификација,
Percent,Проценти,
Perm Level,Перм ниво,
Permissions,Дозволи,
Phone,Телефон,
Precision,Прецизност,
Print Hide,Печати Сокриј,
Print Hide If No Value,Печати Сокриј Ако нема вредност,
Print Width,Ширина на печатење,
Rating,Рејтинг,
Read Only,Само за читање,
Rejected,Одбиени,
Reload,Вчитај ја страната повторно,
Remember Last Selected Value,Запомни последната избрана вредност,
Report Hide,Извештај Сокриј,
Section Break,Прелом на секција,
Select,Изберете,
Session Defaults,Сесија стандардно,
Set non-standard precision for a Float or Currency field,Намести нестандардни прецизност за Носете или Валута поле,
Show Dashboard,Покажи табла,
Signature,Потпис,
Small Text,Мал текст,
Source,Извор,
Source Name,извор Име,
Status,Статус,
System Manager,Систем за менаџер,
Table,Табела,
Table MultiSelect,Мултиселекција на табела,
Template,Шаблон,
Text,Текст,
Text Editor,Уредувачот на текст,
Time,Време,
Title,Наслов,
Translatable,Translatable,
Type,Тип,
Unique,Уникатен,
View Website,Преглед на веб-страница,
Width,Ширина,
Yes,Да,
