About,درباره,
All,همه,
Allow Bulk Edit,اجازه ویرایش انبوه,
Allow in Quick Entry,مجاز در ثبت سریع,
Allow on Submit,در ارسال اجازه دهید,
Amended From,اصلاح شده از,
Apps,برنامه ها,
Attach,پیوست,
Attach Image,پیوست تصویر,
Autocomplete,تکمیل خودکار,
Barcode,بارکد,
Bold,پررنگ,
Button,دکمه,
Check,بررسی,
City,شهر,
Code,کد,
Collapsible,تاشو,
Collapsible Depends On (JS),بسته به تاشو (JS),
Color,رنگ,
Column Break,شکستن ستون,
Columns,ستون ها,
Constraints,محدودیت ها,
Contact Details,اطلاعات تماس,
Content,محتوا,
Country,کشور,
Currency,واحد پول,
Data,داده ها,
Date,تاریخ,
Datetime,تاریخ و زمان,
Default,پیش فرض,
Defaults,پیش فرض ها,
Description,شرح,
Display,نمایش دادن,
Display Depends On (JS),نمایش بستگی به (JS) دارد,
Documentation URL,URL مستندات,
Draft,پیش‌نویس,
Duration,مدت زمان,
Dynamic Link,لینک پویا,
Email,ایمیل,
Fetch From,واکشی از,
Fetch on Save if Empty,Save if Empty را واکشی کنید,
Fields,فیلدها,
Float,شناور,
Fold,تا کردن,
Frappe Support,پشتیبانی Frappe,
Geolocation,موقعیت جغرافیایی,
HTML,HTML,
HTML Editor,ویرایشگر HTML,
Heading,سرفصل,
Hidden,پنهان شده,
Hide Border,مخفی کردن مرز,
Hide Days,پنهان کردن روزها,
Hide Seconds,مخفی کردن ثانیه ها,
Icon,آیکون,
"If unchecked, the value will always be re-fetched on save.",اگر علامت را بردارید، مقدار همیشه در ذخیره دوباره واکشی می شود.,
Ignore User Permissions,نادیده گرفتن مجوزهای کاربر,
Ignore XSS Filter,فیلتر XSS را نادیده بگیرید,
Image,تصویر,
In Filter,در فیلتر,
In Global Search,در جستجوی سراسری,
In List Filter,در لیست فیلتر,
In List View,در نمای فهرست,
In Preview,در پیش نمایش,
Index,فهرست مطالب,
Int,بین المللی,
Is Active,فعال است,
JSON,JSON,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Label,برچسب,
Language,زبان,
Length,طول,
Link Filters,فیلترهای پیوند,
List / Search Settings,فهرست / تنظیمات جستجو,
Log out,خروج,
Long Text,متن طولانی,
Mandatory,اجباری,
Mandatory Depends On (JS),اجباری وابسته به (JS),
Markdown Editor,ویرایشگر Markdown,
Max Height,حداکثر ارتفاع,
My Profile,نمایه من,
My Settings,تنظیمات من,
Name,نام,
Naming Series,سری نامگذاری,
No,خیر,
No Copy,بدون کپی,
Non Negative,غیر منفی,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),تعداد ستون‌ها برای یک فیلد در یک نمای فهرست یا یک شبکه (کل ستون‌ها باید کمتر از 11 باشد),
Options,گزینه‌ها,
Other,دیگر,
Password,کلمه عبور,
Pending Verification,تایید در حال بررسی,
Percent,درصد,
Perm Level,سطح مجوز,
Permissions,مجوزها,
Phone,تلفن,
Precision,دقت، درستی,
Print Hide,چاپ پنهان,
Print Hide If No Value,اگر مقدار نداشت در پرینت نمایش داده نشود,
Print Width,عرض چاپ,
Rating,رتبه بندی,
Read Only,فقط خواندنی,
Read Only Depends On (JS),فقط خواندن به آن بستگی دارد (JS),
Rejected,رد شده,
Reload,بارگذاری مجدد,
Remember Last Selected Value,آخرین مقدار انتخاب شده را به خاطر بسپارید,
Report Hide,گزارش پنهان کردن,
Section Break,شکستن بخش,
Select,انتخاب کردن,
Session Defaults,پیش‌فرض‌های نشست,
Set non-standard precision for a Float or Currency field,دقت غیر استاندارد را برای فیلد شناور یا ارز تنظیم کنید,
Set only once,فقط یکبار تنظیم کنید,
Show Dashboard,نمایش داشبورد,
Signature,امضا,
Small Text,متن کوچک,
Sort Options,گزینه‌های مرتب‌سازی,
Source,منبع,
Source Name,نام منبع,
Status,وضعیت,
System Manager,مدیر سیستم,
Tab Break,شکستن برگه,
Table,جدول,
Table MultiSelect,جدول MultiSelect,
Template,قالب,
Text,متن,
Text Editor,ویرایشگر متن,
Time,زمان,
Title,عنوان,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
Translatable,قابل ترجمه,
Type,نوع,
Unique,منحصر بفرد,
View Website,مشاهده وب سایت,
Virtual,مجازی,
Visibility,دید,
Width,عرض,
Yes,بله,
