All,Tots,
Allow Bulk Edit,Permetre Edició massiva,
Allow in Quick Entry,Permetre en una entrada ràpida,
Allow on Submit,Permetre al presentar,
Amended From,Modificada Des de,
Attach,Adjuntar,
Attach Image,Adjuntar imatge,
Barcode,Codi de barres,
Bold,Negre,
Button,Botó,
Check,Comproveu,
City,Ciutat,
Code,Codi,
Collapsible,Plegable,
Color,Color,
Column Break,Salt de columna,
Columns,columnes,
Contact Details,Detalls de contacte,
Content,Contingut,
Country,País,
Currency,Moneda,
Data,Dades,
Date,Data,
Datetime,Data i hora,
Default,Defecte,
Defaults,Predeterminats,
Description,Descripció,
Display,Visualització,
Documentation URL,URL de la documentació,
Draft,Esborrany,
Duration,Durada,
Dynamic Link,Enllaç Dinàmic,
Email,Correu electrònic,
Fetch From,Obtenir des de,
Fields,Camps,
Float,Float,
Fold,fold,
Geolocation,Geolocalització,
HTML,HTML,
HTML Editor,Editor HTML,
Heading,Títol,
Hidden,Amagat,
Hide Border,Amaga la frontera,
Hide Days,Oculta dies,
Hide Seconds,Amaga els segons,
Icon,Icona,
Ignore User Permissions,Ignora els permisos d'usuari,
Ignore XSS Filter,Ignorar filtre XSS,
Image,Imatge,
In Filter,En Filter,
In Global Search,En Recerca Global,
In List View,Vista de llista,
In Preview,A la vista prèvia,
Index,Índex,
Int,Int,
Is Active,Està actiu,
JSON,JSON,
Keyboard Shortcuts,Dreceres de teclat,
Label,Etiqueta,
Language,Idioma,
Length,Longitud,
Link,Enllaç,
Long Text,Text llarg,
Mandatory,Obligatori,
Markdown Editor,Editor de Markdown,
Name,Nom,
Naming Series,Sèrie de nomenclatura,
No,No,
No Copy,No Copy,
Non Negative,No negatiu,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Nombre de columnes per a un camp en una vista de llista o una quadrícula (Columnes total ha de ser inferior a 11),
Options,Opcions,
Other,Un altre,
Password,Contrasenya,
Pending Verification,Pendent de verificar,
Percent,Per cent,
Perm Level,Perm Level,
Permissions,Permisos,
Phone,Telèfon,
Precision,Precisió,
Print Hide,Imprimir Amaga,
Print Hide If No Value,Imprimir amaga Si No Valor,
Print Width,Ample d'impressió,
Rating,classificació,
Read Only,Només lectura,
Rejected,Rebutjat,
Reload,Recarregar,
Remember Last Selected Value,Recordeu que l&#39;últim valor seleccionat,
Report Hide,Amaga Informe,
Section Break,Salt de secció,
Select,Seleccionar,
Session Defaults,Defectes predeterminats de la sessió,
Set non-standard precision for a Float or Currency field,Ajusta una precisió no estàndard per a un camp Float o moneda,
Show Dashboard,Mostra Tauler,
Signature,Signatura,
Small Text,Text petit,
Source,Font,
Source Name,font Nom,
Status,Estat,
System Manager,Administrador del sistema,
Table,Taula,
Table MultiSelect,Taula MultiSelect,
Template,Plantilla,
Text,Text,
Text Editor,Editor de text,
Time,Temps,
Title,Títol,
Translatable,Traduïble,
Type,Tipus,
Unique,Únic,
View Website,Veure Lloc Web,
Width,Ample,
Yes,Sí,
