All,Tutti,
Allow Bulk Edit,Consenti la modifica bulk,
Allow in Quick Entry,Consenti inserimento rapido,
Allow on Submit,Consenti se Confermato,
Amended From,Corretto da,
Attach,Allega,
Attach Image,Allega immagine,
Barcode,Codice a barre,
Bold,Grassetto,
Button,Pulsante,
Check,Dai un&#39;occhiata,
City,Città,
Code,Codice,
Collapsible,Pieghevole,
Color,Colore,
Column Break,Interruzione Colonna,
Columns,colonne,
Contact Details,Dettagli Contatto,
Content,Contenuto,
Country,Paese,
Currency,Valuta,
Data,Dati,
Date,Data,
Datetime,Data e ora,
Default,Predefinito,
Defaults,Valori Predefiniti,
Description,Descrizione,
Display,Visualizza,
Documentation URL,URL della documentazione,
Draft,Bozza,
Duration,Durata,
Dynamic Link,Dynamic Link,
Email,E-mail,
Fetch From,Scarica da,
Fields,Campi,
Float,Float,
Fold,Piega,
Geolocation,geolocalizzazione,
HTML,HTML,
HTML Editor,Editor HTML,
Heading,Intestazione,
Hidden,Nascosto,
Hide Border,Nascondi bordo,
Hide Days,Nascondi giorni,
Hide Seconds,Nascondi secondi,
Icon,Icona,
Ignore User Permissions,Ignora autorizzazioni utente,
Ignore XSS Filter,Ignora filtro XSS,
Image,Immagine,
In Filter,In Filtro,
In Global Search,Alla ricerca globale,
In List View,In Vista Elenco,
In Preview,In anteprima,
Index,Indice,
Int,Int.,
Is Active,È attivo,
JSON,JSON,
Keyboard Shortcuts,Tasti rapidi,
Label,Etichetta,
Language,Lingua,
Length,Lunghezza,
Link,collegamento,
Long Text,Testo lungo,
Mandatory,Obbligatorio,
Markdown Editor,Markdown Editor,
Name,Nome,
Naming Series,Denominazione Serie,
No,No,
No Copy,Copia Assente,
Non Negative,Non negativo,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Numero di colonne per un campo in un elenco Visualizza o una griglia (Totale Colonne deve essere inferiore a 11),
Options,Opzioni,
Other,Altro,
Password,Password,
Pending Verification,In attesa di verifica,
Percent,Percentuale,
Perm Level,Perm Livello,
Permissions,Autorizzazioni,
Phone,Telefono,
Precision,Precisione,
Print Hide,Stampa Hide,
Print Hide If No Value,Stampa Nascondere se nessun valore,
Print Width,Larghezza di stampa,
Rating,Valutazione,
Read Only,Solo lettura,
Rejected,Rifiutato,
Reload,Aggiorna,
Remember Last Selected Value,Ricorda ultimo valore selezionato,
Report Hide,Nascondi Report,
Section Break,Interruzione di sezione,
Select,Selezionare,
Session Defaults,Sessioni predefinite,
Set non-standard precision for a Float or Currency field,Set di precisione non standard per un campo Float o Valuta,
Show Dashboard,Mostra dashboard,
Signature,Firma,
Small Text,Testo piccolo,
Source,Fonte,
Source Name,Source Name,
Status,Stato,
System Manager,System Manager,
Table,Tabella,
Table MultiSelect,Tavolo MultiSelect,
Template,Modelli,
Text,Testo,
Text Editor,Editor di testo,
Time,Tempo,
Title,Titolo,
Translatable,Traducibile,
Type,Tipo,
Unique,Unico,
View Website,Visualizza sito web,
Width,Larghezza,
Yes,sì,
