All,सर्व,
Allow Bulk Edit,मोठ्या प्रमाणात संपादित करा परवानगी द्या,
Allow in Quick Entry,जलद प्रविष्टीमध्ये परवानगी द्या,
Allow on Submit,सबमिट परवानगी द्या,
Amended From,पासून दुरुस्ती,
Attach,संलग्न करा,
Attach Image,प्रतिमा संलग्न,
Barcode,बारकोड,
Bold,धीट,
Button,बटण,
Check,तपासा,
City,शहर,
Code,कोड,
Collapsible,संक्षिप्त,
Color,रंग,
Column Break,स्तंभ ब्रेक,
Columns,स्तंभ,
Contact Details,संपर्क माहिती,
Content,सामग्री,
Country,देश,
Currency,चलन,
Data,डेटा,
Date,तारीख,
Datetime,DATETIME,
Default,मुलभूत,
Defaults,मुलभूत,
Description,वर्णन,
Display,प्रदर्शन,
Documentation URL,दस्तऐवजीकरण URL,
Draft,मसुदा,
Duration,कालावधी,
Dynamic Link,डायनॅमिक लिंक,
Email,ई-मेल,
Fetch From,कडून प्राप्त करा,
Fields,फील्ड,
Float,फ्लोट,
Fold,दुमडणे,
Geolocation,जिओलोकेशन,
HTML,HTML,
HTML Editor,एचटीएमएल संपादक,
Heading,शीर्षक,
Hidden,लपवलेले,
Hide Border,सीमा लपवा,
Hide Days,दिवस लपवा,
Hide Seconds,सेकंद लपवा,
Icon,चिन्ह,
Ignore User Permissions,वापरकर्ता परवानग्या दुर्लक्ष करा,
Ignore XSS Filter,XSS फिल्टर दुर्लक्ष,
Image,प्रतिमा,
In Filter,फिल्टर,
In Global Search,ग्लोबल शोध घ्या,
In List View,सूची पहा,
In Preview,पूर्वावलोकनात,
Index,निर्देशांक,
Int,Int,
Is Active,सक्रिय आहे,
JSON,JSON,
Keyboard Shortcuts,कीबोर्ड शॉर्टकट,
Label,लेबल,
Language,भाषा,
Length,लांबी,
Link,दुवा,
Long Text,लांब मजकूर,
Mandatory,बंधनकारक,
Markdown Editor,मार्कडाउन संपादक,
Name,नाव,
Naming Series,नामांकन मालिका,
No,क्रमांक,
No Copy,कॉपी नाही,
Non Negative,नकारात्मक नाही,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),एक सूची पहा किंवा ग्रिड क्षेत्र स्तंभ संख्या (एकूण स्तंभ कमी 11 पेक्षा पाहिजे),
Options,पर्याय,
Other,इतर,
Password,पासवर्ड,
Pending Verification,प्रलंबित पडताळणी,
Percent,टक्के,
Perm Level,पर्म स्तर,
Permissions,परवानग्या,
Phone,फोन,
Precision,सुस्पष्टता,
Print Hide,मुद्रण लपवा,
Print Hide If No Value,जर मुल्य नसेल तर  मुद्रण लपवा,
Print Width,मुद्रण रूंदी,
Rating,रेटिंग,
Read Only,केवळ वाचनीय,
Rejected,नाकारल्याचे,
Reload,रीलोड करा,
Remember Last Selected Value,गेल्या निवडलेले मूल्य लक्षात ठेवा,
Report Hide,अहवाल लपवा,
Section Break,कलम ब्रेक,
Select,निवडा,
Session Defaults,सत्र डीफॉल्ट,
Set non-standard precision for a Float or Currency field,एक फ्लोट किंवा चलन field साठी  सेट मानक-नसलेला सुस्पष्टता,
Show Dashboard,डॅशबोर्ड दर्शवा,
Signature,स्वाक्षरी,
Small Text,लहान मजकूर,
Source,स्रोत,
Source Name,स्रोत नाव,
Status,स्थिती,
System Manager,प्रणाली व्यवस्थापक,
Table,टेबल,
Table MultiSelect,सारणी मल्टीइलेक्ट,
Template,साचा,
Text,मजकूर,
Text Editor,पाठ्य संपादक,
Time,वेळ,
Title,शीर्षक,
Translatable,भाषांतरयोग्य,
Type,प्रकार,
Unique,युनिक,
View Website,वेबसाइट पहा,
Width,रूंदी,
Yes,होय,
