About,crwdns112978:0crwdne112978:0,
All,crwdns113294:0crwdne113294:0,
Allow Bulk Edit,crwdns143802:0crwdne143802:0,
Allow in Quick Entry,crwdns143858:0crwdne143858:0,
Allow on Submit,crwdns143860:0crwdne143860:0,
Amended From,crwdns143898:0crwdne143898:0,
Apps,crwdns148374:0crwdne148374:0,
Attach,crwdns113730:0crwdne113730:0,
Attach Image,crwdns143996:0crwdne143996:0,
Autocomplete,crwdns144062:0crwdne144062:0,
Barcode,crwdns144142:0crwdne144142:0,
Bold,crwdns144198:0crwdne144198:0,
Button,crwdns144240:0crwdne144240:0,
Check,crwdns144344:0crwdne144344:0,
City,crwdns144356:0crwdne144356:0,
Code,crwdns144390:0crwdne144390:0,
Collapsible,crwdns144396:0crwdne144396:0,
Collapsible Depends On (JS),crwdns144400:0crwdne144400:0,
Color,crwdns114782:0crwdne114782:0,
Column Break,crwdns144402:0crwdne144402:0,
Columns,crwdns144404:0crwdne144404:0,
Constraints,crwdns144458:0crwdne144458:0,
Contact Details,crwdns144460:0crwdne144460:0,
Content,crwdns144470:0crwdne144470:0,
Country,crwdns115148:0crwdne115148:0,
Currency,crwdns115262:0crwdne115262:0,
Data,crwdns115526:0crwdne115526:0,
Date,crwdns115580:0crwdne115580:0,
Datetime,crwdns144602:0crwdne144602:0,
Default,crwdns115646:0crwdne115646:0,
Defaults,crwdns144650:0crwdne144650:0,
Description,crwdns115818:0crwdne115818:0,
Display,crwdns144736:0crwdne144736:0,
Display Depends On (JS),crwdns144740:0crwdne144740:0,
Documentation URL,crwdns144790:0crwdne144790:0,
"Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field",crwdns144802:0crwdne144802:0,
Draft,crwdns116322:0crwdne116322:0,
Duration,crwdns144832:0crwdne144832:0,
Dynamic Link,crwdns116380:0crwdne116380:0,
Email,crwdns116472:0crwdne116472:0,
Fetch From,crwdns145072:0crwdne145072:0,
Fetch on Save if Empty,crwdns145074:0crwdne145074:0,
Fields,crwdns117206:0crwdne117206:0,
Float,crwdns145146:0crwdne145146:0,
Fold,crwdns145150:0crwdne145150:0,
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.",crwdns145196:0crwdne145196:0,
Frappe Support,crwdns117604:0crwdne117604:0,
Geolocation,crwdns145258:0crwdne145258:0,
HTML,crwdns117910:0crwdne117910:0,
HTML Editor,crwdns145324:0crwdne145324:0,
Heading,crwdns117992:0crwdne117992:0,
Hidden,crwdns118044:0crwdne118044:0,
Hide Border,crwdns145372:0crwdne145372:0,
Hide Days,crwdns145382:0crwdne145382:0,
Hide Seconds,crwdns145388:0crwdne145388:0,
Icon,crwdns118192:0crwdne118192:0,
"If unchecked, the value will always be re-fetched on save.",crwdns145478:0crwdne145478:0,
Ignore User Permissions,crwdns145486:0crwdne145486:0,
Ignore XSS Filter,crwdns145488:0crwdne145488:0,
Image,crwdns145494:0crwdne145494:0,
In Filter,crwdns145526:0crwdne145526:0,
In Global Search,crwdns145528:0crwdne145528:0,
In List Filter,crwdns145530:0crwdne145530:0,
In List View,crwdns118444:0crwdne118444:0,
In Preview,crwdns145532:0crwdne145532:0,
Index,crwdns118524:0crwdne118524:0,
Int,crwdns145580:0crwdne145580:0,
Is Active,crwdns145606:0crwdne145606:0,
JSON,crwdns145676:0crwdne145676:0,
Keyboard Shortcuts,crwdns118988:0crwdne118988:0,
Label,crwdns119056:0crwdne119056:0,
Language,crwdns119108:0crwdne119108:0,
Length,crwdns145802:0crwdne145802:0,
Link,crwdns145840:0crwdne145840:0,
Link Filters,crwdns145856:0crwdne145856:0,
List / Search Settings,crwdns145876:0crwdne145876:0,
Log out,crwdns119460:0crwdne119460:0,
Long Text,crwdns145922:0crwdne145922:0,
Make Attachment Public (by default),crwdns149152:0crwdne149152:0,
Manage Billing,crwdns151868:0crwdne151868:0,
Mandatory,crwdns145940:0crwdne145940:0,
Mandatory Depends On (JS),crwdns145944:0crwdne145944:0,
Markdown Editor,crwdns145960:0crwdne145960:0,
Max Height,crwdns145972:0crwdne145972:0,
My Profile,crwdns120052:0crwdne120052:0,
My Settings,crwdns120054:0crwdne120054:0,
Name,crwdns120062:0crwdne120062:0,
Naming Series,crwdns146094:0crwdne146094:0,
No,crwdns120264:0crwdne120264:0,
No Copy,crwdns146130:0crwdne146130:0,
Non Negative,crwdns146138:0crwdne146138:0,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),crwdns146184:0crwdne146184:0,
Options,crwdns120848:0crwdne120848:0,
Other,crwdns146274:0crwdne146274:0,
Password,crwdns121076:0crwdne121076:0,
Pending Verification,crwdns146374:0crwdne146374:0,
Percent,crwdns146376:0crwdne146376:0,
Perm Level,crwdns146382:0crwdne146382:0,
Permissions,crwdns121204:0crwdne121204:0,
Phone,crwdns146396:0crwdne146396:0,
Placeholder,crwdns149154:0crwdne149154:0,
Precision,crwdns146438:0crwdne146438:0,
Print Hide,crwdns146468:0crwdne146468:0,
Print Hide If No Value,crwdns146470:0crwdne146470:0,
Print Width,crwdns146478:0crwdne146478:0,
Rating,crwdns146566:0crwdne146566:0,
Read Only,crwdns121984:0crwdne121984:0,
Read Only Depends On (JS),crwdns146574:0crwdne146574:0,
Rejected,crwdns146648:0crwdne146648:0,
Reload,crwdns122270:0crwdne122270:0,
Remember Last Selected Value,crwdns146658:0crwdne146658:0,
Report Hide,crwdns146694:0crwdne146694:0,
Section Break,crwdns146890:0crwdne146890:0,
Select,crwdns123106:0crwdne123106:0,
Session Defaults,crwdns123422:0crwdne123422:0,
Set non-standard precision for a Float or Currency field,crwdns147026:0crwdne147026:0,
Set only once,crwdns147028:0crwdne147028:0,
Show Dashboard,crwdns123596:0crwdne123596:0,
Show on Timeline,crwdns148452:0crwdne148452:0,
Signature,crwdns147116:0crwdne147116:0,
Small Text,crwdns147144:0crwdne147144:0,
Sort Options,crwdns147164:0crwdne147164:0,
Source,crwdns123858:0crwdne123858:0,
Source Name,crwdns147168:0crwdne147168:0,
Status,crwdns123998:0crwdne123998:0,
System Manager,crwdns124296:0crwdne124296:0,
Tab Break,crwdns147294:0crwdne147294:0,
Table,crwdns124320:0crwdne124320:0,
Table MultiSelect,crwdns147304:0crwdne147304:0,
Template,crwdns147316:0crwdne147316:0,
Text,crwdns147326:0crwdne147326:0,
Text Editor,crwdns147334:0crwdne147334:0,
Time,crwdns124730:0crwdne124730:0,
Title,crwdns124810:0crwdne124810:0,
