All,Všechno,
Allow Bulk Edit,Povolit hromadné úpravy,
Allow in Quick Entry,Povolit v Rychlém zadání,
Allow on Submit,Povolit při Odeslání,
Amended From,Platném znění,
Attach,Přiložit,
Attach Image,Připojit obrázek,
Barcode,čárový kód,
Bold,tučně,
Button,Tlačítko,
Check,Kontrola,
City,Město,
Code,Kód,
Collapsible,Skládací,
Color,Barva,
Column Break,Zalomení sloupce,
Columns,sloupce,
Contact Details,Kontaktní údaje,
Content,Obsah,
Country,Země,
Currency,Měna,
Data,Data,
Date,Datum,
Datetime,Datum a čas,
Default,Výchozí,
Defaults,Výchozí,
Description,Popis,
Display,Zobrazit,
Documentation URL,URL dokumentace,
Draft,Návrh,
Duration,Doba trvání,
Dynamic Link,Dynamický odkaz,
Email,E-mailem,
Fetch From,Načíst od,
Fields,Pole,
Float,Desetinné číslo,
Fold,Fold,
Geolocation,Geolokace,
HTML,HTML,
HTML Editor,Editor HTML,
Heading,Nadpis,
Hidden,Skrytý,
Hide Border,Skrýt hranici,
Hide Days,Skrýt dny,
Hide Seconds,Skrýt sekundy,
Icon,Ikona,
Ignore User Permissions,Ignorovat uživatelská oprávnění,
Ignore XSS Filter,Ignorovat XSS filtr,
Image,Obrázek,
In Filter,Ve filtru,
In Global Search,V Globální hledání,
In List View,V seznamu,
In Preview,V náhledu,
Index,Index,
Int,Celé číslo,
Is Active,Je Aktivní,
JSON,JSON,
Keyboard Shortcuts,Klávesové zkratky,
Label,Popisek,
Language,Jazyk,
Length,Délka,
Link,Odkaz,
Long Text,Dlouhý text,
Mandatory,Povinné,
Markdown Editor,Editor editorů,
Name,Jméno,
Naming Series,Číselné řady,
No,Ne,
No Copy,Žádná kopie,
Non Negative,Nezáporné,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Počet sloupců pro pole v zobrazení seznamu nebo mřížce (celkem sloupce by měla být menší než 11),
Options,Možnosti,
Other,Ostatní,
Password,Heslo,
Pending Verification,Čeká na ověření,
Percent,Procento,
Perm Level,úroveň oprávnění,
Permissions,Oprávnění,
Phone,Telefon,
Precision,přesnost,
Print Hide,Skrýt tisk,
Print Hide If No Value,Tisk Hide-li Ne Hodnota,
Print Width,šířka tisku,
Rating,Rating,
Read Only,Pouze pro čtení,
Rejected,Zamítnuto,
Reload,Znovu načíst,
Remember Last Selected Value,"Nezapomeňte, poslední vybraná hodnota",
Report Hide,Skrýt výpis,
Section Break,Zalomení sekce,
Select,Vybrat,
Session Defaults,Výchozí nastavení relace,
Set non-standard precision for a Float or Currency field,Nastavit nestandardní přesnost pro desetinná čísla nebo pole měny,
Show Dashboard,Zobrazit panel,
Signature,Podpis,
Small Text,Krátký text,
Source,Zdroj,
Source Name,Název zdroje,
Status,Stav,
System Manager,Správce systému,
Table,Tabulka,
Table MultiSelect,Tabulka MultiSelect,
Template,Šablona,
Text,Text,
Text Editor,Editor textu,
Time,Čas,
Title,Titulek,
Translatable,Přeložitelný,
Type,Typ,
Unique,Jedinečný,
View Website,K webové stránce,
Width,Šířka,
Yes,Ano,
