All,ಎಲ್ಲಾ,
Allow Bulk Edit,ಒಟ್ಟು ಸಂಪಾದನೆ ಅನುಮತಿಸಿ,
Allow in Quick Entry,ತ್ವರಿತ ಪ್ರವೇಶದಲ್ಲಿ ಅನುಮತಿಸಿ,
Allow on Submit,ಸಲ್ಲಿಸಿ ಮೇಲೆ ಅನುಮತಿಸಿ,
Amended From,ಗೆ ತಿದ್ದುಪಡಿ,
Attach,ಲಗತ್ತಿಸಿ,
Attach Image,ಚಿತ್ರ ಲಗತ್ತಿಸಿ,
Barcode,ಬಾರ್‌ಕೋಡ್,
Bold,ದಪ್ಪ,
Button,ಗುಂಡಿ,
Check,ಪರಿಶೀಲಿಸಿ,
City,ನಗರ,
Code,ಕೋಡ್,
Collapsible,ಬಾಗಿಕೊಳ್ಳಬಹುದಾದ,
Color,ಬಣ್ಣ,
Column Break,ಕಾಲಮ್ ಬ್ರೇಕ್,
Columns,ಅಂಕಣ,
Contact Details,ಸಂಪರ್ಕ ವಿವರಗಳು,
Content,ವಿಷಯ,
Country,ದೇಶ,
Currency,ಕರೆನ್ಸಿ,
Data,ಡೇಟಾ,
Date,ದಿನಾಂಕ,
Datetime,DATETIME,
Default,ಡೀಫಾಲ್ಟ್,
Defaults,ಡಿಫಾಲ್ಟ್,
Description,ವಿವರಣೆ,
Display,ಪ್ರದರ್ಶಿಸು,
Documentation URL,ದಸ್ತಾವೇಜನ್ನು URL,
Draft,ಡ್ರಾಫ್ಟ್,
Duration,ಅವಧಿ,
Dynamic Link,ಡೈನಾಮಿಕ್ ಲಿಂಕ್,
Email,ಇಮೇಲ್,
Fetch From,ನಿಂದ ಪಡೆಯಿರಿ,
Fields,ಫೀಲ್ಡ್ಸ್,
Float,ತೇಲುವುದು,
Fold,ಪಟ್ಟು,
Geolocation,ಜಿಯೋಲೊಕೇಶನ್,
HTML,ಎಚ್ಟಿಎಮ್ಎಲ್,
HTML Editor,ಎಚ್ಟಿಎಮ್ಎಲ್ ಎಡಿಟರ್,
Heading,ಶಿರೋನಾಮೆ,
Hidden,ಮರೆಮಾಡಲಾಗಿದೆ,
Hide Border,ಗಡಿಯನ್ನು ಮರೆಮಾಡಿ,
Hide Days,ದಿನಗಳನ್ನು ಮರೆಮಾಡಿ,
Hide Seconds,ಸೆಕೆಂಡ್ಸ್ ಮರೆಮಾಡಿ,
Icon,ಐಕಾನ್,
Ignore User Permissions,ಬಳಕೆದಾರ ಅನುಮತಿಗಳು ನಿರ್ಲಕ್ಷಿಸು,
Ignore XSS Filter,XSS ಸಂಪರ್ಕ ಫಿಲ್ಟರ್ ನಿರ್ಲಕ್ಷಿಸು,
Image,ಚಿತ್ರ,
In Filter,ಶೋಧಕಗಳು ರಲ್ಲಿ,
In Global Search,ಜಾಗತಿಕ ಸರ್ಚ್,
In List View,ListView ರಲ್ಲಿ,
In Preview,ಪೂರ್ವವೀಕ್ಷಣೆಯಲ್ಲಿ,
Index,ಸೂಚಿ,
Int,ಇಂಟ್,
Is Active,ಸಕ್ರಿಯವಾಗಿದೆ,
JSON,JSON ಅನ್ನು,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Label,ಚೀಟಿ,
Language,ಭಾಷೆ,
Length,ಉದ್ದ,
Link,ಲಿಂಕ್,
Long Text,ಲಾಂಗ್ ಪಠ್ಯ,
Mandatory,ಆಜ್ಞಾಪಕ,
Markdown Editor,ಮಾರ್ಕ್‌ಡೌನ್ ಸಂಪಾದಕ,
Name,ಹೆಸರು,
Naming Series,ಸರಣಿ ಹೆಸರಿಸುವ,
No,ಇಲ್ಲ,
No Copy,ಯಾವುದೇ ಪ್ರತಿಯನ್ನು,
Non Negative,ನಕಾರಾತ್ಮಕವಲ್ಲದ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),ಲಂಬಸಾಲುಗಳ ಸಂಖ್ಯೆ ಪಟ್ಟಿಯನ್ನು ವೀಕ್ಷಿಸಿ ಅಥವಾ ಗ್ರಿಡ್ ಒಂದು ಕ್ಷೇತ್ರಕ್ಕೆ (ಒಟ್ಟು ಕಾಲಮ್ಗಳು ಕಡಿಮೆ 11 ಇರಬೇಕು),
Options,ಆಯ್ಕೆಗಳು,
Other,ಇತರ,
Password,ಪಾಸ್ವರ್ಡ್,
Pending Verification,ಪರಿಶೀಲನೆ ಬಾಕಿ ಉಳಿದಿದೆ,
Percent,ಪರ್ಸೆಂಟ್,
Perm Level,ಪೆರ್ಮ್ ಮಟ್ಟ,
Permissions,ಅನುಮತಿಗಳು,
Phone,ದೂರವಾಣಿ,
Precision,ನಿಖರವಾದ,
Print Hide,ಪ್ರಿಂಟ್ ಅಡಗಿಸು,
Print Hide If No Value,ಪ್ರಿಂಟ್ ಮರೆಮಾಡಿ ವೇಳೆ ಯಾವುದೇ ಮೌಲ್ಯ,
Print Width,ಪ್ರಿಂಟ್ ಅಗಲ,
Rating,ರೇಟಿಂಗ್,
Read Only,readonly,
Rejected,ತಿರಸ್ಕರಿಸಲಾಗಿದೆ,
Reload,ರೀಲೋಡ್,
Remember Last Selected Value,ಕೊನೆಯ ಆಯ್ದ ಮೌಲ್ಯ,
Report Hide,ವರದಿ ಅಡಗಿಸು,
Section Break,ವಿಭಾಗ ಬ್ರೇಕ್,
Select,ಆರಿಸು,
Session Defaults,ಸೆಷನ್ ಡೀಫಾಲ್ಟ್‌ಗಳು,
Set non-standard precision for a Float or Currency field,ಒಂದು ಫ್ಲೋಟ್ ಅಥವಾ ಕರೆನ್ಸಿ ಕ್ಷೇತ್ರದಲ್ಲಿ ಹೊಂದಿಸಿ ಅಲ್ಲದ ಪ್ರಮಾಣಿತ ನಿಖರ,
Show Dashboard,ಡ್ಯಾಶ್‌ಬೋರ್ಡ್ ತೋರಿಸು,
Signature,ಸಹಿ,
Small Text,ಸಣ್ಣ ಪಠ್ಯ,
Source,ಮೂಲ,
Source Name,ಮೂಲ ಹೆಸರು,
Status,ಅಂತಸ್ತು,
System Manager,ವ್ಯವಸ್ಥೆ ಮ್ಯಾನೇಜರ್,
Table,ಮೇಜು,
Table MultiSelect,ಟೇಬಲ್ ಬಹು ಆಯ್ಕೆ,
Template,ಟೆಂಪ್ಲೇಟು,
Text,ಪಠ್ಯ,
Text Editor,ಪಠ್ಯ ಸಂಪಾದಕ,
Time,ಸಮಯ,
Title,ಶೀರ್ಷಿಕೆ,
Translatable,ಅನುವಾದಿಸಬಹುದಾದ,
Type,ದರ್ಜೆ,
Unique,ಅನನ್ಯ,
View Website,ವೀಕ್ಷಿಸಿ ವೆಬ್ಸೈಟ್,
Width,ಅಗಲ,
Yes,ಹೌದು,
