All,ALL,
Allow Bulk Edit,బల్క్ మార్చు అనుమతించు,
Allow in Quick Entry,త్వరిత ఎంట్రీలో అనుమతించు,
Allow on Submit,సమర్పించండి అనుమతించు,
Amended From,సవరించిన,
Attach,అటాచ్,
Attach Image,చిత్రం అటాచ్,
Barcode,బార్కోడ్,
Bold,బోల్డ్,
Button,బటన్,
Check,తనిఖీ,
City,సిటీ,
Code,కోడ్,
Collapsible,ధ్వంసమయ్యే,
Color,రంగు,
Column Break,కాలమ్ బ్రేక్,
Columns,లు,
Contact Details,సంప్రదింపు వివరాలు,
Content,కంటెంట్,
Country,దేశం,
Currency,కరెన్సీ,
Data,సమాచారం,
Date,తేదీ,
Datetime,తేదీసమయం,
Default,డిఫాల్ట్,
Defaults,అప్రమేయం,
Description,వివరణ,
Display,ప్రదర్శించు,
Documentation URL,డాక్యుమెంటేషన్ URL,
Draft,డ్రాఫ్ట్,
Duration,వ్యవధి,
Dynamic Link,డైనమిక్ లింక్,
Email,ఇమెయిల్,
Fetch From,నుండి పొందు,
Fields,ఫీల్డ్స్,
Float,ఫ్లోట్,
Fold,మడత,
Geolocation,జియోస్థానం,
HTML,HTML,
HTML Editor,HTML ఎడిటర్,
Heading,శీర్షిక,
Hidden,దాగి,
Hide Border,సరిహద్దును దాచు,
Hide Days,రోజులు దాచు,
Hide Seconds,సెకనులను దాచు,
Icon,ఐకాన్,
Ignore User Permissions,వాడుకరి అనుమతులు విస్మరించు,
Ignore XSS Filter,విస్మరించు XSS వడపోత,
Image,చిత్రం,
In Filter,వడపోత లో,
In Global Search,గ్లోబల్ సెర్చ్,
In List View,జాబితా వీక్షణ లో,
In Preview,ప్రివ్యూలో,
Index,ఇండెక్స్,
Int,Int,
Is Active,చురుకుగా ఉంది,
JSON,JSON,
Keyboard Shortcuts,కీబోర్డ్ సత్వరమార్గాలు,
Label,లేబుల్,
Language,భాషా,
Length,పొడవు,
Link,లింక్,
Long Text,లాంగ్ టెక్స్ట్,
Mandatory,తప్పనిసరి,
Markdown Editor,మార్క్‌డౌన్ ఎడిటర్,
Name,పేరు,
Naming Series,నామకరణ సిరీస్,
No,ఏ,
No Copy,ఒక్క ప్రతి కూడా,
Non Negative,నాన్ నెగటివ్,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),ఒక గ్రిడ్ లేదా జాబితా వీక్షణ లో ఒక రంగంలో కోసం నిలువు సంఖ్య (మొత్తం లు 11 కంటే తక్కువ ఉండాలి),
Options,ఎంపికలు,
Other,ఇతర,
Password,పాస్వర్డ్,
Pending Verification,ధృవీకరణ పెండింగ్‌లో ఉంది,
Percent,శాతం,
Perm Level,పర్మ్ స్థాయి,
Permissions,అనుమతులు,
Phone,ఫోన్,
Precision,ప్రెసిషన్,
Print Hide,ప్రింట్ దాచు,
Print Hide If No Value,ప్రింట్ దాచు నో విలువ,
Print Width,ముద్రణ వెడల్పు,
Rating,రేటింగ్,
Read Only,చదవడానికి మాత్రమే,
Rejected,తిరస్కరించబడిన,
Reload,Reload,
Remember Last Selected Value,చివరి ఎంచుకున్న విలువ గుర్తుంచుకో,
Report Hide,నివేదిక దాచు,
Section Break,విభాగం బ్రేక్,
Select,ఎంచుకోండి,
Session Defaults,సెషన్ డిఫాల్ట్‌లు,
Set non-standard precision for a Float or Currency field,ఒక ఫ్లోట్ లేదా కరెన్సీ రంగంలో సెట్ ప్రామాణికం కాని ఖచ్చితత్వము,
Show Dashboard,డాష్‌బోర్డ్ చూపించు,
Signature,సంతకం,
Small Text,చిన్న టెక్స్ట్,
Source,మూల,
Source Name,మూలం పేరు,
Status,స్థితి,
System Manager,వ్యవస్థ మేనేజర్,
Table,టేబుల్,
Table MultiSelect,టేబుల్ మల్టీసెలెక్ట్,
Template,మూస,
Text,టెక్స్ట్,
Text Editor,టెక్స్ట్ ఎడిటర్,
Time,సమయం,
Title,శీర్షిక,
Translatable,కార్యరూపంలో,
Type,రకం,
Unique,ప్రత్యేక,
View Website,చూడండి వెబ్సైట్,
Width,వెడల్పు,
Yes,అవును,
