About,О системе,
All,Все,
Allow Bulk Edit,Разрешить массовое редактирование,
Allow in Quick Entry,Разрешить в быстрой записи,
Allow on Submit,Разрешить проведение,
Amended From,Измененный С,
Attach,Прикрепить,
Attach Image,Прикрепить изображение,
Barcode,Штрих-код,
Bold,Жирный,
Button,Кнопка,
Check,Проверьте,
City,Город,
Code,Код,
Collapsible,Сворачиваемый,
Color,Цвет,
Column Break,Разрыв столбца,
Columns,Колонки,
Contact Details,Контактная информация,
Content,Содержимое,
Country,Страна,
Currency,Валюта,
Data,Данные,
Date,Дата,
Datetime,Дата и время,
Default,По умолчанию,
Defaults,Значения по Умолчанию,
Description,Описание,
Display,Показать,
Documentation URL,URL документации,
Draft,Черновик,
Duration,Продолжительность,
Dynamic Link,Динамическая ссылка,
Email,Эл. адрес,
Fetch From,Извлечь из,
Fields,Поля,
Float,Дробное,
Fold,Сворачиваемое,
Geolocation,Геолокация,
HTML,HTML,
HTML Editor,Редактор HTML,
Heading,Заголовок,
Hidden,Скрытый,
Hide Border,Скрыть границу,
Hide Days,Скрыть дни,
Hide Seconds,Скрыть секунды,
Icon,Икона,
Ignore User Permissions,Игнорировать разрешения пользователя,
Ignore XSS Filter,Игнорировать XSS-фильтр,
Image,Изображение,
In Filter,В фильтрe,
In Global Search,В глобальном поиске,
In List View,Отображать в списке,
In Preview,В предварительном просмотре,
Index,Индекс,
Int,Интервал,
Is Active,Активен,
Keyboard Shortcuts,Горячие клавиши,
Label,Имя метки,
Language,Язык,
Length,Длина,
Link,Ссылка на сайт,
Long Text,Длинный текст,
Mandatory,Обязательный,
Markdown Editor,Редактор Markdown,
My Profile,Мой профиль,
My Settings,Мои настройки,
Name,Имя,
Naming Series,Именование серии,
No,Нет,
No Copy,Без копии,
Non Negative,Не отрицательный,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Количество столбцов для поля в режиме Список или Таблица (общее количество столбцов должно быть меньше 11),
Options,Опции,
Other,Другое,
Password,Пароль,
Pending Verification,ожидает подтвержения,
Percent,Процент,
Perm Level,Уровень разрешения,
Permissions,Разрешения,
Phone,Телефон,
Precision,Точность,
Print Hide,Не печатать,
Print Hide If No Value,Не печатать если нет значения,
Print Width,Ширина печати,
Rating,Рейтинг,
Read Only,Только чтения,
Rejected,Отклоненные,
Reload,Обновить страницу,
Remember Last Selected Value,Помнить последнее выбранное значение,
Report Hide,Скрыть отчет,
Section Break,Разделитель секций,
Select,Выбрать,
Session Defaults,Сеансы по умолчанию,
Set non-standard precision for a Float or Currency field,Установите нестандартные точность для поплавка или валютной области,
Show Dashboard,Показать панель инструментов,
Signature,Подпись,
Small Text,Маленьикий текст,
Source,Источник,
Source Name,Имя источника,
Status,Статус,
System Manager,Менеджер системы,
Table,Таблица,
Table MultiSelect,Таблица MultiSelect,
Template,Шаблон,
Text,Текст,
Text Editor,Редактор текста,
Time,Время,
Title,Заголовок,
Toggle Full Width,Переключить ширину,
Toggle Theme,Переключить тему,
Translatable,Переводимый,
Type,Тип,
Unique,Уникальный,
View Website,Посмотреть сайт,
Width,Ширина,
Yes,Да,
