All,ALL,
Allow Bulk Edit,Povoliť hromadnú úpravu,
Allow in Quick Entry,Povoliť v rýchlom zadaní,
Allow on Submit,Povolit při Odeslání,
Amended From,Platném znění,
Attach,Priložiť,
Attach Image,Pripojiť obrázok,
Barcode,čiarový kód,
Bold,smelý,
Button,Tlačítko,
Check,check,
City,Mesto,
Code,Kód,
Collapsible,Skladacie,
Color,Farba,
Column Break,Zalomenie stĺpca,
Columns,Stĺpce,
Contact Details,Kontaktné údaje,
Content,Obsah,
Country,Krajina,
Currency,Mena,
Data,Údaje,
Date,Dátum,
Datetime,Datum a čas,
Default,Východzie,
Defaults,Predvolené,
Description,popis,
Display,Zobraziť,
Documentation URL,URL dokumentácie,
Draft,Návrh,
Duration,trvanie,
Dynamic Link,Dynamický odkaz,
Email,e-mail,
Fetch From,Vybrať z,
Fields,Pole,
Float,Desetinné číslo,
Fold,Fold,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,Editor HTML,
Heading,Nadpis,
Hidden,skrytý,
Hide Border,Skryť hranicu,
Hide Days,Skryť dni,
Hide Seconds,Skryť sekundy,
Icon,ikona,
Ignore User Permissions,Ignorovat uživatelská oprávnění,
Ignore XSS Filter,Ignorovať XSS filter,
Image,Obrázok,
In Filter,Ve filtru,
In Global Search,V globálnom vyhľadávaní,
In List View,V zozname,
In Preview,V ukážke,
Index,Index,
Int,Celé číslo,
Is Active,Je Aktívny,
JSON,JSON,
Keyboard Shortcuts,Klávesové skratky,
Label,Popis,
Language,Jazyk,
Length,Dĺžka,
Link,odkaz,
Long Text,Dlouhý text,
Mandatory,Povinné,
Markdown Editor,Editor editorov,
Name,Meno,
Naming Series,Číselné rady,
No,Nie,
No Copy,Žiadna kópia,
Non Negative,Nezáporné,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Počet stĺpcov pre pole v zobrazení zoznamu alebo mriežke (celkom stĺpce by mala byť menšia ako 11),
Options,Možnosti,
Other,Ostatní,
Password,Heslo,
Pending Verification,Čaká sa na overenie,
Percent,Percento,
Perm Level,úroveň oprávnenia,
Permissions,Oprávnenia,
Phone,Telefón,
Precision,Presnosť,
Print Hide,Skryť tlač,
Print Hide If No Value,Netlačiť ak je bez hodnoty,
Print Width,Šírka tlače,
Rating,Rating,
Read Only,Len na čítanie,
Rejected,Zamítnuto,
Reload,Znovu načítať,
Remember Last Selected Value,"Nezabudnite, posledný vybraná hodnota",
Report Hide,Skrýt výpis,
Section Break,Zalomenie sekcie,
Select,Vybrať,
Session Defaults,Predvolené hodnoty relácie,
Set non-standard precision for a Float or Currency field,Nastavit nestandardní přesnost pro desetinná čísla nebo pole měny,
Show Dashboard,Zobraziť informačný panel,
Signature,Podpis,
Small Text,Krátký text,
Source,Zdroj,
Source Name,Názov zdroja,
Status,Stav,
System Manager,Správca systému,
Table,Tabuľka,
Table MultiSelect,Tabuľka MultiSelect,
Template,Šablona,
Text,Text,
Text Editor,Editor textu,
Time,čas,
Title,Názov,
Translatable,preložiteľný,
Type,Typ,
Unique,Jedinečný,
View Website,Prejsť na webstránku,
Width,Šířka,
Yes,Áno,
