All,VISOS,
Allow Bulk Edit,Leiskite Masiniai Redaguoti,
Allow in Quick Entry,Leisti greituose įrašuose,
Allow on Submit,Leisti Pateikti,
Amended From,Iš dalies pakeistas Nuo,
Attach,pridėti,
Attach Image,prisegti Image,
Barcode,Brūkšninis kodas,
Bold,Drąsiai,
Button,Mygtukas,
Check,Patikrinti,
City,miestas,
Code,kodas,
Collapsible,išardomas,
Color,spalva,
Column Break,skiltis pertrauka,
Columns,Stulpeliai,
Contact Details,Kontaktiniai duomenys,
Content,Turinys,
Country,Šalis,
Currency,valiuta,
Data,duomenys,
Date,Data,
Datetime,datetime,
Default,Numatytas,
Defaults,Numatytasis,
Description,Prekės ir paslaugos pavadinimas,
Display,displėjus,
Documentation URL,Dokumentacijos URL,
Draft,Projektas,
Duration,Trukmė,
Dynamic Link,Dynamic Link,
Email,El. Paštas,
Fetch From,Išeiti iš,
Fields,Laukai,
Float,plūdė,
Fold,sulankstyti,
Geolocation,Geografinė padėtis,
HTML,HTML,
HTML Editor,HTML redaktorius,
Heading,Antraštė,
Hidden,Paslėpta,
Hide Border,Slėpti sieną,
Hide Days,Slėpti dienas,
Hide Seconds,Slėpti sekundes,
Icon,Piktograma,
Ignore User Permissions,Ignoruoti vartotojų teises,
Ignore XSS Filter,Ignoruoti XSS Filtruoti,
Image,Vaizdas,
In Filter,filtro,
In Global Search,Global paieška,
In List View,Sąrašo Peržiūrėti,
In Preview,Peržiūroje,
Index,Indeksas,
Int,Žiniasklaida,
Is Active,yra aktyvus,
JSON,JSON,
Keyboard Shortcuts,Klaviatūros nuorodos,
Label,Etiketė,
Language,kalba,
Length,ilgis,
Link,Nuoroda,
Long Text,ilgas tekstas,
Mandatory,privalomas,
Markdown Editor,„Markdown“ redaktorius,
Name,vardas,
Naming Series,Pavadinimų serija,
No,Ne,
No Copy,Nėra Kopijuoti,
Non Negative,Ne neigiamas,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Stulpelių skaičius už srityje sąrašo rodinį arba Tinklelis (viso Stulpeliai turi būti mažesnis kaip 11),
Options,Nustatymai,
Other,kitas,
Password,slaptažodis,
Pending Verification,Laukiama patikrinimo,
Percent,procentai,
Perm Level,Permė lygis,
Permissions,Leidimai,
Phone,telefonas,
Precision,tikslumas,
Print Hide,Spausdinti Slėpti,
Print Hide If No Value,Spausdinti Slėpti Jei NO vertė,
Print Width,Spausdinti Plotis,
Rating,Reitingas,
Read Only,Tik skaitymui,
Rejected,Atstumtas,
Reload,Perkrauti,
Remember Last Selected Value,Įsiminti paskutinį pasirinktą vertę,
Report Hide,Pranešti Slėpti,
Section Break,pertrauka skyrius,
Select,pasirinkti,
Session Defaults,Sesijos numatytieji nustatymai,
Set non-standard precision for a Float or Currency field,Nustatyti nestandartinis tikslumo trintuve arba valiutos srityje,
Show Dashboard,Rodyti informacijos suvestinę,
Signature,Parašas,
Small Text,Smulkus šriftas,
Source,šaltinis,
Source Name,šaltinis Vardas,
Status,Statusas,
System Manager,sistemos direktorius,
Table,lentelė,
Table MultiSelect,Lentelė „MultiSelect“,
Template,šablonas,
Text,tekstas,
Text Editor,teksto redaktorius,
Time,Laikas,
Title,Pavadinimas,
Translatable,Verta,
Type,tipas,
Unique,Unikalus,
View Website,Peržiūrėti svetainė,
Width,plotis,
Yes,Taip,
