All,எல்லாம்,
Allow Bulk Edit,மொத்த திருத்த அனுமதி,
Allow in Quick Entry,விரைவு நுழைவில் அனுமதி,
Allow on Submit,சமர்ப்பி மீது அனுமதிக்க,
Amended From,முதல் திருத்தப்பட்ட,
Attach,இணைக்கவும்,
Attach Image,படத்தை இணைக்கவும்,
Barcode,பார்கோடு,
Bold,தைரியமான,
Button,பட்டன்,
Check,சரிபார்க்கவும்,
City,நகரம்,
Code,குறியீடு,
Collapsible,மடக்கு,
Color,நிறம்,
Column Break,நெடுவரிசை பிரிப்பு,
Columns,பத்திகள்,
Contact Details,விபரங்கள்,
Content,உள்ளடக்கம்,
Country,நாடு,
Currency,நாணய,
Data,தரவு,
Date,தேதி,
Datetime,நாள்நேரம்,
Default,இயல்புநிலை,
Defaults,இயல்புநிலைக்கு,
Description,விளக்கம்,
Display,காட்சி,
Documentation URL,ஆவணமாக்கல் URL,
Draft,வரைவு,
Duration,காலம்,
Dynamic Link,டைனமிக் இணைப்பு,
Email,மின்னஞ்சல்,
Fetch From,இருந்து எடு,
Fields,புலங்கள்,
Float,மிதப்பதற்கு,
Fold,மடி,
Geolocation,புவியியல்,
HTML,"HTML,",
HTML Editor,HTML எடிட்டர்,
Heading,தலைப்பு,
Hidden,மறைத்து,
Hide Border,எல்லையை மறை,
Hide Days,நாட்களை மறை,
Hide Seconds,விநாடிகளை மறை,
Icon,ஐகான்,
Ignore User Permissions,பயனர் அனுமதிகள் புறக்கணி,
Ignore XSS Filter,XSS என வடிகட்டி புறக்கணி,
Image,படம்,
In Filter,வடிகட்டி உள்ள,
In Global Search,குளோபல் சர்ச்,
In List View,பட்டியல் பார்வை,
In Preview,முன்னோட்டத்தில்,
Index,குறியீட்டெண்,
Int,முகப்பு,
Is Active,செயலில் உள்ளது,
JSON,JSON,
Keyboard Shortcuts,விசைப்பலகை குறுக்குவழிகள்,
Label,சிட்டை,
Language,மொழி,
Length,நீளம்,
Link,இணைப்பு,
Long Text,நீண்ட உரை,
Mandatory,அதிகாரம் சார்ந்த,
Markdown Editor,மார்க் டவுன் எடிட்டர்,
Name,பெயர்,
Naming Series,தொடர் பெயரிடும்,
No,இல்லை,
No Copy,நகல் இல்லை,
Non Negative,எதிர்மறை அல்ல,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),ஒரு பட்டியல் காட்சி அல்லது ஒரு கட்டம் ஒரு வயலுக்கு பத்திகள் எண்ணிக்கை (மொத்த பத்திகள் 11 விட குறைவாக இருக்க வேண்டும்),
Options,விருப்பங்கள்,
Other,வேறு,
Password,கடவுச்சொல்,
Pending Verification,சரிபார்ப்பு நிலுவையில் உள்ளது,
Percent,சதவீதம்,
Perm Level,நிலை PERM,
Permissions,அனுமதிகள்,
Phone,தொலைபேசி,
Precision,துல்லிய,
Print Hide,மறை அச்சிட,
Print Hide If No Value,அச்சு மறை என்றால் இல்லை மதிப்பு,
Print Width,அச்சு அகலம்,
Rating,மதிப்பீடு,
Read Only,படிக்க மட்டும்,
Rejected,நிராகரிக்கப்பட்டது,
Reload,Reload,
Remember Last Selected Value,கடைசியாக தேர்வு மதிப்பு நினைவில்,
Report Hide,மறை அறிக்கை,
Section Break,பகுதி பிரேக்,
Select,தேர்ந்தெடு,
Session Defaults,அமர்வு இயல்புநிலைகள்,
Set non-standard precision for a Float or Currency field,ஒரு மிதவை அல்லது நாணய துறையில் அமைக்க தரமற்ற துல்லியமான,
Show Dashboard,டாஷ்போர்டைக் காட்டு,
Signature,கையொப்பம்,
Small Text,சிறிய உரை,
Source,மூல,
Source Name,மூல பெயர்,
Status,அந்தஸ்து,
System Manager,கணினி மேலாளர்,
Table,மேசை,
Table MultiSelect,அட்டவணை மல்டிசெலெக்ட்,
Template,டெம்ப்ளேட்,
Text,உரை,
Text Editor,உரை திருத்தி,
Time,நேரம்,
Title,தலைப்பு,
Translatable,மொழியாக்கம்,
Type,மாதிரி,
Unique,தனித்த,
View Website,இணையத்தளம் பார்வையிட,
Width,அகலம்,
Yes,ஆம்,
