All,Visi,
Allow Bulk Edit,Atļaut Lielapjoma rediģēšana,
Allow in Quick Entry,Atļaut ātrā ierakstā,
Allow on Submit,Atļaut apstiprināšanas,
Amended From,Grozīts No,
Attach,Pievienot,
Attach Image,Pievienojiet attēlu,
Barcode,Svītrkods,
Bold,Bold,
Button,Poga,
Check,Pārbaudiet,
City,Pilsēta,
Code,Kods,
Collapsible,Saliekams,
Color,Krāsa,
Column Break,Kolonna Break,
Columns,kolonnas,
Contact Details,Kontaktinformācija,
Content,Saturs,
Country,Valsts,
Currency,Valūta,
Data,Dati,
Date,Datums,
Datetime,Datetime,
Default,Pēc noklusējuma,
Defaults,Noklusējumi,
Description,Apraksts,
Display,Displejs,
Documentation URL,Dokumentācijas URL,
Draft,Projekts,
Duration,Ilgums,
Dynamic Link,Dynamic Link,
Email,E-pasts,
Fetch From,Ielādēt no,
Fields,Fields,
Float,Peldēt,
Fold,Salocīt,
Geolocation,Ģeogrāfiskā atrašanās vieta,
HTML,HTML,
HTML Editor,HTML redaktors,
Heading,Virsraksts,
Hidden,slēpta,
Hide Border,Slēpt robežu,
Hide Days,Slēpt dienas,
Hide Seconds,Slēpt sekundes,
Icon,Ikona,
Ignore User Permissions,Ignorēt lietotāju atļauju,
Ignore XSS Filter,Ignorēt XSS filtrs,
Image,Attēls,
In Filter,In Filtrs,
In Global Search,In Global Search,
In List View,List View,
In Preview,Priekšskatījumā,
Index,Indekss,
Int,Int,
Is Active,Vai Active,
JSON,JSON,
Keyboard Shortcuts,Tastatūras īsceļi,
Label,Etiķete,
Language,Valoda,
Length,Garums,
Link,Saite,
Long Text,Long Teksta,
Mandatory,Saistošs,
Markdown Editor,Atzīmju redaktors,
Name,Nosaukums,
Naming Series,Nosaucot Series,
No,Nē,
No Copy,Nē Copy,
Non Negative,Nav negatīvs,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Kolonnu skaits uz lauka saraksta skatu vai Grid (Kopā kolonnas jābūt mazākam par 11),
Options,Opcijas,
Other,Cits,
Password,Parole,
Pending Verification,Gaida pārbaudi,
Percent,Procents,
Perm Level,Ilgviļņi Level,
Permissions,Atļaujas,
Phone,Telefons,
Precision,Precizitāte,
Print Hide,Print Paslēpt,
Print Hide If No Value,Print Hide Ja Nē Value,
Print Width,Print Platums,
Rating,novērtējums,
Read Only,Tikai lasāms,
Rejected,Noraidīts,
Reload,Pārlādēt,
Remember Last Selected Value,"Atcerieties, pēdējais izvēlētais Value",
Report Hide,Ziņojums Paslēpt,
Section Break,Sadaļa Break,
Select,Atlasīt,
Session Defaults,Sesijas noklusējumi,
Set non-standard precision for a Float or Currency field,Uzstādīt nestandarta precizitāte par Float vai valūtas jomā,
Show Dashboard,Rādīt informācijas paneli,
Signature,Paraksts,
Small Text,Small Teksta,
Source,Avots,
Source Name,Source Name,
Status,Stāvoklis,
System Manager,System Manager,
Table,Tabula,
Table MultiSelect,Galds MultiSelect,
Template,Template,
Text,Teksts,
Text Editor,Teksta redaktors,
Time,Laiks,
Title,Virsraksts,
Translatable,Tulkojams,
Type,Tips,
Unique,Unikāls,
View Website,Skatīt Website,
Width,Platums,
Yes,Jā,
