All,ທັງ ໝົດ,
Allow Bulk Edit,ອະນຸຍາດໃຫ້ແກ້ໄຂຈໍານວນຫລາຍ,
Allow in Quick Entry,ອະນຸຍາດໃຫ້ເຂົ້າດ່ວນ,
Allow on Submit,ອະນຸຍາດໃຫ້ຢູ່ໃນຍື່ນສະເຫນີການ,
Amended From,ສະບັບປັບປຸງຈາກ,
Attach,ຄັດຕິດ,
Attach Image,ຄັດຕິດຮູບພາບ,
Barcode,ບາໂຄດ,
Bold,ກ້າຫານ,
Button,ປຸ່ມ,
Check,ກວດເບິ່ງ,
City,ເມືອງ,
Code,ລະຫັດ,
Collapsible,Collapsible,
Color,ສີ,
Column Break,ພັກຜ່ອນຄໍລໍາ,
Columns,ຄໍລໍາ,
Contact Details,ລາຍລະອຽດການຕິດຕໍ່,
Content,ເນື້ອໃນ,
Country,ປະເທດ,
Currency,ສະກຸນເງິນ,
Data,ຂໍ້ມູນ,
Date,ວັນທີ່ສະຫມັກ,
Datetime,datetime,
Default,ມາດຕະຖານ,
Defaults,ຄ່າເລີ່ມຕົ້ນ,
Description,ລາຍລະອຽດ,
Display,ການສະແດງ,
Documentation URL,URL ເອກະສານ,
Draft,Draft,
Duration,ໄລຍະເວລາ,
Dynamic Link,ການເຊື່ອມຕໍ່ການເຄື່ອນໄຫວ,
Email,ອີເມລ,
Fetch From,Fetch From,
Fields,ທົ່ງນາ,
Float,ເລື່ອນ,
Fold,ເທົ່າ,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,HTML Editor,
Heading,ຫົວຂໍ້,
Hidden,ເຊື່ອງໄວ້,
Hide Border,ເຊື່ອງຊາຍແດນ,
Hide Days,ເຊື່ອງວັນ,
Hide Seconds,ເຊື່ອງວິນາທີ,
Icon,ໄອຄອນ,
Ignore User Permissions,ບໍ່ສົນໃຈການອະນຸຍາດຂອງຜູ້ໃຊ້,
Ignore XSS Filter,ບໍ່ສົນໃຈ XSS Filter,
Image,ຮູບພາບ,
In Filter,ໃນ Filter,
In Global Search,ໃນການຊອກຫາ Global,
In List View,ໃນຊີ View,
In Preview,ໃນການສະແດງ,
Index,ດັດຊະນີ,
Int,Int,
Is Active,ເປັນກິດຈະກໍາ,
JSON,JSON,
Keyboard Shortcuts,ຄີບອດ,
Label,Label,
Language,ພາສາ,
Length,ຄວາມຍາວ,
Link,ການເຊື່ອມຕໍ່,
Long Text,ຂໍ້ຄວາມຍາວ,
Mandatory,ການບັງຄັບ,
Markdown Editor,ບັນນາທິການ Markdown,
Name,ຊື່,
Naming Series,ການຕັ້ງຊື່ Series,
No,ບໍ່ມີ,
No Copy,ບໍ່ມີສໍາເນົາ,
Non Negative,ບໍ່ແມ່ນລົບ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),ຈໍານວນຄໍລໍາສໍາລັບພາກສະຫນາມ in a List View ຫລືຕາຂ່າຍໄຟຟ້າເປັນ (ຄໍລໍາທັງຫມົດຄວນຈະມີຫນ້ອຍກ່ວາ 11),
Options,ທາງເລືອກໃນການ,
Other,ອື່ນ ໆ,
Password,ລະຫັດຜ່ານ,
Pending Verification,ການກວດສອບທີ່ຍັງຄ້າງຢູ່,
Percent,ເປີເຊັນ,
Perm Level,Level Perm,
Permissions,ການອະນຸຍາດ,
Phone,ໂທລະສັບ,
Precision,Precision,
Print Hide,Print ເຊື່ອງ,
Print Hide If No Value,Print ເຊື່ອງຖ້າຫາກວ່າບໍ່ມີມູນຄ່າ,
Print Width,Width ພິມ,
Rating,ການຈັດອັນດັບ,
Read Only,ອ່ານຢ່າງດຽວ,
Rejected,ປະຕິເສດ,
Reload,ໂຫລດ,
Remember Last Selected Value,ຈືຂໍ້ມູນການເລືອກຫຼ້າສຸດມູນຄ່າ,
Report Hide,ບົດລາຍງານເຊື່ອງ,
Section Break,ພາກພັກຜ່ອນ,
Select,ເລືອກ,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
Set non-standard precision for a Float or Currency field,ທີ່ກໍານົດໄວ້ຈະບໍ່ໄດ້ມາດຕະຖານສໍາລັບການເລື່ອນຫລືສະກຸນເງິນພາກສະຫນາມ,
Show Dashboard,ສະແດງກະດານຄວບຄຸມ,
Signature,ລາຍເຊັນ,
Small Text,ຂໍ້ຄວາມຂະຫນາດນ້ອຍ,
Source,ແຫຼ່ງຂໍ້ມູນ,
Source Name,ແຫຼ່ງຊື່,
Status,ສະຖານະພາບ,
System Manager,ຈັດການລະບົບ,
Table,ຕາຕະລາງ,
Table MultiSelect,ຕາຕະລາງ MultiSelect,
Template,ແມ່ແບບ,
Text,ຂໍ້ຄວາມ,
Text Editor,ບັນນາທິການຂໍ້ຄວາມ,
Time,ເວລາ,
Title,Title,
Translatable,ແປພາສາ,
Type,ປະເພດ,
Unique,ເປັນເອກະລັກ,
View Website,ເບິ່ງເວັບໄຊທ໌,
Width,width,
Yes,Yes,
