All,ВСІ,
Allow Bulk Edit,Дозволити Масове зміна,
Allow in Quick Entry,Дозволити в &quot;Швидкому вході&quot;,
Allow on Submit,Дозволити на Надіслати,
Amended From,Відновлено з,
Attach,Долучити,
Attach Image,Долучити зображення,
Barcode,Штрих-код,
Bold,Сміливий,
Button,Кнопка,
Check,Перевірити,
City,Місто,
Code,Код,
Collapsible,Складаний,
Color,Колір,
Column Break,Розрив стовпця,
Columns,колони,
Contact Details,Контактні дані,
Content,Зміст,
Country,Країна,
Currency,Валюта,
Data,Дані,
Date,Дата,
Datetime,"Дата, час",
Default,За замовчуванням,
Defaults,За замовчуванням,
Description,Опис,
Display,Дисплей,
Documentation URL,URL-адреса документації,
Draft,Чернетка,
Duration,Тривалість,
Dynamic Link,Dynamic Link,
Email,EMail,
Fetch From,Принеси з,
Fields,Поля,
Float,Поплавок,
Fold,Скласти,
Geolocation,Геолокація,
HTML,HTML,
HTML Editor,Редактор HTML,
Heading,Тема,
Hidden,Приховано,
Hide Border,Сховати межу,
Hide Days,Сховати дні,
Hide Seconds,Сховати секунди,
Icon,Значок,
Ignore User Permissions,Ігнорувати дозволів користувача,
Ignore XSS Filter,Ігнорувати XSS-фільтр,
Image,Зображення,
In Filter,У фільтр,
In Global Search,У Global Пошук,
In List View,У вигляді списку,
In Preview,У попередньому перегляді,
Index,Індекс,
Int,Int,
Is Active,Активний,
JSON,JSON,
Keyboard Shortcuts,Гарячі клавіши,
Label,Етикетка,
Language,Мова,
Length,Довжина,
Link,Посилання,
Long Text,Довгий текст,
Mandatory,Обов&#39;язкове,
Markdown Editor,Markdown Editor,
Name,Ім&#39;я,
Naming Series,Іменування серії,
No,Ні,
No Copy,Немає Копіювати,
Non Negative,Не негативний,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),"Кількість колонок для поля у вигляді списку або сітки (Всього стовпців повинна бути менше, ніж 11)",
Options,Опції,
Other,Інший,
Password,Пароль,
Pending Verification,Очікує на підтвердження,
Percent,Відсотків,
Perm Level,Перм Рівень,
Permissions,Дозволи,
Phone,Телефон,
Precision,Точність,
Print Hide,Друк Приховати,
Print Hide If No Value,Друк Приховати Якщо немає значення,
Print Width,Ширина друку,
Rating,рейтинг,
Read Only,Лише для читання,
Rejected,Відхилено,
Reload,Оновити,
Remember Last Selected Value,Пам&#39;ятайте Останнє вибране значення,
Report Hide,Повідомити Приховати,
Section Break,Розділ Перерва,
Select,Вибрати,
Session Defaults,За замовчуванням сесії,
Set non-standard precision for a Float or Currency field,Встановіть нестандартного точності для Float або валютній сфері,
Show Dashboard,Показати інформаційну панель,
Signature,Підпис,
Small Text,Малий Текст,
Source,Джерело,
Source Name,ім&#39;я джерела,
Status,Стан,
System Manager,Менеджер системи,
Table,Таблиця,
Table MultiSelect,Таблиця MultiSelect,
Template,Шаблон,
Text,Текст,
Text Editor,Текстовий редактор,
Time,Час,
Title,Назва,
Translatable,Переклад,
Type,Тип,
Unique,Унікальний,
View Website,Подивитися веб-сайт,
Width,Ширина,
Yes,Так,
