All,すべて,
Allow Bulk Edit,一括編集を許可する,
Allow in Quick Entry,クイックエントリで許可する,
Allow on Submit,提出を許可,
Amended From,修正元,
Attach,添付する,
Attach Image,画像を添付,
Barcode,バーコード,
Bold,大胆な,
Button,ボタン,
Check,チェック,
City,都市,
Code,コード,
Collapsible,折り畳み,
Color,色,
Column Break,列区切り,
Columns,列,
Contact Details,連絡先の詳細,
Content,内容,
Country,国,
Currency,通貨,
Data,データ,
Date,日付,
Datetime,日時,
Default,初期値,
Defaults,デフォルト,
Description,説明,
Display,表示,
Documentation URL,ドキュメントのURL,
Draft,ドラフト,
Duration,期間,
Dynamic Link,動的リンク,
Email,Eメール,
Fetch From,フェッチ元,
Fields,フィールド,
Float,小数,
Fold,フォールド,
Geolocation,ジオロケーション,
HTML,HTML,
HTML Editor,HTMLエディタ,
Heading,見出し,
Hidden,隠された,
Hide Border,ボーダーを隠す,
Hide Days,日を隠す,
Hide Seconds,秒を隠す,
Icon,アイコン,
Ignore User Permissions,ユーザー権限を無視,
Ignore XSS Filter,XSSフィルターを無視,
Image,画像,
In Filter,フィルター内,
In Global Search,グローバル検索内,
In List View,リストビュー内,
In Preview,プレビュー中,
Index,索引,
Int,数値,
Is Active,アクティブ,
JSON,JSON,
Keyboard Shortcuts,キーボードショートカット,
Label,ラベル,
Language,言語,
Length,長さ,
Link,リンク,
Long Text,長いテキスト,
Mandatory,必須,
Markdown Editor,マークダウンエディタ,
Name,名前,
Naming Series,シリーズ名を付ける,
No,いいえ,
No Copy,コピーがありません,
Non Negative,非負,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),リストビューまたはグリッド内のフィールドの列数（合計列が11未満でなければなりません）,
Options,オプション,
Other,その他,
Password,パスワード,
Pending Verification,保留中の確認,
Percent,割合（%）,
Perm Level,権限レベル,
Permissions,権限,
Phone,電話,
Precision,精度,
Print Hide,印刷を隠す,
Print Hide If No Value,値なしの場合プリントを隠します,
Print Width,印刷幅,
Rating,評価,
Read Only,読み取り専用,
Rejected,拒否,
Reload,リロード,
Remember Last Selected Value,最終選択された値を覚えておいてください,
Report Hide,レポート非表示,
Section Break,セクション区切り,
Select,選択,
Session Defaults,セッションのデフォルト,
Set non-standard precision for a Float or Currency field,浮動小数や通貨フィールドの規格外精度を設定,
Show Dashboard,ダッシュボードを表示,
Signature,署名,
Small Text,小さいテキスト,
Source,ソース,
Source Name,ソース名,
Status,ステータス,
System Manager,システム管理者,
Table,表,
Table MultiSelect,テーブル複数選択,
Template,テンプレート,
Text,文章,
Text Editor,テキストエディタ,
Time,時間,
Title,タイトル,
Translatable,翻訳可能,
Type,タイプ,
Unique,ユニーク,
View Website,ウェブサイトを見る,
Width,幅,
Yes,はい,
