All,എല്ലാം,
Allow Bulk Edit,ബൾക്ക് എഡിറ്റ് അനുവദിക്കുക,
Allow in Quick Entry,ദ്രുത പ്രവേശനത്തിൽ അനുവദിക്കുക,
Allow on Submit,സമർപ്പിക്കുക അനുവദിക്കുക,
Amended From,നിന്ന് ഭേദഗതി,
Attach,അറ്റാച്ച്,
Attach Image,ചിത്രം അറ്റാച്ച്,
Barcode,ബാർകോഡ്,
Bold,ധീരമായ,
Button,ബട്ടൺ,
Check,ചെക്ക്,
City,സിറ്റി,
Code,കോഡ്,
Collapsible,സൌകര്യങ്ങളൊക്കെ,
Color,കളർ,
Column Break,നിരയുടെ ബ്രേക്ക്,
Columns,നിരകൾ,
Contact Details,കോൺടാക്റ്റ് വിശദാംശങ്ങൾ,
Content,ഉള്ളടക്കം,
Country,രാജ്യം,
Currency,കറൻസി,
Data,ഡാറ്റാ,
Date,തീയതി,
Datetime,തീയതി സമയം,
Default,സ്ഥിരസ്ഥിതി,
Defaults,സ്ഥിരസ്ഥിതികൾ,
Description,വിവരണം,
Display,പ്രദർശിപ്പിക്കുക,
Documentation URL,ഡോക്യുമെന്റേഷൻ URL,
Draft,ഡ്രാഫ്റ്റ്,
Duration,ദൈർഘ്യം,
Dynamic Link,ഡൈനമിക് ലിങ്ക്,
Email,ഇമെയിൽ,
Fetch From,നിന്ന് ലഭ്യമാക്കുക,
Fields,ഫീൾഡുകൾ,
Float,ഒഴുകുക,
Fold,മടങ്ങാണ്,
Geolocation,ജിയോലൊക്കേഷൻ,
HTML,എച്ച്ടിഎംഎൽ,
HTML Editor,HTML എഡിറ്റർ,
Heading,ശീർഷകം,
Hidden,മറച്ചു,
Hide Border,ബോർഡർ മറയ്‌ക്കുക,
Hide Days,ദിവസങ്ങൾ മറയ്‌ക്കുക,
Hide Seconds,സെക്കൻഡ് മറയ്‌ക്കുക,
Icon,ഐക്കൺ,
Ignore User Permissions,ഉപയോക്താവിന്റെ അനുമതികൾ അവഗണിക്കുക,
Ignore XSS Filter,XSS ഫിൽറ്റർ അവഗണിക്കുക,
Image,ചിത്രം,
In Filter,ഫിൽറ്റർ ൽ,
In Global Search,ആഗോള തിരയലിൽ,
In List View,പട്ടിക കാണുക ൽ,
In Preview,പ്രിവ്യൂവിൽ,
Index,സൂചിക,
Int,യ,
Is Active,സജീവമായിട്ടുള്ള,
JSON,JSON,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Label,ലേബൽ,
Language,ഭാഷ,
Length,നീളം,
Link,ലിങ്ക്,
Long Text,ലോംഗ് വാചകം,
Mandatory,കല്പ്പനകൊടുക്കുന്ന,
Markdown Editor,മാർക്ക്ഡൗൺ എഡിറ്റർ,
Name,പേര്,
Naming Series,സീരീസ് നാമകരണം,
No,ഇല്ല,
No Copy,ഇല്ല പകർത്തുക,
Non Negative,നെഗറ്റീവ് അല്ല,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),ഒരു ലിസ്റ്റ് കാണുക അല്ലെങ്കിൽ ഒരു ഗ്രിഡ് ഒരു വയലിലെ വേണ്ടി നിരകളുടെ എണ്ണം (ആകെ നിരകൾ 11 കുറവായിരിക്കണം),
Options,ഓപ്ഷനുകൾ,
Other,മറ്റുള്ളവ,
Password,പാസ്വേഡ്,
Pending Verification,പരിശോധന തീർപ്പുകൽപ്പിച്ചിട്ടില്ല,
Percent,ശതമാനം,
Perm Level,പര്മ് ലെവൽ,
Permissions,അനുമതികൾ,
Phone,ഫോൺ,
Precision,കൃത്യത,
Print Hide,പ്രിന്റ് മറയ്ക്കുക,
Print Hide If No Value,ഇല്ല മാനിയ്ക്കുന്നുണ്ടെങ്കിൽ പ്രിന്റ് മറയ്ക്കുക,
Print Width,പ്രിന്റ് വീതി,
Rating,റേറ്റിംഗ്,
Read Only,വായിക്കാൻ മാത്രം,
Rejected,നിരസിച്ചു,
Reload,വീണ്ടും ലോഡുചെയ്യുക,
Remember Last Selected Value,അവസാനം തിരഞ്ഞെടുത്ത മൂല്യം ഓർക്കുക,
Report Hide,റിപ്പോർട്ട് മറയ്ക്കുക,
Section Break,സെക്ഷൻ ബ്രേക്ക്,
Select,തിരഞ്ഞെടുക്കുക,
Session Defaults,സെഷൻ സ്ഥിരസ്ഥിതികൾ,
Set non-standard precision for a Float or Currency field,ഒരു ഫ്ലോട്ട് അല്ലെങ്കിൽ നാണയ ഫീൽഡിൽ നോൺ സ്റ്റാൻഡേർഡ് കൃത്യത സജ്ജമാക്കുക,
Show Dashboard,ഡാഷ്‌ബോർഡ് കാണിക്കുക,
Signature,ഒപ്പ്,
Small Text,ചെറിയ ടെക്സ്റ്റ്,
Source,ഉറവിടം,
Source Name,ഉറവിട പേര്,
Status,അവസ്ഥ,
System Manager,സിസ്റ്റം മാനേജർ,
Table,ടേബിൾ,
Table MultiSelect,പട്ടിക മൾട്ടിസെലക്റ്റ്,
Template,ഫലകം,
Text,ഉള്ളടക്കം,
Text Editor,ടെക്സ്റ്റ് എഡിറ്റർ,
Time,സമയം,
Title,ശീർഷകം,
Translatable,വിവർത്തനം ചെയ്യാനാകുന്നത്,
Type,തരം,
Unique,യുണീക്ക്,
View Website,വെബ്സൈറ്റ് കാണുക,
Width,വീതി,
Yes,അതെ,
