All,Wszystko,
Allow Bulk Edit,Zezwól na dużą liczbę edycji,
Allow in Quick Entry,Zezwalaj w szybkim wpisie,
Allow on Submit,Zezwól na Wysłanie,
Amended From,Zmodyfikowany od,
Attach,Załącz,
Attach Image,Dołącz obrazek,
Barcode,kod kreskowy,
Bold,Pogrubienie,
Button,Przycisk,
Check,Czek,
City,Miasto,
Code,Kod,
Collapsible,Składany,
Color,Kolor,
Column Break,Przerwa kolumny,
Columns,kolumny,
Contact Details,Szczegóły kontaktu,
Content,Zawartość,
Country,Kraj,
Currency,Waluta,
Data,Dane,
Date,Data,
Datetime,Data-czas,
Default,Domyślny,
Defaults,Wartości domyślne,
Description,Opis,
Display,Wyświetl,
Documentation URL,Adres URL dokumentacji,
Draft,Wersja robocza,
Duration,Trwanie,
Dynamic Link,Link dynamiczny,
Email,E-mail,
Fetch From,Pobierz z,
Fields,Pola,
Float,Float,
Fold,Zagiąć,
Geolocation,Geolokalizacja,
HTML,HTML,
HTML Editor,Edytor HTML,
Heading,Nagłówek,
Hidden,Ukryty,
Hide Border,Ukryj obramowanie,
Hide Days,Ukryj dni,
Hide Seconds,Ukryj sekundy,
Icon,Ikona,
Ignore User Permissions,Ignoruj uprawnienia użytkowników,
Ignore XSS Filter,Ignoruj filtr XSS,
Image,Obrazek,
In Filter,W Filtrze,
In Global Search,W Global Search,
In List View,W widoku listy,
In Preview,W podglądzie,
Index,Indeks,
Int,Int,
Is Active,Aktywny,
JSON,JSON,
Keyboard Shortcuts,Skróty klawiszowe,
Label,Etykieta,
Language,Język,
Length,Długość,
Link,Połączyć,
Long Text,Długi tekst,
Mandatory,Wymagane,
Markdown Editor,Edytor Markdown,
Name,Nazwa,
Naming Series,Seria nazw,
No,Nie,
No Copy,Brak kopii,
Non Negative,Nieujemne,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Liczba kolumn dla pola w widoku listy lub siatki (Liczba kolumn powinna być mniejsza niż 11),
Options,Opcje,
Other,Inne,
Password,Hasło,
Pending Verification,Oczekuje na weryfikację,
Percent,Procent,
Perm Level,Poziom Perm,
Permissions,Uprawnienia,
Phone,Telefon,
Precision,Precyzja liczb,
Print Hide,Ukryj Druk,
Print Hide If No Value,"Wydrukuj ""Ukryte"" jeżeli nie została podana wartość",
Print Width,Szerokość Wydruku,
Rating,Ocena,
Read Only,Tylko do odczytu,
Rejected,Odrzucono,
Reload,Przeładuj,
Remember Last Selected Value,Pamiętaj ostatnio wybrane wartości,
Report Hide,Ukryj Raport,
Section Break,Podział Sekcji,
Select,Wybierz,
Session Defaults,Domyślne ustawienia sesji,
Set non-standard precision for a Float or Currency field,Ustaw niestandardowy dokładność polu Float lub walut,
Show Dashboard,Pokaż pulpit,
Signature,Podpis,
Small Text,Mały tekst,
Source,Źródło,
Source Name,Nazwa źródła,
Status,Status,
System Manager,System Manager,
Table,Tabela,
Table MultiSelect,Tabela MultiSelect,
Template,Szablon,
Text,Tekst,
Text Editor,Edytor tekstu,
Time,Czas,
Title,Tytuł,
Translatable,Przetłumaczalny,
Type,Typ,
Unique,Unikalny,
View Website,Zobacz stronę WWW,
Width,Szerokość,
Yes,tak,
