All,ទាំងអស់,
Allow Bulk Edit,អនុញ្ញាតការកែសម្រួលជាដុំ,
Allow in Quick Entry,អនុញ្ញាតក្នុងការចូលរហ័ស,
Allow on Submit,អនុញ្ញាតឱ្យនៅលើដាក់ស្នើ,
Amended From,ធ្វើវិសោធនកម្មពី,
Attach,ភ្ជាប់,
Attach Image,ភ្ជាប់រូបភាព,
Barcode,បាកូដ,
Bold,ដិត,
Button,ប៊ូតុង,
Check,ពិនិត្យ,
City,ទីក្រុង,
Code,លេខកូដ,
Collapsible,ការដួលរលំ,
Color,ពណ៌,
Column Break,ការបំបែកជួរឈរ,
Columns,ជួរឈរ,
Contact Details,ពត៌មានទំនាក់ទំនង,
Content,មាតិការ,
Country,ប្រទេស,
Currency,រូបិយប័ណ្ណ,
Data,ទិន្នន័យដែលបាន,
Date,កាលបរិច្ឆេទ,
Datetime,Datetime,
Default,លំនាំដើម,
Defaults,លំនាំដើម,
Description,ការពិពណ៌នាសង្ខេប,
Display,អេក្រង់បង្ហាញ,
Documentation URL,URL ឯកសារ,
Draft,សេចក្តីព្រាង,
Duration,រយៈពេល,
Dynamic Link,តំណថាមវន្ត,
Email,អេមមីល,
Fetch From,ទទួលបានពី,
Fields,វាល,
Float,ទសភាគ,
Fold,បោះបង់ចោល,
Geolocation,ទីតាំងភូមិសាស្ត្រ,
HTML,របស់ HTML,
HTML Editor,កម្មវិធីនិពន្ធ HTML,
Heading,ក្បាល,
Hidden,លាក់,
Hide Border,លាក់ព្រំដែន,
Hide Days,លាក់ថ្ងៃ,
Hide Seconds,លាក់វិនាទី,
Icon,រូបតំណាង,
Ignore User Permissions,មិនអើពើសិទ្ធិរបស់អ្នកប្រើប្រាស់,
Ignore XSS Filter,មិនអើពើតម្រង XSS,
Image,រូបភាព,
In Filter,ក្នុងតម្រង,
In Global Search,នៅក្នុងការស្វែងរកសកល,
In List View,នៅក្នុងទិដ្ឋភាពបញ្ជី,
In Preview,នៅក្នុងការមើលជាមុន។,
Index,សន្ទស្សន៍,
Int,int,
Is Active,គឺជាសកម្ម,
JSON,JSON,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Label,ស្លាក,
Language,ភាសា,
Length,ការេបណ្តោយ,
Link,តំណ,
Long Text,អត្ថបទឡុង,
Mandatory,ជាចាំបាច់,
Markdown Editor,កម្មវិធីនិពន្ធម៉ាក្រូ។,
Name,ឈ្មោះ,
Naming Series,ដាក់ឈ្មោះកម្រងឯកសារ,
No,គ្មាន,
No Copy,គ្មានការចម្លង,
Non Negative,មិនអវិជ្ជមាន,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),ចំនួនជួរឈរសម្រាប់វាលនៅក្នុងទិដ្ឋភាពបញ្ជីឬក្រឡាចត្រង្គមួយ (ជួរឈរសរុបដែលត្រូវតិចជាង 11),
Options,ជម្រើស,
Other,ផ្សេងទៀត,
Password,ពាក្យសម្ងាត់,
Pending Verification,ការផ្ទៀងផ្ទាត់រង់ចាំ,
Percent,ភាគរយ,
Perm Level,កម្រិត Perm,
Permissions,សិទ្ធិ,
Phone,ទូរស័ព្ទ,
Precision,ភាពជាក់លាក់,
Print Hide,បោះពុម្ពលាក់,
Print Hide If No Value,លាក់ប្រសិនបើគ្មានការបោះពុម្ពតម្លៃ,
Print Width,បោះពុម្ពទទឹង,
Rating,ការផ្តល់ចំណាត់ថ្នាក់,
Read Only,បានតែអាន,
Rejected,ច្រានចោល,
Reload,ផ្ទុកឡើងវិញ,
Remember Last Selected Value,ចូរចាំថាតម្លៃដែលបានជ្រើសមុន,
Report Hide,របាយការលាក់,
Section Break,បំបែកផ្នែកទី,
Select,ជ្រើស,
Session Defaults,លំនាំដើមវេន។,
Set non-standard precision for a Float or Currency field,កំណត់ភាពជាក់លាក់មិនស្តង់ដារសម្រាប់វាលឬរូបិយវត្ថុដែលមានទសភាគ,
Show Dashboard,បង្ហាញផ្ទាំងគ្រប់គ្រង។,
Signature,ហត្ថលេខា,
Small Text,អត្ថបទខ្នាតតូច,
Source,ប្រភព,
Source Name,ឈ្មោះប្រភព,
Status,ស្ថានភាព,
System Manager,ប្រព័ន្ធអ្នកគ្រប់គ្រង,
Table,តារាង,
Table MultiSelect,តារាងជ្រើសរើសច្រើន។,
Template,ទំព័រគំរូ,
Text,អត្ថបទ,
Text Editor,កម្មវិធីនិពន្ធអត្ថបទ,
Time,ពេលវេលា,
Title,ចំណងជើង,
Translatable,អាចបកប្រែបាន,
Type,ប្រភេទ,
Unique,មានតែមួយគត់,
View Website,មើលគេហទំព័រ,
Width,ទទឹង,
Yes,បាទ,
