All,всичко,
Allow Bulk Edit,Разрешаване на групово редактиране,
Allow in Quick Entry,Оставете в Quick Entry,
Allow on Submit,Разрешаване на Изпращане,
Amended From,Променен от,
Attach,Прикрепете,
Attach Image,Прикрепете Изображение,
Barcode,Баркод,
Bold,смел,
Button,Бутон,
Check,Проверка,
City,град,
Code,код,
Collapsible,Свиваем,
Color,Цвят,
Column Break,Разделител на Колона,
Columns,Колони,
Contact Details,Данни за контакт,
Content,Съдържание,
Country,Страна,
Currency,Валута,
Data,Данни,
Date,Дата,
Datetime,Дата/час,
Default,Неустойка,
Defaults,Настройки по подразбиране,
Description,Описание,
Display,Показ,
Documentation URL,URL адрес на документацията,
Draft,проект,
Duration,продължителност,
Dynamic Link,Dynamic Link,
Email,електронна поща,
Fetch From,Извличане от,
Fields,Полета,
Float,Плаващ,
Fold,Гънка,
Geolocation,геолокация,
HTML,HTML,
HTML Editor,HTML редактор,
Heading,заглавие,
Hidden,скрит,
Hide Border,Скриване на границата,
Hide Days,Скрий дни,
Hide Seconds,Скриване на секунди,
Icon,икона,
Ignore User Permissions,Игнориране на потребителски права,
Ignore XSS Filter,Игнорирайте XSS Филтър,
Image,Изображение,
In Filter,Във филтър,
In Global Search,В глобално търсене,
In List View,В списъчен изглед,
In Preview,В преглед,
Index,Индекс,
Int,Int,
Is Active,Е активен,
JSON,JSON,
Keyboard Shortcuts,Комбинация от клавиши,
Label,етикет,
Language,Език,
Length,Дължина,
Link,връзка,
Long Text,Дълъг текст,
Mandatory,Задължителен,
Markdown Editor,Markdown Editor,
Name,име,
Naming Series,Поредни Номера,
No,Не,
No Copy,Няма копие,
Non Negative,Неотрицателно,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Брой колони за област в Списък View или Grid (Общо Колони трябва да са по-малко от 11),
Options,Опции,
Other,Друг,
Password,Парола,
Pending Verification,Предстои потвърждение,
Percent,Процент,
Perm Level,Ниво на достъп,
Permissions,Права за достъп,
Phone,Телефон,
Precision,Точност,
Print Hide,Print Скрий,
Print Hide If No Value,Print Hide Ако няма стойност,
Print Width,Print Width,
Rating,оценка,
Read Only,Само За Четене,
Rejected,Отхвърлени,
Reload,Презареди,
Remember Last Selected Value,Запомни Последно избраната стойност,
Report Hide,Справка Скрий,
Section Break,Раздел Break,
Select,Изберете,
Session Defaults,Сесия по подразбиране,
Set non-standard precision for a Float or Currency field,Определете нестандартно прецизност за Float или валути поле,
Show Dashboard,Показване на таблото за управление,
Signature,Подпис,
Small Text,Малък Текст,
Source,Източник,
Source Name,Източник Име,
Status,Статус,
System Manager,Мениджър на система,
Table,Таблица,
Table MultiSelect,Таблица MultiSelect,
Template,Шаблон,
Text,Текст,
Text Editor,Редактор на текст,
Time,път,
Title,Заглавие,
Translatable,преводим,
Type,Тип,
Unique,Уникален,
View Website,Виж Website,
Width,Широчина,
Yes,да,
