All,Alle,
Allow Bulk Edit,Tillad Bundtopdatering,
Allow in Quick Entry,Tillad i hurtig indtastning,
Allow on Submit,Tillad på Godkend,
Amended From,Ændret Fra,
Attach,Vedhæft,
Attach Image,Vedhæft billede,
Barcode,Stregkode,
Bold,Fremhævet,
Button,Knap,
Check,Kontrollere,
City,by,
Code,Kode,
Collapsible,Sammenklappelig,
Color,Farve,
Column Break,Kolonne Break,
Columns,Kolonner,
Contact Details,Kontaktoplysninger,
Content,Indhold,
Country,Land,
Currency,Valuta,
Data,Data,
Date,Dato,
Datetime,Datetime,
Default,Standard,
Defaults,Standardværdier,
Description,Beskrivelse,
Display,Udstilling,
Documentation URL,Dokumentations-URL,
Draft,Udkast,
Duration,Varighed,
Dynamic Link,Dynamic Link,
Email,EMail,
Fetch From,Hent fra,
Fields,Felter,
Float,Float,
Fold,Fold,
Geolocation,Geolocation,
HTML,HTML,
HTML Editor,HTML Editor,
Heading,Overskrift,
Hidden,Skjult,
Hide Border,Skjul kant,
Hide Days,Skjul dage,
Hide Seconds,Skjul sekunder,
Icon,Ikon,
Ignore User Permissions,Ignorér brugertilladelser,
Ignore XSS Filter,Ignorer XSS-filter,
Image,Billede,
In Filter,I Filter,
In Global Search,I Global Search,
In List View,I Listevisning,
In Preview,I eksempelvisning,
Index,Indeks,
Int,Int,
Is Active,Er Aktiv,
JSON,JSON,
Keyboard Shortcuts,Tastaturgenveje,
Label,Label,
Language,Sprog,
Length,Længde,
Link,Link,
Long Text,Lang tekst,
Mandatory,Obligatorisk,
Markdown Editor,Markdown Editor,
Name,Navn,
Naming Series,Navngivningsnummerserie,
No,Nej,
No Copy,Ingen kopi,
Non Negative,Ikke negativ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Antal kolonner for et felt i en liste Vis eller en Grid (Total Kolonner skal være mindre end 11),
Options,Optioner,
Other,Andre,
Password,Adgangskode,
Pending Verification,Venter på verifikation,
Percent,procent,
Perm Level,Perm Level,
Permissions,Tilladelser,
Phone,Telefonnr.,
Precision,Precision,
Print Hide,Print Skjul,
Print Hide If No Value,Udskriv Skjul Hvis Nej Værdi,
Print Width,Print Bredde,
Rating,Bedømmelse,
Read Only,Skrivebeskyttet,
Rejected,Afvist,
Reload,Genindlæs,
Remember Last Selected Value,Husk Sidste valgte værdi,
Report Hide,Rapporter Skjul,
Section Break,Afsnit Break,
Select,Vælg,
Session Defaults,Standard for session,
Set non-standard precision for a Float or Currency field,Sæt ikke-standard præcision for en Float eller valuta felt,
Show Dashboard,Vis betjeningspanel,
Signature,Underskrift,
Small Text,Lille tekst,
Source,Kilde,
Source Name,Kilde Navn,
Status,Status,
System Manager,System Manager,
Table,Tabel,
Table MultiSelect,Tabel MultiSelect,
Template,Skabelon,
Text,Tekst,
Text Editor,Teksteditor,
Time,Tid,
Title,Titel,
Translatable,oversætbare,
Type,Type,
Unique,Unik,
View Website,Se hjemmeside,
Width,Bredde,
Yes,Ja,
