About,關於,
Actions,操作,
Add Emission,增加排放,
Add New Emission,增加新排放,
Add New Installation,添加新安装,
Add New Supplier,添加新供应商,
All,全部,
Allow Bulk Edit,允許批量修改,
Allow in Quick Entry,允許快速輸入,
Allow on Submit,允許在提交,
Amended From,從修訂,
Article Nr,文章编号,
Assign Emission,分配排放,
Attach,附件,
Attach Image,附上圖片,
Barcode,条码,
Base information of installation,安装基础信息,
Bold,胆大,
Button,按鍵,
CBAM Home,CBAM 主页,
CBAM Representative Email,CBAM 代表电子邮件,
CBAM Representative First Name,CBAM 代表姓名,
CBAM Representative Last Name,CBAM 代表姓氏,
CBAM Representative Phone Number,CBAM 代表电话号码,
CBAM Representative Position,CBAM 代表职位,
CBAM Representive Details,CBAM 代表详情,
CBAM Representive Employee Email,CBAM 代表员工电子邮件,
CBAM Representive Employee First Name,CBAM 代表 员工姓名,
CBAM Representive Employee Phone Number,CBAM 代表员工电话号码,
CBAM Representive Employee Position,CBAM 代表雇员职位,
CBAM Representive Last Name,CBAM 代表姓氏,
Check,查,
City,城市,
Code,源碼,
Collapsible,可折疊,
Color,颜色,
Column Break,分欄符,
Columns,列,
Commercial Contact,商务联系方式,
Company Details,公司详情,
Company Email,公司电子邮件,
Company Phone Number,公司电话号码,
Confirmed,确认,
Contact Details,聯絡方式,
Content,內容,
Country,国家,
Country of origin,原籍国,
Create Installation,创建安装,
Currency,货币,
Customs Tariff Number,海关税则号,
Data,数据,
Data Assigned,分配的数据,
Data Requested,要求提供的数据,
Data Submitted,提交的数据,
Date,日期,
Datetime,日期時間,
Default,默认,
Defaults,預設,
"Define how emissions get monitored, reported and verified:",确定如何监测、报告和核实排放量：,
Description,描述,
Display,顯示,
Documentation URL,文档网址,
Done,DONE,
Draft,草案,
Duration,持续时间,
Dynamic Link,动态链接,
Edit,编辑,
Edit Emission,编辑排放,
Electricity consumed [MWh/t],耗电量[兆瓦时/吨］,
Email,电子邮件,
Emission,排放,
Emission Data,排放数据,
Emission Details,排放细节,
Emissions data tracking of the installation,安装设备的排放数据跟踪,
Example: 1.67 tCO2/t (t = tonnes of product),例如：1.67 tCO2/t（t = 产品吨数）,
Fetch From,取自,
Fields,欄位,
First Name,姓名,
Float,浮動,
Fold,折,
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.",對於鏈接，輸入文檔類型的範圍。對於選擇，輸入選項列表，每一個新的生產線。,
Forward,转发,
Geolocation,地理位置,
Good Description,良好描述,
Goods,货物,
Goods List,货物清单,
HTML,HTML,
HTML Editor,HTML編輯器,
Heading,标题,
Hidden,隱藏,
Hide Border,隐藏边框,
Hide Days,隐藏的日子,
Hide Seconds,隐藏秒,
ID,身份证,
Icon,图标,
Ignore User Permissions,忽略用戶權限,
Ignore XSS Filter,忽略XSS過濾器,
Image,圖像,
Imported into EU on,进口到欧盟的日期,
Importer,进口商,
Impressum,印象深刻,
In Filter,在過濾器,
In Global Search,在全球搜索,
In List View,在列表视图,
In Preview,在预览中,
Index,索引,
Indirect Emission Factor,间接排放因子,
Installation,安装,
Installation Name,安装名称,
Int,詮釋,
Is Active,是活动的,
Is the installation subject to an emission trading system?,装置是否受排放交易系统的约束？,
Is the installation tracking emissions data?,设备是否跟踪排放数据？,
JSON,JSON,
Keyboard Shortcuts,键盘快捷键,
Label,标签,
Language,语言,
Last Name,姓氏,
Length,長短,
Link,鏈接,
Login,登录,
Long Text,長文本,
Main Contact,主要联系人,
Main Contact Employee Email,主要联系人 员工电子邮件,
Main Contact Employee First Name,主要联系人姓名,
Main Contact Employee Last Name,主要联系人 员工姓氏,
Main Contact Employee Phone Number,主要联系人 员工电话号码,
Main Contact Employee Position,主要联系人 员工职位,
Mandatory,强制性,
Markdown Editor,Markdown 编辑器,
My Settings,我的設定,
Name,名称,
Name of the Installation,安装名称,
Naming Series,名录,
No,無,
No Copy,沒有複製,
Non Negative,非负数,
Not Permitted,不允许,
