All,Vse,
Allow Bulk Edit,Dovoli Bulk Uredi,
Allow in Quick Entry,Dovolite v hitri vpisu,
Allow on Submit,Dovoli na Submit,
Amended From,Spremenjeni Od,
Attach,Priložite,
Attach Image,Priložite sliko,
Barcode,Črtna koda,
Bold,Drzno,
Button,Button,
Check,Preveri,
City,Mesto,
Code,Koda,
Collapsible,Zložljiva,
Color,Barva,
Column Break,Stolpec Break,
Columns,stolpci,
Contact Details,Kontaktni podatki,
Content,Vsebina,
Country,Država,
Currency,Valuta,
Data,Podatki,
Date,Datum,
Datetime,Datum in čas,
Default,Privzeto,
Defaults,Privzete,
Description,Opis,
Display,Display,
Documentation URL,URL dokumentacije,
Draft,Osnutek,
Duration,Trajanje,
Dynamic Link,Dynamic Link,
Email,E-naslov,
Fetch From,Izberi,
Fields,Polja,
Float,Float,
Fold,Zložite,
Geolocation,Geolokacija,
HTML,HTML,
HTML Editor,HTML Editor,
Heading,Naslov,
Hidden,skrito,
Hide Border,Skrij mejo,
Hide Days,Skrij dneve,
Hide Seconds,Skrij sekunde,
Icon,Ikona,
Ignore User Permissions,Ignoriraj dovoljenja uporabnika,
Ignore XSS Filter,Ignoriraj XSS Filter,
Image,Image,
In Filter,V Filter,
In Global Search,Globalno iskanje,
In List View,V pogledu seznama,
In Preview,V predogledu,
Index,Index,
Int,Int,
Is Active,Je aktiven,
JSON,JSON,
Keyboard Shortcuts,Bližnjice na tipkovnici,
Label,Label,
Language,Jezik,
Length,Dolžina,
Link,Povezava,
Long Text,Long Besedilo,
Mandatory,Obvezno,
Markdown Editor,Markdown Editor,
Name,Name,
Naming Series,Poimenovanje zaporedja,
No,Ne,
No Copy,Ne Kopiraj,
Non Negative,Negativno,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Število stolpcev za polje v pogledu seznama ali Grid (Skupaj Kolumne sme biti manjša od 11),
Options,Možnosti,
Other,Drugi,
Password,Geslo,
Pending Verification,Čaka na preverjanje,
Percent,Odstotek,
Perm Level,Perm Raven,
Permissions,Dovoljenja,
Phone,Telefon,
Precision,Precision,
Print Hide,Print Skrij,
Print Hide If No Value,Natisni Skrij Če ne Vrednost,
Print Width,Print Širina,
Rating,Ocena,
Read Only,Le za branje,
Rejected,Zavrnjeno,
Reload,Osveži,
Remember Last Selected Value,"Ne pozabite, zadnji izbrani vrednosti",
Report Hide,Poročilo Skrij,
Section Break,Oddelek Break,
Select,Izberite,
Session Defaults,Privzete seje,
Set non-standard precision for a Float or Currency field,Nastavite nestandardni natančnost za Float ali valuta področju,
Show Dashboard,Pokaži nadzorno ploščo,
Signature,Podpis,
Small Text,Mala Besedilo,
Source,Vir,
Source Name,Source Name,
Status,Stanje,
System Manager,System Manager,
Table,Preglednica,
Table MultiSelect,Tabela MultiSelect,
Template,Predloga,
Text,Besedilo,
Text Editor,Text Editor,
Time,Čas,
Title,Naziv,
Translatable,Prevedljiv,
Type,Tip,
Unique,Unique,
View Website,View Website,
Width,Širina,
Yes,Da,
