All,כל,
Allow Bulk Edit,אפשר עריכה בכמות גדולה,
Allow in Quick Entry,אפשר כניסה מהירה,
Allow on Submit,לאפשר בשלח,
Amended From,תוקן מ,
Attach,צרף,
Attach Image,צרף תמונה,
Barcode,ברקוד,
Bold,נוֹעָז,
Button,לחצן,
Check,חשבון,
City,עיר,
Code,קוד,
Collapsible,מתקפל,
Color,צבע,
Column Break,Break עמודה,
Columns,עמודות,
Contact Details,פרטי,
Content,תוכן,
Country,מדינה,
Currency,מטבע,
Data,הנתונים,
Date,תאריך,
Datetime,Datetime,
Default,ברירת מחדל,
Defaults,ברירות מחדל,
Description,תיאור,
Display,תצוגה,
Documentation URL,כתובת אתר לתיעוד,
Draft,טְיוּטָה,
Duration,מֶשֶׁך,
Dynamic Link,קישור דינמי,
Email,"דוא""ל",
Fetch From,אחזור מ,
Fields,שדות,
Float,Float,
Fold,מקפלים,
Geolocation,מיקום גיאוגרפי,
HTML,HTML,
HTML Editor,עורך HTML,
Heading,כותרת,
Hidden,מוסתר,
Hide Border,הסתר גבול,
Hide Days,הסתר ימים,
Hide Seconds,הסתר שניות,
Icon,אייקון,
Ignore User Permissions,להתעלם הרשאות משתמש,
Ignore XSS Filter,התעלם מסנן XSS,
Image,תמונה,
In Filter,במסנן,
In Global Search,בחיפוש גלובלי,
In List View,בצפה ברשימה,
In Preview,בתצוגה מקדימה,
Index,מדד,
Int,Int,
Is Active,האם Active,
JSON,JSON,
Keyboard Shortcuts,קיצורי דרך במקלדת,
Label,תווית,
Language,שפה,
Length,אורך,
Link,קישור,
Long Text,טקסט ארוך,
Mandatory,חובה,
Markdown Editor,עורך Markdown,
Name,שם,
Naming Series,סדרת שמות,
No,לא,
No Copy,לא העתק,
Non Negative,לא שלילי,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),מספר העמודות עבור שדה בתצוגת רשימה או רשת (סה&quot;כ העמודות צריכות להיות פחות מ -11),
Options,אפשרויות,
Other,אחר,
Password,סיסמא,
Pending Verification,ממתין לאימות,
Percent,אחוזים,
Perm Level,רמה פרם,
Permissions,הרשאות,
Phone,טלפון,
Precision,Precision,
Print Hide,הסתר הדפסה,
Print Hide If No Value,הסתר הדפסה אם אין ערך,
Print Width,רוחב הדפסה,
Rating,דֵרוּג,
Read Only,קריאה בלבד,
Rejected,נדחה,
Reload,רענן,
Remember Last Selected Value,זכור את הערך שנבחר לאחרונה,
Report Hide,דווח הסתר,
Section Break,מעבר מקטע,
Select,בחר,
Session Defaults,ברירות מחדל של מושב,
Set non-standard precision for a Float or Currency field,דיוק לא סטנדרטי שנקבע לשדה Float או מטבע,
Show Dashboard,הצג לוח מחוונים,
Signature,חתימה,
Small Text,טקסט קטן,
Source,מקור,
Source Name,שם המקור,
Status,סטטוס,
System Manager,מנהל מערכת,
Table,שולחן,
Table MultiSelect,טבלה MultiSelect,
Template,תבנית,
Text,טקסט,
Text Editor,עורך טקסט,
Time,זְמַן,
Title,כותרת,
Translatable,לתרגום,
Type,סוג,
Unique,ייחודי,
View Website,אתר צפה ב,
Width,רוחב,
Yes,כן,
