All,Све,
Allow Bulk Edit,Дозволи Булк Едит,
Allow in Quick Entry,Дозволи у брзом уносу,
Allow on Submit,Дозволи на Субмит,
Amended From,Измењена од,
Attach,Лепити,
Attach Image,Прикрепите изображение,
Barcode,Баркод,
Bold,Одважан,
Button,Дугме,
Check,Проверавати,
City,Град,
Code,Код,
Collapsible,Цоллапсибле,
Color,Боја,
Column Break,Колона Пауза,
Columns,kolone,
Contact Details,Контакт Детаљи,
Content,Садржина,
Country,Земља,
Currency,Валута,
Data,Подаци,
Date,Датум,
Datetime,Датетиме,
Default,Уобичајено,
Defaults,Примарни,
Description,Опис,
Display,дисплей,
Documentation URL,УРЛ документације,
Draft,Драфт,
Duration,Трајање,
Dynamic Link,Динамиц Линк,
Email,Емаил,
Fetch From,Фетцх Фром,
Fields,Поља,
Float,Пловак,
Fold,Преклопити,
Geolocation,Геолокација,
HTML,ХТМЛ-,
HTML Editor,ХТМЛ Едитор,
Heading,Наслов,
Hidden,Сакривен,
Hide Border,Сакриј границу,
Hide Days,Сакриј дане,
Hide Seconds,Сакриј секунде,
Icon,Ицон,
Ignore User Permissions,Игноре Усер Дозволе,
Ignore XSS Filter,Игноре КССС Филтер,
Image,Слика,
In Filter,У филтеру,
In Global Search,У Глобал Сеарцх,
In List View,У приказу листе,
In Preview,У прегледу,
Index,Индекс,
Int,Међ,
Is Active,Је активан,
JSON,ЈСОН,
Keyboard Shortcuts,Пречице на тастатури,
Label,Налепница,
Language,Језик,
Length,Дужина,
Link,Линк,
Long Text,Дуго Текст,
Mandatory,Обавезан,
Markdown Editor,Маркдовн Едитор,
Name,Име,
Naming Series,Именовање Сериес,
No,Не,
No Copy,Нема копирања,
Non Negative,Негативно,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Број колона за област у Лист Виев или Грид (Тотал колоне треба да буде мањи од 11),
Options,Опције,
Other,Други,
Password,Шифра,
Pending Verification,у току верификација,
Percent,Проценат,
Perm Level,Перм ниво,
Permissions,Дозволе,
Phone,Телефон,
Precision,Прецизност,
Print Hide,Принт Сакриј,
Print Hide If No Value,Штампа Сакриј Ако не Вредност,
Print Width,Ширина штампе,
Rating,Оцењивање,
Read Only,Прочитајте само,
Rejected,Одбијен,
Reload,Релоад,
Remember Last Selected Value,Не заборавите последња изабрана вредност,
Report Hide,Извештај Сакриј,
Section Break,Члан Пауза,
Select,Одабрати,
Session Defaults,Задане поставке сесије,
Set non-standard precision for a Float or Currency field,Сет нестандардни прецизни за Флоат или Валута области,
Show Dashboard,Прикажи контролну таблу,
Signature,Потпис,
Small Text,Мала Текст,
Source,Извор,
Source Name,извор Име,
Status,Статус,
System Manager,Систем менаџер,
Table,Табела,
Table MultiSelect,Табела МултиСелецт,
Template,Шаблон,
Text,Текст,
Text Editor,Текст Уредник,
Time,време,
Title,Наслов,
Translatable,Транслатабле,
Type,Тип,
Unique,Јединствен,
View Website,Погледај Сајт,
Width,Ширина,
Yes,да,
